"Contributeur","Value","abs_Value"
"IFI44",1,1
"IFI44L",0.983928014137818,0.983928014137818
"ISG15",0.979250311849925,0.979250311849925
"EPSTI1",0.965697626214212,0.965697626214212
"OAS1",0.957009892559666,0.957009892559666
"RSAD2",0.955522142509127,0.955522142509127
"OAS2",0.946296694810016,0.946296694810016
"OAS3",0.921117107448718,0.921117107448718
"CMPK2",0.909889392258296,0.909889392258296
"DDX60",0.892292485884075,0.892292485884075
"XAF1",0.879792218051802,0.879792218051802
"IFIT1",0.87371992476475,0.87371992476475
"IFIT3",0.819086799082942,0.819086799082942
"HERC5",0.807651618685097,0.807651618685097
"IFI6",0.776535610513185,0.776535610513185
"SPATS2L",0.773926970756442,0.773926970756442
"USP18",0.752047356472178,0.752047356472178
"IFIT2",0.715774761908754,0.715774761908754
"MX1",0.710089497900661,0.710089497900661
"RTP4",0.70308095614724,0.70308095614724
"LY6E",0.692705413379317,0.692705413379317
"IFIT5",0.6920038791429,0.6920038791429
"OASL",0.677437483289595,0.677437483289595
"AGRN",0.660978794205134,0.660978794205134
"MT2A",0.64992510012269,0.64992510012269
"OTOF",0.629762546893938,0.629762546893938
"HERC6",0.625636346190214,0.625636346190214
"PARP12",0.617586565719519,0.617586565719519
"DHX58",0.613081906369564,0.613081906369564
"TRIM22",0.609753147145653,0.609753147145653
"SIGLEC1",0.609682672323284,0.609682672323284
"ZCCHC2",0.602323014105212,0.602323014105212
"MOV10",0.573366432744289,0.573366432744289
"SERPING1",0.569688606554857,0.569688606554857
"HES4",0.566563446437738,0.566563446437738
"PNPT1",0.557905477100108,0.557905477100108
"IFIH1",0.538266990114893,0.538266990114893
"LAP3",0.532178021357644,0.532178021357644
"BST2",0.531101102723691,0.531101102723691
"GBP4",0.529515768566832,0.529515768566832
"GBP1",0.528579100884731,0.528579100884731
"PARP14",0.516779808334568,0.516779808334568
"TMEM123",0.51467515904579,0.51467515904579
"EIF2AK2",0.51137644361595,0.51137644361595
"GBP5",0.505384080794982,0.505384080794982
"ZBP1",0.503866939063733,0.503866939063733
"SLFN5",0.502634258495873,0.502634258495873
"BATF2",0.501731640447052,0.501731640447052
"IFI35",0.501557479600497,0.501557479600497
