"Contributeur","Value","Factor20_abs"
"NUDT16",-0.928942384859517,0.928942384859517
"RC3H1-IT1",-0.837516375139997,0.837516375139997
"FER",-0.806190351508665,0.806190351508665
"MACC1",-0.800526401231568,0.800526401231568
"AKR1A1",-0.791984005464168,0.791984005464168
"LINC00342",-0.780251426706375,0.780251426706375
"MRPL32",-0.723316271302063,0.723316271302063
"E2F2",-0.686931983170329,0.686931983170329
"C19orf48",-0.686274421035341,0.686274421035341
"AC104564.5",-0.675860694827895,0.675860694827895
"QSER1",-0.675772547627717,0.675772547627717
"NCOA7",-0.660962486469005,0.660962486469005
"ENO1",-0.652414391758753,0.652414391758753
"SECTM1",-0.650385195275608,0.650385195275608
"INHBB",-0.64715069900996,0.64715069900996
"PFKFB2",-0.646169415616552,0.646169415616552
"IGKV3D-15",-0.64442340865809,0.64442340865809
"ZNF680",-0.641432954973238,0.641432954973238
"LTBP3",-0.618433832503915,0.618433832503915
"ERLIN1",-0.613928631765844,0.613928631765844
"CSPG4P12",-0.610360827235109,0.610360827235109
"ANXA2R",-0.609305031495447,0.609305031495447
"PDE5A",-0.607780697435561,0.607780697435561
"IGKV2-24",-0.602178743134904,0.602178743134904
"SF3B3",-0.601618861945613,0.601618861945613
"ATP5MPL",-0.59590916034226,0.59590916034226
"TRIM22",-0.594793499072084,0.594793499072084
"RABEP2",-0.593380960162152,0.593380960162152
"TRIM5",-0.588100436890546,0.588100436890546
"CALB1",-0.5868791587636,0.5868791587636
"IGHV1-69",-0.586797456162347,0.586797456162347
"HS3ST3B1",-0.580154352937768,0.580154352937768
"UBA5",-0.580115898388808,0.580115898388808
"CCDC171",-0.579876329744455,0.579876329744455
"HIST1H2BL",-0.579644270921991,0.579644270921991
"JAK3",-0.577073035734183,0.577073035734183
"RPL37",-0.572165180716141,0.572165180716141
"COL9A2",-0.567205875428992,0.567205875428992
"IGKV1-39",-0.566007126767711,0.566007126767711
"PHC2",-0.56582492037991,0.56582492037991
"RASSF8",-0.563274297256433,0.563274297256433
"IFI30",-0.557381643609206,0.557381643609206
"SLPI",-0.554113273253338,0.554113273253338
"FGR",-0.553364687816172,0.553364687816172
"LINC02141",-0.552784886957474,0.552784886957474
"CHGB",-0.552480073406645,0.552480073406645
"UROS",-0.549020655312384,0.549020655312384
"DNAJC10",-0.542854292624844,0.542854292624844
"IRAK3",-0.539564990637755,0.539564990637755
"TMEM126B",-0.527191307439752,0.527191307439752
"CRIP1",-0.5250030199071,0.5250030199071
"NPAP1",-0.522337565748224,0.522337565748224
"AC015813.2",-0.521113571302723,0.521113571302723
"MYDGF",-0.517349978791411,0.517349978791411
"RPL21P123",-0.516058555732359,0.516058555732359
"FNBP1L",-0.51273713727294,0.51273713727294
"RGS3",-0.512477169608848,0.512477169608848
"SMC2",-0.510546452988621,0.510546452988621
"MAPK14",-0.508363172003895,0.508363172003895
"AC018638.2",-0.507791892928901,0.507791892928901
"MOCS2",-0.507704225079056,0.507704225079056
"NDUFS8",-0.505896435188746,0.505896435188746
"LINC00694",-0.505210644645241,0.505210644645241
"THRB",-0.504723731228907,0.504723731228907
"KYNU",-0.500980804043075,0.500980804043075
