"Contributeur","Value","Factor12_abs"
"STX3",-1,1
"RABEP2",-0.798422708357831,0.798422708357831
"RPL41",-0.765196192352669,0.765196192352669
"CDC123",-0.737412391118699,0.737412391118699
"SELENOK",-0.720444021825178,0.720444021825178
"ARHGAP28",-0.709155519672011,0.709155519672011
"CHIA",-0.644946731763202,0.644946731763202
"GSPT1",-0.641652770537799,0.641652770537799
"RPL3",-0.630503399420575,0.630503399420575
"UQCR10",-0.625341971309008,0.625341971309008
"RARA-AS1",-0.624778780726957,0.624778780726957
"GPBP1",-0.624503358063968,0.624503358063968
"VEZT",-0.608093179523788,0.608093179523788
"ARHGEF12",-0.601784445039074,0.601784445039074
"USP25",-0.592518959998593,0.592518959998593
"TSSC4",-0.589174444949571,0.589174444949571
"RPS15A",-0.5852365551674,0.5852365551674
"GCN1",-0.577801995055108,0.577801995055108
"SUB1",-0.575345968085661,0.575345968085661
"RPL31",-0.568343615388485,0.568343615388485
"BZW1",-0.555724603262049,0.555724603262049
"KLHL3",-0.551292656331836,0.551292656331836
"SLC9B2",-0.548031471761307,0.548031471761307
"RPS7",-0.539714534471196,0.539714534471196
"WDR87",-0.538093602348808,0.538093602348808
"PNPLA8",-0.533068897948249,0.533068897948249
"RPP30",-0.528828302487168,0.528828302487168
"TXNDC11",-0.523239234705231,0.523239234705231
"LAMTOR3",-0.517526282278601,0.517526282278601
"RPL7A",-0.513628730620649,0.513628730620649
"RNASEL",-0.51252997196701,0.51252997196701
"USP32",-0.51048766539171,0.51048766539171
"NHSL1",-0.509195672617389,0.509195672617389
