Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
ATXN1,1,0,0,0
TCF7,1,0,0,0
PVT1,1,0,0,0
PIM3,0,1,0,0
NFATC1,0,1,0,0
RAB11B,0,1,0,0
RNH1,0,1,0,0
SKI,0,1,0,0
ZC3H12A,0,1,0,0
THAP7,0,1,0,0
FOXP4,0,1,0,0
B3GALT4,0,1,0,0
POU2F2,0,1,0,0
IDS,0,1,0,0
ITM2A,0,1,0,0
LYPLA1,0,1,0,0
CCDC9B,0,1,0,0
MPG,0,1,0,0
ISYNA1,0,1,0,0
TEDC1,0,1,0,0
RABAC1,0,1,0,0
MGRN1,0,1,0,0
ZFP36L1,0,1,0,0
TIPARP,0,1,0,0
WNT7A,0,1,0,0
ABCD1,0,1,0,0
EID1,0,1,0,0
PLEKHG2,0,1,0,0
MZT2B,0,1,0,0
PRDM2,0,1,0,0
SCAND1,0,1,0,0
TP53I13,0,1,0,0
PELI1,0,1,0,0
RPL41P1,0,1,0,0
TOMM40,0,1,0,0
SAMD4B,0,1,0,0
UCP2,0,1,0,0
RPL23AP42,0,1,0,0
RAP1A,0,1,0,0
YPEL3,0,1,0,0
TXN,0,1,0,0
AC018638.5,0,1,0,0
BCL3,0,1,0,0
C19orf24,0,1,0,0
NECTIN3,0,1,0,0
GAS6,0,1,0,0
ZFP36,0,1,0,0
WIZ,0,1,0,0
DNAJB1,0,1,0,0
GABBR1,0,1,0,0
ACTA2,0,1,0,0
CCDC65,0,1,0,0
GPR183,0,1,0,0
ARID5A,0,1,0,0
SF3A2,0,1,1,0
IQSEC1,0,1,0,0
GLIPR1,0,1,0,0
TENM1,0,1,0,0
MRPL23,0,1,0,0
VSIG1,0,1,0,0
ELL,0,1,0,0
NCOR2,0,1,0,0
BAD,0,1,0,0
TIAF1,0,1,0,0
ZFP36L2,0,1,0,0
FAM96B,0,1,1,0
VAMP2,0,1,0,0
AC011939.1,0,1,0,0
PPP1R14B,0,1,0,0
PPDPF,0,1,0,0
P2RY10,0,1,0,0
SETD1A,0,1,0,0
NFIC,0,1,0,0
AC093010.2,0,1,0,0
LMF1,0,1,0,0
CD99,0,1,0,0
KDM6B,0,1,0,0
FAM89B,0,1,0,0
RNF138,0,1,0,0
PTP4A1,0,1,0,0
WNT10A,0,1,0,0
ARHGAP18,0,1,0,0
RPL21P75,0,1,0,0
COTL1,0,1,0,0
AC092821.1,0,1,0,0
BLVRA,0,1,0,0
ASAP1,0,1,0,0
FOXP3,0,1,0,0
SVIP,0,1,0,0
ZNF628,0,1,0,0
PPP2R2B,0,1,0,0
CYB561,0,1,0,0
CLCN5,0,0,1,0
NAALADL1,0,0,1,0
EIF3G,0,0,1,0
MAD2L2,0,0,1,0
ALOX5,0,0,1,0
NOC2L,0,0,0,1
SHOC2,0,0,0,1
B2M,0,0,0,1
BACH1,0,0,0,1
RAB8B,0,0,0,1
NCOA1,0,0,0,1
TP53,0,0,0,1
MOCS2,0,0,0,1
EVI2A,0,0,0,1
GSPT1,0,0,0,1
PIGX,0,0,0,1
MYO9A,0,0,0,1
BAZ2B,0,0,0,1
CMPK1,0,0,0,1
PPP4R2,0,0,0,1
MTX3,0,0,0,1
UBE3D,0,0,0,1
POLR2A,0,0,0,1
