Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
RPS6KA3,1,0,0,0
PICALM,1,0,0,0
CYBA,1,0,0,0
1-Mar,1,0,0,0
VPS51,1,0,0,0
EXOC6,1,0,0,0
SMNDC1,1,0,0,0
LINS1,1,0,0,0
CLNS1A,1,0,0,0
AC092329.1,1,0,0,0
PLXNA3,1,0,0,0
CBL,1,0,0,0
KIAA0513,1,0,0,0
ARHGAP4,1,0,0,0
ECHDC1,1,0,0,0
CXXC5,1,0,0,0
RPLP0,1,0,0,0
NPTN,1,0,0,0
SLC25A32,1,0,0,0
UBA3,1,0,0,0
CXorf57,1,0,0,0
TRAF5,1,0,0,0
ZNF518A,1,0,0,0
PWP1,1,0,0,0
BTG1,1,0,0,0
CASD1,1,0,0,0
MAPK1,1,0,0,0
JAZF1,1,0,0,0
DRAM2,1,0,0,0
FAM129C,1,1,0,0
USP45,1,0,0,0
HIGD1A,1,0,0,0
TMEM259,1,0,0,0
YWHAQ,1,0,0,0
MBNL3,1,0,0,0
BIRC3,1,0,0,0
GLO1,1,0,0,0
FAM172A,1,0,0,0
PTEN,1,0,0,0
RNF111,1,0,0,0
HSBP1,1,0,0,0
HCFC1,1,0,0,0
C3orf38,1,0,0,0
PDCD10,1,0,0,0
DOCK11,1,0,0,0
DCUN1D1,1,0,0,0
UFM1,1,0,0,0
CWC15,1,0,0,0
FAM69A,1,0,0,0
RACK1,1,0,0,0
CFLAR,1,0,0,0
CYTIP,1,0,0,0
TMEM140,1,0,1,0
NDUFA4,1,0,0,0
NPEPPS,1,0,0,0
UBE2K,1,0,0,0
JADE1,1,0,0,0
SLC30A6,1,0,0,0
BAZ2B,1,0,0,0
ZMYM2,1,0,0,0
STAP1,1,0,0,0
CAP1,1,0,0,0
AKAP1,1,0,0,0
UBE2L3,1,0,0,0
CD53,1,0,0,0
FERMT3,1,0,0,0
QKI,1,0,0,0
TNPO1,1,0,0,0
KLHL14,1,0,0,0
UBR3,1,0,0,0
ARPC5,1,0,0,0
TMEM184C,1,0,0,0
GSDMD,1,0,0,0
ISG20,1,0,0,0
RBM7,1,0,0,0
CSF2RB,0,1,1,0
ADAM19,0,1,0,0
FBXL8,0,1,0,0
SEMA3G,0,1,0,0
TYMP,0,1,0,0
SLC11A1,0,1,1,0
LRRK2,0,1,1,0
NCF4,0,1,1,0
USP46,0,1,0,0
ALOX5,0,1,0,0
AC016831.1,0,1,0,0
IL2RA,0,1,0,0
AFDN,0,1,0,0
MMP25,0,1,0,0
TMEM200A,0,1,0,0
AC016831.5,0,1,0,0
IRAK3,0,1,1,1
