Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
GAPT,1,0,0,0
CMTR2,1,0,0,0
S100A11,1,1,1,0
CBFB,1,0,0,0
AC125257.1,1,0,0,0
TROVE2,1,1,0,0
SOCS4,1,0,0,0
STARD4,1,0,0,0
ZDHHC21,1,0,0,0
ARMT1,1,0,0,0
ARMCX2,1,0,0,0
SLC38A2,1,0,0,0
MOB1A,1,0,0,0
GOLGA7,1,0,0,0
SAMD9,1,0,1,0
RAB8B,1,0,0,0
PAWR,1,0,0,0
ARL5A,1,1,0,0
KRAS,1,0,0,0
CLUH,1,0,0,0
PAF1,1,0,0,0
ABRACL,1,0,0,0
SQLE,1,0,0,0
TLR10,1,0,0,0
ZMAT3,1,0,0,0
AMPD2,1,0,0,0
AP5M1,1,0,0,0
UBA3,1,0,0,0
METTL7A,1,0,0,0
CCDC88B,1,0,0,0
RAB35,1,0,0,0
DYNLT3,1,0,0,0
GPR18,1,0,0,0
TMEM214,1,0,0,0
AKAP1,1,0,0,0
IPMK,1,0,1,0
TSC22D4,1,0,1,0
UBE2D1,1,1,0,0
DENR,1,0,0,0
ZFP36,1,1,1,0
HSPD1,1,0,0,0
FKBP4,1,0,0,0
MAP1S,1,1,0,0
RNF219,1,0,0,0
SPCS2,1,0,0,0
FAM91A1,1,0,0,0
SRP9,1,0,0,0
SH2D3C,1,0,1,0
LARP7,1,0,0,0
PDLIM1,1,0,0,0
LPAR5,1,0,0,0
FBXL19,1,0,0,0
RAB33B,1,0,0,0
COMMD8,1,0,0,0
SYNCRIP,1,0,0,0
AL645941.2,1,0,0,0
POLRMT,1,0,0,0
EIF3J,1,0,0,0
FASN,1,0,0,0
MAF,1,1,0,0
NOTCH1,1,0,1,0
GUF1,1,0,0,0
RPS6KB1,1,0,0,0
CGGBP1,1,0,0,0
WDR46,1,0,0,0
BASP1,1,0,1,1
DUSP7,1,0,0,0
IFIH1,1,0,0,0
CCND2,1,1,0,0
ANP32E,0,1,0,0
PPP1R9B,0,1,1,0
SH3BGRL3,0,1,1,0
MOB3A,0,1,1,0
TGFB1,0,1,0,0
CNOT3,0,1,1,0
MT-ND4L,0,1,0,0
APOBR,0,1,1,1
TLE3,0,1,0,0
HSPB1,0,1,0,0
RNF44,0,1,1,0
BHLHE40,0,1,0,0
NACC1,0,1,1,0
FAM110A,0,1,1,0
EVI2B,0,1,1,0
CAMTA2,0,1,0,0
LIN7C,0,1,0,0
MT-ATP6,0,1,0,0
MYADM,0,1,1,0
PIM1,0,1,0,0
MT-ND4,0,1,0,0
TMED5,0,1,1,0
MT-CO2,0,1,1,0
CHD3,0,1,0,0
ARL4C,0,1,0,0
ZYX,0,1,1,0
PNN,0,1,0,0
RAC2,0,1,1,0
PLEC,0,1,0,0
MT-ATP8,0,1,0,0
