Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
BRAP,1,0,0,0
HSPD1,1,0,0,0
RBM22,1,0,0,0
SRSF6,1,0,0,0
TUG1,1,0,0,0
GABARAP,1,0,0,0
RPL29,1,0,1,0
DRG1,1,0,0,0
PHF8,1,0,0,0
CDK16,1,0,1,0
PSMB4,1,0,0,0
ZNF410,1,0,0,0
CHMP3,1,0,0,0
NOP58,1,0,0,0
ZNF142,1,0,0,0
KAT5,1,0,0,0
RPL5,1,0,0,0
BZW1,1,0,0,1
SUMO1,1,0,0,0
DNAJA2,1,0,0,0
PPP1R8,1,0,0,0
NUTF2,1,0,0,0
RPL17,1,0,0,0
RPL32,1,0,0,0
HGS,0,0,1,0
EDF1,0,0,1,0
DNAJC4,0,0,1,0
HSF1,0,0,1,0
SIRT7,0,0,1,0
CLPTM1,0,0,1,0
LRCH4,0,0,1,0
TMEM259,0,0,1,0
IRF3,0,0,1,0
OTUB1,0,0,1,0
MRPS2,0,0,1,0
NAGK,0,0,1,0
HEXB,0,0,1,0
TNIP2,0,0,1,0
PARS2,0,0,1,0
UBA52,0,0,1,0
MRPL55,0,0,1,0
DEF8,0,0,1,0
FAAP20,0,0,1,0
RPLP0,0,0,1,0
TRIM21,0,0,1,0
ASB6,0,0,1,0
TFEB,0,0,1,0
ZGPAT,0,0,1,0
RNF130,0,0,1,0
USP36,0,0,1,0
CXXC1,0,0,1,0
ALYREF,0,0,1,0
MAP2K7,0,0,1,0
IDH3G,0,0,1,0
RFNG,0,0,1,0
ATG4D,0,0,1,0
MAP3K14,0,0,1,0
MAP1S,0,0,1,0
HNMT,0,0,1,0
MAD2L2,0,0,1,0
KDM4B,0,0,1,0
RAB5C,0,0,1,0
SBDSP1,0,0,1,0
ANKRD13D,0,0,1,0
SNRPD2,0,0,1,0
EIF4EBP1,0,0,1,0
SLC49A3,0,0,1,0
FBXO44,0,0,1,0
ARL6IP4,0,0,1,0
TPCN1,0,0,1,0
SLC15A2,0,0,1,0
PUSL1,0,0,1,0
SH3BGRL3,0,0,1,0
SIRT2,0,0,1,0
PLD3,0,0,1,0
CYHR1,0,0,1,0
YPEL3,0,0,1,0
FASTK,0,0,1,0
SSR4,0,0,1,0
BRI3,0,0,1,0
SDF2L1,0,0,1,0
ATP6V0B,0,0,1,0
N6AMT1,0,0,1,0
STX3,0,0,0,1
RABEP2,0,0,0,1
RPL41,0,0,0,1
CDC123,0,0,0,1
SELENOK,0,0,0,1
ARHGAP28,0,0,0,1
CHIA,0,0,0,1
GSPT1,0,0,0,1
RPL3,0,0,0,1
UQCR10,0,0,0,1
RARA-AS1,0,0,0,1
GPBP1,0,0,0,1
VEZT,0,0,0,1
ARHGEF12,0,0,0,1
USP25,0,0,0,1
TSSC4,0,0,0,1
RPS15A,0,0,0,1
GCN1,0,0,0,1
SUB1,0,0,0,1
RPL31,0,0,0,1
KLHL3,0,0,0,1
SLC9B2,0,0,0,1
RPS7,0,0,0,1
WDR87,0,0,0,1
PNPLA8,0,0,0,1
RPP30,0,0,0,1
TXNDC11,0,0,0,1
LAMTOR3,0,0,0,1
RPL7A,0,0,0,1
RNASEL,0,0,0,1
USP32,0,0,0,1
NHSL1,0,0,0,1
