Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
TCL1A,1,0,0,0
IGHD,1,0,0,0
IGHM,1,0,0,0
AL139020.1,1,0,0,0
TCL6,1,0,0,0
IGLL5,1,0,0,0
CD200,1,0,0,0
TSPAN13,1,0,0,0
IGHV1-18,1,0,0,0
IL4R,1,1,0,0
FCER2,1,0,0,0
TREML2,1,0,0,0
PLPP5,1,0,0,0
KCNG1,1,0,0,0
FPR1,1,0,0,0
MACROD2,1,0,0,0
TAPT1,1,0,0,0
KCNJ15,1,0,0,0
IGKC,1,0,0,0
FPR2,1,0,0,0
IGKV1-33,1,0,0,0
COL19A1,1,0,0,0
JCHAIN,1,0,0,0
IGLC3,1,0,0,0
FCRL1,1,0,0,0
TNFRSF17,1,0,0,0
IGHV3-21,1,0,0,0
MZB1,1,0,0,0
IGKV1-8,1,0,0,0
CLCN4,1,0,0,0
AQP9,1,0,0,0
ELL3,1,0,0,0
SPRY1,1,0,0,0
IGKV1D-8,1,0,0,0
S100A8,1,0,0,0
CD72,1,0,0,0
PTGS2,1,0,0,0
CXCR2,1,0,0,0
TNFRSF10C,1,0,0,0
CSF3R,1,0,0,0
APBB2,1,0,0,0
BACH2,1,1,0,0
CORO2B,1,0,0,0
ADGRE3,1,0,0,1
MMP17,1,0,0,0
IGHV3-7,1,0,0,0
MGAM,1,0,0,0
SLC2A5,1,0,0,0
G0S2,1,0,0,0
CYP4F3,1,0,0,0
DPPA4,1,0,0,0
BCL2,0,1,0,0
CD1D,0,1,0,0
MS4A14,0,1,0,0
TMEM170B,0,1,0,0
STAT4,0,1,0,0
PID1,0,1,0,0
BST1,0,1,0,0
LILRA1,0,1,0,0
SIRPB2,0,1,0,0
ZNF91,0,1,0,0
RRBP1,0,1,0,0
PRF1,0,1,0,0
GPRC5B,0,1,0,0
RASGRP4,0,1,0,0
ABLIM1,0,1,0,0
CTSS,0,1,0,0
PSAP,0,1,0,0
SCPEP1,0,1,0,0
CD300E,0,1,0,0
MS4A7,0,1,0,0
ITPR3,0,1,0,0
IRAK3,0,1,0,0
RIN2,0,1,0,0
SLC7A7,0,1,0,0
HHEX,0,1,0,0
LINC01550,0,1,0,0
CYP1B1,0,1,0,0
RBM47,0,1,0,0
IFI30,0,1,0,0
CD300LF,0,1,0,0
LYN,0,1,1,0
CD86,0,1,0,0
USP28,0,1,0,0
UBE2E2,0,1,0,0
DPP4,0,1,0,0
ADAMTSL4,0,1,0,0
THNSL1,0,1,0,0
ITGA6,0,1,0,0
PYGL,0,1,0,0
APOBEC3A,0,1,0,0
CDK6,0,1,0,0
ZNF185,0,1,0,0
GRN,0,1,0,0
