Contributeur
EIF2AK2
XAF1
EPSTI1
HERC6
IFI6
MX1
DDX60
HERC5
OAS2
OASL
ISG15
LY6E
OAS3
USP18
IFIT2
SPATS2L
CMPK2
IFI44
IFIT3
IFIT1
RSAD2
