pathway,pval,padj,log2err,ES,NES,size,leadingEdge,absNES
GOBP_MDA_5_SIGNALING_PATHWAY,0.000544601260559979,0.0383502320105142,0.477270815362862,0.891006835822619,1.75570973850794,11,OAS3|DDX60|IRF7|RIOK3|DHX58|IFIH1,1.75570973850794
GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE,0.00057761181493514,0.0401324689016936,0.477270815362862,0.587100934781269,1.65763840045168,87,USP18|OAS3|LGALS9|ISG15|OAS1|SAMHD1|ADAR|NMI|USP15|DHX58|STAT2|PPP6C|USP38|YTHDF3|IFI16|SERPINB9|KLRD1|ATG12|HLA-F|MICA|HAVCR2|AURKB|PARP14|TREX1|PPARG|DTX4|ARG1|DCST1|IRAK3,1.65763840045168
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,0.000617847932074585,0.0423632312373772,0.477270815362862,0.676231675100315,1.76987820811633,49,RB1|KNL1|KIF2C|ABRAXAS1|CENPC|NUF2|NSL1|CCNB1|AURKB|SGO1|ZNF207|ZWILCH|DSN1|PMF1|BIRC5|CENPE|NDC80|BUB3|CDT1|ECT2|RCC2|MAD1L1|APC|KNSTRN|KAT2B|ABRAXAS2|RACGAP1|TEX14,1.76987820811633
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,0.00066411797355552,0.0449443994830885,0.477270815362862,0.421925167129675,1.39336251907918,421,PARP9|CDK6|BRCA2|RB1|DTX3L|FBXO6|CDC25C|RRM2B|PKD2|FBXO5|BARD1|PTEN|SASS6|MDM2|KNL1|CENPF|CDC25B|KANK2|APBB2|BCL7A|DPF3|BRIP1|UFL1|SMARCD3|BLM|RAD51C|ANXA1|VPS4B|ID2|FBXO4|KCNA5|MBTPS2|ABRAXAS1|PBRM1|AIF1|BUB1B|SLFN11|NUF2|STIL|ZWINT|MAD2L1|CDC73|BUB1|DACT1|PSME2|FOXN3|CHEK1|UBE2C|CDK1|ATF2|UBE2E2|CCNB1|CUL4B|AURKB|SMARCE1|CRADD|CDKN2B|RAD51B|ATAD5|CDC25A|TRIP13|MTBP|PHF10|RBL1|DYNC1LI1|TREX1|ETAA1|ZNF207|ZWILCH|UBD|KIF14|BIRC5|CENPE|CDC6|GTSE1|NBN|MACROH2A1|RINT1|NSMCE2|PABIR1|FEM1B|PPP2CA|RRM2|INIP|CDKN1B|CDKN2C|HECW2|RAD21|PSMG2|NDC80|RGCC|CDC45|EZH2|BUB3|RBBP8|HSPA2|CUL3|DLGAP5|SOX2|CDT1|NSUN2|MSH2|TMEM14B|STK33|PLK1|DTL|MN1|PML|DBF4|TCIM|ANLN|HUS1B|ATR|DNA2|TAOK1|PKMYT1|TIPRL|RNASEH2B|SDE2|RCC2|MAD2L1BP|DONSON|PLRG1|INHBA|TMOD3|CDC5L|TIPIN|CDC20|ERCC6|RRM1|MRE11|WAC,1.39336251907918
GOBP_REGULATION_OF_STRIATED_MUSCLE_TISSUE_DEVELOPMENT,0.00069575591176024,0.0464818468741361,0.477270815362862,0.82331247438379,1.76470189441254,17,CENPF|CREB1|MTPN|LUC7L|SMAD3|SOX15|LEF1|LOX,1.76470189441254
GOBP_CELL_KILLING,0.000717552775629546,0.0473312343519692,0.477270815362862,0.478035603936439,1.50412757166894,217,LGALS9|GBP5|GBP1|RAB27A|GBP2|STAP1|STX7|ARL8B|FCGR3A|CLEC7A|TAP2|VAMP7|FCER2|SCNN1B|CD55|TYROBP|CX3CR1|PPP3CB|MAPK8|IL18RAP|GBP7|LYZ|SERPINB9|HPRT1|KLRD1|H2BC11|GZMB|PTPRC|HLA-F|MICA|HAVCR2|IL12B|B2M|NKG7|IL7R|NINJ1|CRTAM|IL10|APOL1|GBP3|CD5L|CD59|KLRB1|PRF1|CD2|KLRK1|CD1A|EBAG9|KIF5B|GZMH|IL18|CHGA|FCGR1A|MUC7|ARG1|IGHG1|SLAMF7|LTF,1.50412757166894
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY,0.000748987132418578,0.0486171592312262,0.477270815362862,0.434701382063173,1.41245100844531,348,RSAD2|EIF2AK2|OASL|OAS3|DDX60|TLR7|GBP5|OAS1|TRIM25|IRF7|GBP2|NCOA2|JAK2|RIOK3|RIGI|ALPK1|USP15|THRB|DHX58|KANK2|NOD2|TMF1|CD36|SLC46A2|NEK7|UFL1|VDR|IFIH1|MAPK8|NR3C1|MAP3K7|NEDD4|CITED2|ERBIN|PIM1|STMP1|BIRC2|PUM2|STING1|UBE3A|PRCP|HMGB1|HAVCR2|CYP26A1|TLR8|BIRC3|KDM4C|TIFA|PIAS2|DHRS3|UFM1|WDFY1|NR2F2|SLC15A2|MAP2K6|LMO3|CTBP2|MAPK1|LATS1|KCNJ8|MEFV|CAV1|SLC15A4|STRN3|DCBLD2|PPP2CA|TRIM24|XIAP|LSM14A|NR1D2|NOD1|PPARG|IRGM|TBK1|TLR3|EZH2|RFTN1|EPG5|AHRR|MN1|CSNK1A1|PML|CARD8|BTK|CNOT2,1.41245100844531
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,0.000766351519536775,0.0486171592312262,0.477270815362862,0.685119092733356,1.75975055696224,43,INSIG1|UBAC2|SP100|BARD1|LMAN1|CD36|NF1|YOD1|ERLEC1|UBE2J1|KCNE1|DERL2|DERL3|PKIG|UFM1|APOD|SUMO1|SIAH3,1.75975055696224
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE,0.000774366573823023,0.0486171592312262,0.477270815362862,0.44748711848614,1.44315642642637,316,PLSCR1|BRCA2|RB1|SLF1|CDC25C|RRM2B|PKD2|FBXO5|SASS6|UBXN2B|MDM2|PKN2|CDC25B|SMC4|RAD51AP1|MAP10|SMARCD3|RAD51C|ANXA1|VPS4B|UBE2B|PHIP|MAP3K7|KCNA5|CITED2|AIF1|STIL|MAD2L1|CDC73|BUB1|CHEK1|UBE2C|CDK1|KIF23|UBE2E2|CCNB1|CUL4B|AURKB|NUSAP1|NCAPH|RAD51B|ATAD5|CDC25A|MTBP|ANKRD31|IL10|CCPG1|IGF1|DYNC1LI1|RBM46|SLF2|DYNLT3|FGFR2|PRKCE|KIF20B|KIF14|MEIS2|BIRC5|WNT5A|SMC2|CDC6|SOX15|PAFAH1B1|MACROH2A1|PSRC1|NSMCE2|PLK4|RRM2|SMC5|FEN1|RAD21|NCAPG|NDC80|SPAST|RGCC|PDGFB|EZH2|TAS2R13|HSPA2|RAD18|CUL3|DLGAP5|PKP4|DTL|ECT2|DBF4|CCNY|CD28|PSMD10|NR2E1|FOXA1|EIF4E|RCC2|MAD2L1BP|PLRG1|TMOD3|CIT|CDC20|RRM1|EGF|MAD1L1|DUSP3|TGFA|RPS6KB1|HOXA13|EREG|ESPL1|MSX2,1.44315642642637
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,0.000759446315086049,0.0486171592312262,0.477270815362862,0.615681051545183,1.70148588568659,73,MAN1A1|INSIG1|TRAM1|UBAC2|RAB3GAP1|SRP9|SPCS3|BCAP29|INSIG2|SGTB|SSR3|SEC63|SPCS2|VPS54|SEC62|SNAP25-AS1|SPCS1|SRP72|ANKRD13C|SRP54|VAPA|TTC9-DT|KDELR3|EDEM1|RAB10|RAB3GAP2|CRYZL2P-SEC16B|SEC61G|SEC61B,1.70148588568659
GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY,0.000795117093570258,0.049325656840412,0.477270815362862,-0.356642578553878,-1.33622198317602,463,SGSM1|AGAP3|SOX7|AIM2|COL4A3|PLEK|HSP90AB1|PRKCD|TBC1D9B|RGL3|ARHGAP25|CTSH|TBC1D9|MYC|TAX1BP3|BBC3|LPAR2|MAPT|RPS3|PPP1R15A|TBC1D17|SH3BP1|TBC1D2|DOCK6|PRR7|DDX11|ATP2A3|ROBO1|CIDEB|TBC1D12|DOCK7|GMIP|NKX3-1|RASGRF1|RALGDS|FYN|SGSM2|RGS10|DIABLO|SYDE2|EVI5L|RAPGEF1|GPR55|TBC1D10C|AKT1|NLRC4|PPM1F|CORO1C|HRAS|FGF2|DOCK10|RASGRP2|ASAP3|TBC1D20|PREX1|AGER|VCP|ESR1|CYFIP2|RAP1GAP2|ARHGEF19|APOA1|SLC27A4|DVL3|NDEL1|TBC1D22A|ARHGAP27|GARNL3|SIPA1|GRN|SYK|RGS7|ARHGAP45|PLCB2|ITGB1|TBC1D10B|ANG|RGP1|AGAP2|PIP5K1A|IFT57|RALGPS1|CD40|ARAP1|PDGFRB|HSPA1A|PDPK1|SNX9|CR1|TBC1D26|KHDC1|PHB2|SNCA|TBC1D10A|ARHGAP24|FAM162A|PIDD1|BAX|SMCR8|NR1H2|HSPE1|MAP4K4|DDX3X|BCL2L10|EPHA4|FCRL3|CASP10|APH1A|PTPA|TBC1D13|CASP8|TBC1D8B|SCRIB|RHOG|MTSS2|CASP9|MUL1|F3|HSPD1|ADRA1A|RANGAP1|AVPR1B,1.33622198317602
GOBP_LONG_TERM_MEMORY,0.00080969759713574,0.0496392256314628,0.477270815362862,-0.667781598487061,-1.82137149937857,38,EHMT2|CHST10|PRKCZ|RGS14|SRF|CAMK2N1|RASGRF1|CTNS|ARC|KAT2A|APOE|SGK1|CCND2|ADCY8|PRNP,1.82137149937857
