"","IL33","IL34","IL5","IL6RALPHA","IL6","IL8","IL9","MCSF","MCP1","MCP3","MIF","MIG","MIP1ALPHA","MIP1BETA","MIP3A","MMP13","MMP1","MMP2","MMP3","MMP7"
"MEpurple",0.765646759334121,0.263713937342164,0.859146769000547,0.953599134596793,0.768009968586463,0.853670696008087,0.478847944412578,0.787444797759817,0.719306857732112,0.364469620633296,0.979756031057622,0.384668804829049,0.65939358686825,0.611800441703373,0.541432407367719,0.538644175348264,0.556825835238255,0.647240528064695,0.662759971731114,0.512632173715452
"MEdarkgrey",0.292415587962896,0.753776329540958,0.126544586076228,0.219038752994092,0.639603062860393,0.435679670402294,0.497500880022374,0.64131727375107,0.443522623898783,0.47864227370373,0.286542903850463,0.487835986008315,0.704460835397901,0.67035311415178,0.172513811415778,0.308505536288443,0.212582496852497,0.12881366003012,0.237983435412031,0.285973126822425
"MEdarkturquoise",0.776608309239473,0.19637329395798,0.562671359241712,0.937926572705607,0.957309862818684,0.860371003836188,0.667682623337484,0.956168624534083,0.6697745153633,0.410302482895873,0.896609515636426,0.332161668325101,0.948379045797969,0.673392447136684,0.64912812058836,0.67086976297486,0.583978453504605,0.626571649603882,0.60679801555334,0.594448543489772
"MEsalmon",0.248042799874352,0.627646461201256,0.159153660773463,0.137423943875126,0.894258395672227,0.271051810380947,0.191726047510663,0.722072003115821,0.287950645909632,0.515591998457306,0.82817563082309,0.340846111459015,0.0219630200080401,0.305207057118326,0.0814821086688941,0.112306958982835,0.177941268888081,0.0735315083242907,0.404168893488406,0.405852113977355
"MEorange",0.436680737166434,0.797489319495741,0.502488452615275,0.22189549683302,0.398037233388882,0.593200351943865,0.196413577288898,0.627111543332357,0.20642167246537,0.0938376025003562,0.255413256890706,0.0789256113194372,0.236978367840022,0.323762980706389,0.270962309684026,0.130004824263819,0.440642894102148,0.489889039150585,0.0792809646395267,0.188314495020679
