"","padj.MM.purple","padj.MM.darkgrey","padj.MM.darkturquoise","padj.MM.salmon","padj.MM.orange"
"B_IFI44L",7.53907625951425e-18,0.000158497247479581,7.81007416558133e-40,0.0147376250207706,0.00056458599433993
"B_CD3G",0.945541746849237,0.23489277516498,0.700682346665046,0.159381834176351,0.000923486488108888
"B_HLA-DQA2",0.0682500862881345,0.595460585524448,0.00884232611551772,0.698978433468943,0.051804307521402
"B_CFP",0.865457533311164,0.922088615121842,0.00198649559768101,0.471155049504543,3.62036956909499e-05
"B_FCER1G",0.881674448971782,0.828323960329063,0.00326668324564419,0.32844416557432,6.49747490895336e-07
"B_SECTM1",0.702698258457308,0.702051291056541,6.35909536218562e-06,0.600987208587245,1.52731456540564e-07
"B_IGKC",0.220192787340047,0.634686591843525,0.0925098403316447,0.907291717566164,9.22043075025089e-11
"B_TGFBI",0.987157850856148,0.119856908468548,0.789111943566445,0.233475545237828,0.00688365015107406
"B_PRKCH",0.997469330671049,0.970966106445927,0.179073808553601,0.285198034427902,9.12323026760636e-07
"B_DOCK5",0.900861466260774,0.744317502139913,0.000826649254326802,0.426193375832001,2.06456391620902e-09
"B_ITGA6",0.855444777666563,0.490003297387145,0.391670128179818,0.412243268683559,1.06355693647775e-06
"B_TNFRSF1A",0.979911126091788,0.985024457511013,0.00054098213813425,0.482930039115766,2.85026622172992e-08
"B_TIAM1",0.757185695925884,0.448519105121146,0.295936578556997,0.246700102682444,0.00019194006322214
"B_GZMK",0.813490644577593,0.345176718138872,0.54054634522579,0.322839776323491,0.00261367982790497
"B_LEF1",0.698673763616969,0.467306068171525,0.718973989865267,0.330134206991981,5.68616766841963e-05
"B_SLC40A1",0.939183770214178,0.848757394087289,0.00073986257896846,0.569548994524259,3.09978915601264e-10
"B_CLEC12A",0.837024453547705,0.40891526288468,0.079935138673911,0.327044780253553,2.99803176202377e-08
"B_WDFY3",0.838629352072705,0.853931916073449,0.000197253969547361,0.624984816469372,8.02000886675349e-15
"B_BST1",0.85810853102229,0.904660424544312,5.91645824422097e-05,0.545225473432463,6.94844608287296e-09
"B_PTGER2",0.79925097097652,0.751365942520355,0.0870463799266998,0.358110418256255,4.03396517292062e-06
"B_CSF1R",0.903398462145834,0.435033867730181,0.236613341621435,0.225967807300479,0.00297212613109773
"B_STEAP4",0.864075667723835,0.87898396623937,4.1185158301516e-05,0.567537505456005,1.6067670919353e-11
"B_CD8A",0.792723106935331,0.584927267149791,0.541080543637861,0.321346444022626,0.000637423911496852
"B_PTGS2",0.959133734341835,0.555256271892199,0.00019882309436522,0.907291717566164,9.46551129366957e-14
"B_CSTA",0.988959564919208,0.794287440173932,0.00242014491086679,0.348084848781713,1.7851127776643e-08
"B_GIMAP8",0.760627806392833,0.783343834318329,0.0898116124056557,0.363774437257234,8.3494837294894e-08
"B_RSAD2",9.46881156657203e-10,0.000499779369139874,5.22940411725734e-49,0.0487757568350569,4.0755557803937e-10
"B_KLRB1",0.978904811908675,0.826163695665191,0.10684797470717,0.370982292640303,4.5983990628775e-06
"B_ID2",0.505069392561498,0.771230917700193,0.00690275416244777,0.530483078308608,1.17622795043458e-07
"B_IGSF6",0.968679724045587,0.915879388539015,7.85097698919758e-05,0.446372316770901,9.89402158500826e-10
"B_CXCR1",0.863805562990276,0.962084777802748,2.03056797032313e-05,0.703909055401514,2.40019750774274e-08
"B_GZMA",0.976935765982896,0.781435342975518,0.0850148399473812,0.419098361148442,4.0584122357306e-06
"B_CD300E",0.474816974841027,0.489357354373121,0.230701177946351,0.270282426928449,1.07496136221538e-05
"B_CD3E",0.920499943180518,0.39573658360242,0.582338979126045,0.343422505933452,0.000463486401289997
"B_CEBPD",0.919232967081565,0.809538657675015,0.000484981857483957,0.48859245812294,6.60452417016387e-10
"B_TNFRSF10C",0.980786293997729,0.959466971144541,6.46914783777687e-06,0.676897618166214,2.65231122692274e-08
"B_GNLY",0.786397112467013,0.68247742437069,0.0492311751616396,0.503218641209518,0.000109223891731321
"B_CLEC4E",0.959415876680837,0.898263936129604,0.000161338220942441,0.454969073155434,3.70590963322961e-10
"B_GNAQ",0.805796414494986,0.736817158139257,0.00288653314560533,0.546389613183985,8.23985606318057e-13
"B_SIRPB2",0.994597653802567,0.928498506973422,0.00124666060462245,0.440337191098592,1.8537583894194e-11
"B_PRKCQ",0.906789497938993,0.625387327682468,0.229183900349455,0.316848938983451,7.37712625634113e-05
"B_LRP1",0.973647317681534,0.189579676147532,0.853662879915737,0.215369211954817,0.248998850003993
"B_DMXL2",0.950878710787143,0.985231454889261,0.00268966647283212,0.480533803234321,2.20332990463415e-11
"B_KCNE3",0.978424822786493,0.814518192436656,0.000502352146930261,0.453651306168199,5.38578661540454e-10
"B_SLFN5",0.206137571951402,0.738432549928503,8.04993274202543e-06,0.754725739481853,2.7020155241234e-05
"B_NCF2",0.649346181806369,0.96936308628187,0.00305348542005289,0.443552648585784,5.92012756040889e-05
"B_CCR1",0.723607926790529,0.871570468761268,8.85181970039172e-07,0.754859906659326,2.06499515002655e-09
"B_DYSF",0.916478369853576,0.956938679298376,0.000647789633431125,0.515841644217748,1.60258805020029e-06
"B_LILRA6",0.956461798946357,0.999789711374824,0.000157731460644384,0.485291872007693,2.40348407985131e-07
"B_NKG7",0.893976439359358,0.467495392420815,0.0162954736979982,0.549353895303224,0.000992985904959119
"B_APOBEC3A",0.58962708896779,0.623154498444558,3.81757659909029e-07,0.846060212855658,5.62730991844965e-08
"B_AL365357.1",0.196544481508126,0.407607916673289,0.0826613183168251,0.91178143557359,0.307684594230137
"B_JCHAIN",0.24221999683255,0.573965052505282,0.315709755961126,0.850024616383705,5.8767505143404e-05
"B_IGHA2",0.238559426289578,0.742698518224147,0.113395634600587,0.955913274548977,8.94272728989011e-07
"B_RGS2",0.635624488142209,0.414318097360895,0.00316500555701712,0.579302365000389,0.000113980827321241
"B_PLEKHG3",0.979686533297135,0.933377257587588,0.000705076117880445,0.485291872007693,2.74035935244301e-08
"B_TLR2",0.982376111049844,0.816690286720826,0.000124123274469118,0.432618606918115,3.80192770646135e-08
"B_SRGN",0.980634594146318,0.793684489597115,6.31034891608339e-05,0.599667034811315,4.05524125450365e-05
"B_CD163",0.948940072185237,0.227152310211465,0.332206049772386,0.286237696968002,0.000787048654918718
"B_AOAH",0.902578136342129,0.76962149494788,0.0077044037829441,0.503218641209518,9.0670200842484e-10
"B_C5AR1",0.936538480216681,0.764655142800926,0.000262977739723954,0.421022869356915,3.31646422498304e-08
"B_FAM198B",0.697893064440547,0.158084471217455,0.633613685658042,0.193570229536511,0.00997008840854484
"B_NLRP12",0.972164690605748,0.797988648421392,0.00116763930898984,0.541079789176652,4.71946941471175e-09
"B_FFAR2",0.723742082984407,0.548090710544855,2.69046342963702e-08,0.98513632497694,2.48485581698024e-09
"B_IFIT1",2.02259879053391e-07,0.00460013820538804,2.09347118112705e-38,0.0924890777865917,8.90827538424493e-10
"B_FCGR2A",0.800654395890906,0.875637152513859,0.000357895267134923,0.490482777808627,7.44000123915599e-08
"B_CFD",0.928090377639685,0.717274411283441,6.94292760494692e-05,0.680922504075682,1.41313141260079e-06
"B_SLC8A1",0.555909150949599,0.532068018161259,0.00536607806244062,0.400928229515265,1.22540875795269e-11
"B_ANPEP",0.79878099888384,0.903864081370091,0.00359589721671876,0.503361785915917,3.1596054674075e-06
"B_RGS18",0.984082376808739,0.88712307298216,0.000315565434441004,0.935808993375064,3.99806326333964e-11
"B_LINC00861",0.993208864885207,0.453796836703136,0.519457264873207,0.162003569765603,0.000135134396475041
"B_TREM1",0.813791167489436,0.601232874426893,0.00228223797260285,0.39085594362699,2.83806707220591e-07
"B_IGHM",0.8611345940158,0.803157378559928,0.00763278249664417,0.474545444871575,2.70302618179015e-12
"B_MMP25",0.63973309429482,0.843637257057373,0.00033140453910682,0.513405327602879,8.35468929284957e-07
"B_IGHA1",0.769094830438044,0.937414648225127,0.490703029434273,0.288153585760341,0.00102069001394044
"B_IFIT3",1.30012479973413e-07,0.00236029918465316,6.5845393560733e-39,0.0790585033724619,4.12407657452307e-09
"B_CRISPLD2",0.96667593779419,0.817994416459689,0.00112536967533951,0.401043914646518,3.30228872566511e-08
"B_MICAL2",0.945324653023991,0.404427097305472,0.0354047220472017,0.255480426967106,1.1660092175156e-07
"B_CD300LB",0.940712397264897,0.711937376708735,0.000216148771392302,0.648123451338594,4.01018521684504e-09
"B_CD68",0.981207579968354,0.943741725806975,0.136248350363626,0.613462210281617,0.0454137280473647
"B_ZAP70",0.710215395635867,0.924244291175548,0.167000534318905,0.431416205504841,0.0101026574458314
"B_KCNJ15",0.849871628236573,0.960230983438483,2.14727299711871e-07,0.911979836105545,3.73173473243493e-20
"B_FGL2",0.990388786475762,0.847583759014037,0.00143083008126927,0.719583724499803,1.75104563251215e-09
"B_TNFRSF25",0.97110016227926,0.461021414249519,0.578847839257407,0.228808014111014,0.0129542464325021
"B_GIMAP1",0.893072791211803,0.394183520518225,0.373919283748437,0.148141696091802,0.000773941542620807
"B_TLR4",0.82901491226566,0.893326865603794,0.00216324340339587,0.485291872007693,2.54580135624567e-11
"B_PRKCQ-AS1",0.88624039859407,0.389984339348782,0.497701416964835,0.174184674157501,0.000525481496789049
"B_TMEM173",0.636161338556783,0.613725201789587,0.1027364384441,0.318131153118397,0.000464367479664958
"B_LILRB3",0.92038557658684,0.991896429516063,0.000202979108606841,0.529620731232154,1.10754380666346e-08
"B_RASSF4",0.888363269242098,0.256642051125374,0.361593814316098,0.168799237099853,0.0130393417817308
"B_NFE2",0.958257444659299,0.981393923081594,3.81097820580066e-05,0.560675137651477,2.0891086968572e-09
"B_MGAM",0.401534703283966,0.480998278100871,0.0035566849372475,0.434574101635301,5.2641161701454e-09
"B_IGHG2",0.811729601699084,0.819714667115422,0.147364487412516,0.373446205290995,2.43498719800577e-08
"B_CD96",0.809199900615227,0.105104697851358,0.939449562445863,0.273640984684474,0.735410381935253
"B_G0S2",0.995148217706056,0.522274061318296,0.00228183901159405,0.619824633170566,7.51392601877286e-07
"B_APBA2",0.972866690084747,0.536225107097816,0.547424550365535,0.351045875164536,0.00296538679974285
"B_NAMPT",0.980546994384223,0.900036801705055,1.02579597688124e-06,0.711992160749772,3.93563617801062e-14
"B_PADI2",0.710140635393017,0.849701976371592,0.00149791139675887,0.428821931090025,1.7933023384524e-07
"B_OASL",0.000973887654799953,0.00620669877012122,3.43124919016034e-22,0.404600317137557,1.07948115760918e-07
"B_CD247",0.680519764365304,0.859244909755909,0.344427062539437,0.373596498790966,0.0044000885017992
"B_KLRK1",0.911277841614008,0.43874310104344,0.398470544093344,0.422691736152769,0.390624264377044
"B_FAM105A",0.825820682363897,0.742878160021956,0.00977454349400063,0.379845008104098,8.03903488227363e-08
"B_CD302",0.863805562990276,0.912009144834893,0.0014435351935864,0.574447500715837,1.16754673350355e-11
"B_SORT1",0.629023477170701,0.978056283759774,0.000548530351615859,0.738533421535149,1.50549747995283e-13
"B_F13A1",0.90016722015441,0.102716351046807,0.853251547288027,0.267206943749858,0.0183752849100114
"B_IGHG1",0.724040628440968,0.881712535079285,0.294389727963621,0.187948253128538,1.22905142487146e-05
"B_TRGC2",0.798858604394907,0.787467224906233,0.0854061268856241,0.382916174799964,6.74157473988659e-06
"B_SIRPA",0.752777024913061,0.879285689726688,0.00700427101392823,0.40156304231172,6.16577366678141e-07
"B_ARHGEF40",0.918130120838006,0.964884264881421,0.00223710112088337,0.43660696312807,2.01870985166031e-06
"B_FCGR1A",0.558780160092966,0.614296337460946,5.41124789691543e-07,0.788638874476615,7.00853208418846e-10
"B_TNFSF13B",0.628305425251633,0.445291468813652,2.7505778281636e-07,0.680054544581743,4.54377255577533e-09
"B_SLC11A1",0.982376111049844,0.972397708835437,0.00325052023708141,0.584842736315168,1.42113092518184e-08
"B_SH2D1A",0.866427715565516,0.506576367743966,0.234582049602998,0.342888274820449,3.12611435621745e-08
"B_SOCS3",0.758221773058268,0.312556306275019,0.0235452529350636,0.453265497596172,0.00434107975583918
"B_GLT1D1",0.898115849406463,0.903974785487557,7.485623938879e-05,0.649134057841462,1.08438686289841e-14
"B_TCL1A",0.895353621840901,0.334289365514934,0.00301111213044777,0.70454446784099,7.61327676930379e-10
"B_LINC00402",0.922704415645534,0.484799413303495,0.534306694844816,0.205287157705933,0.000176119690558588
"B_CMPK2",1.72878514978241e-12,0.000344050492025313,1.4771584632716e-51,0.0549364482966931,7.41016896038743e-08
"B_MAF",0.547060237732252,0.610279918685444,0.167926173317172,0.426378953344961,5.04165163129263e-08
"B_PTAFR",0.444949916401881,0.722183986667783,0.00580583469212654,0.384023653979835,5.86568067453621e-06
"B_TGFBR3",0.996190289969507,0.700801676886206,0.205117818157276,0.359249527226739,4.12751799935488e-05
"B_VNN1",0.996805975816633,0.967548959730356,7.05965405176824e-05,0.545809620638827,1.02566115300725e-10
"B_ITGA5",0.64321792826653,0.870004285135332,0.000132931623707394,0.648266712005207,1.60503091093651e-09
"B_GZMH",0.998768766927844,0.93994781325856,0.35411487378233,0.526704926044555,0.00422297921540804
"B_LILRB2",0.918825700436094,0.696196625426634,0.00236671413479739,0.530403753454753,3.03588019027942e-06
"B_ADGRE2",0.90959566035079,0.687771538737989,0.0111131885597183,0.280121503024819,4.72594891951463e-07
"B_CCR4",0.927314850163342,0.330398441275206,0.554888307560612,0.131384741126049,0.000955780857461684
"B_RFLNB",0.894171079371054,0.760847654424918,0.0467173405158192,0.518272488167192,1.23977788711147e-08
"B_ADGRE3",0.791978284260081,0.679607636695106,0.00153049985088136,0.502177340537611,2.63876938949003e-09
"B_CD300LF",0.936639686162725,0.945656417798496,0.00103368434386528,0.516518531858593,4.42229321827213e-07
"B_KCTD12",0.845548432389712,0.365112180178063,0.102865501454041,0.303300859578911,9.29003674496078e-05
"B_MDGA1",0.743413311065871,0.76669925597001,0.361475431432848,0.709873607868951,0.0240149059965489
"B_IGHD",0.940795670822801,0.459782395352186,0.000719356295852978,0.616362004180568,9.89945672991386e-11
"B_IL6R",0.89615715663013,0.844646359123523,0.00148024996684319,0.563937544154744,2.81269765063399e-10
"B_LILRA2",0.923313272929015,0.995620103901901,0.00153146134777446,0.507330517647512,1.02866830009977e-06
"B_ICOS",0.850411467104034,0.228501049758776,0.62931098786651,0.26590486895939,0.00103975531428071
"B_THBS1",0.868423482515096,0.356576703309719,0.871625047698666,0.533383505860428,0.00229757308077936
"B_LPCAT2",0.947080551730006,0.961754144765898,3.66791163959195e-05,0.613462210281617,3.29700562093572e-10
"B_CD244",0.880994476706292,0.585824086253761,0.0668630353080541,0.354442502302131,6.22253974597853e-06
"B_ARRB1",0.997469330671049,0.79810975282847,0.0235021292779395,0.473362783713429,5.3803270374912e-06
"B_EIF1AY",0.563487860063597,0.505415695015937,0.20668673729002,0.148390284372602,0.329586553375293
"B_NACC2",0.728603433120753,0.957317181768672,0.0311128792244428,0.341453304611109,1.47628121887695e-06
"B_QPCT",0.964956930969223,0.991473814061668,2.22140296960696e-05,0.738686906289951,5.12287917789374e-13
"B_SPN",0.258311296229795,0.945700447358592,0.0413805099636523,0.599295518198428,3.41101872294563e-08
"B_IFITM3",0.113555576937946,0.231088599294769,2.68431679072195e-10,0.59840740560952,4.29855949546506e-11
"B_PXN",0.82783203904407,0.916584369053304,0.00049275410906681,0.663184597620844,3.85521274691087e-12
"B_CYP1B1",0.72088129232684,0.200191132243109,0.192075470876491,0.457859660273674,1.01139785398938e-07
"B_TC2N",0.591770608697568,0.209787930971757,0.49870583988924,0.249111321827919,0.473485469860099
"B_RGPD2",0.265207270274853,0.190937077245283,0.0392055212603913,0.93417313713637,0.0241332264824151
"B_IFI44",4.93335748676207e-13,0.00121125532357633,8.84210752451021e-42,0.0748771152217329,3.01722842459178e-06
"B_PILRA",0.910468123639333,0.924759305973693,0.000326395476968145,0.384023653979835,7.96653173277549e-06
"B_KLRD1",0.81527365364274,0.66382024267864,0.02113218084295,0.650370287470453,3.14551917928834e-11
"B_FOSB",0.916363909392408,0.950960413664051,0.924417926264133,0.845458872266511,0.295080162981331
"B_CD33",0.467447290090585,0.623221531108187,0.030231534023673,0.70075003493151,4.41244369338804e-10
"B_CAMK4",0.737204781969535,0.511993337870216,0.676584005557618,0.308727063391697,3.73969111585577e-05
"B_PLAUR",0.957299421554806,0.758834591067176,4.41449914282456e-05,0.819363136459754,6.86735772982115e-08
"B_SELPLG",0.79878099888384,0.823395415087613,0.000295005284229748,0.741079756715957,1.44915825147321e-08
"B_KLF4",0.618698371509671,0.899552531186149,0.00764075560415697,0.471001589917525,0.000611647348577023
"B_DPP4",0.97110016227926,0.492316457467944,0.806745954847031,0.516499092627398,0.00226001494818378
"B_NLRP3",0.687333916617566,0.927406113185333,0.00648891062496267,0.353465687978517,1.32219199029679e-05
"B_PSTPIP2",0.657228723777827,0.882664516004325,0.000380508712395092,0.728199338939272,3.10231870596948e-15
"B_HCAR3",0.845913480563472,0.916834075723425,8.04730304387767e-06,0.793867555061361,3.60832171477959e-10
"B_RASGRP4",0.80593281459154,0.898728993784921,9.4971486439834e-05,0.695390199780744,9.44612038835626e-13
"B_PRKCA",0.928399144356697,0.475006142989733,0.547103494228849,0.0758846272933329,0.000391924984503007
"B_CD7",0.967703923550678,0.913588853836752,0.0846524416230379,0.331656629990194,0.000711891392295455
"B_CD8B",0.678650744032868,0.482124283783896,0.468284402943802,0.256651891220137,0.0210977924675645
"B_GPRIN3",0.665200189074099,0.554892249083176,0.319390558448955,0.363843097566851,1.74563237742499e-05
"B_IL18RAP",0.96578617205215,0.73086209106255,0.000125846762127253,0.749344762687223,9.8054687952916e-10
"B_CD300A",0.861658093183919,0.409107471916238,4.74052862153734e-05,0.900659443830752,4.97827643298115e-12
"B_LTBR",0.885994879355261,0.989195257768077,0.00111321020604131,0.632679857422239,8.25986952273626e-10
"B_RORA",0.685084439462515,0.402758724037592,0.920087365091108,0.368237217558294,0.000582921801807544
"B_CTSW",0.936639686162725,0.822173218727249,0.0561710756522709,0.421729486074207,0.00425670386733941
"B_CHRM3-AS2",0.691815243068093,0.388538565824199,0.67514274526115,0.203336739413783,0.00312979798689378
"B_OSCAR",0.996080039176383,0.880594669648475,0.00164544601447982,0.465893985274405,6.03873856913431e-07
"B_CYP4F3",0.947086831942811,0.955532910512385,4.80373016570637e-06,0.789395231553434,3.48395884428137e-19
"B_STAT4",0.966811395041678,0.932258957383044,0.176480313857222,0.288169939758923,0.000774598719484369
"B_NINJ1",0.618427390059693,0.390648660260113,3.53938540943537e-07,0.829393759240757,4.79567689461202e-08
"B_MS4A1",0.304370350945811,0.109374970475756,8.38316334551979e-06,0.711086450043797,4.26242548279915e-13
"B_HCAR2",0.937881375495564,0.738432549928503,2.48515617008492e-06,0.851536293740979,1.86123150794475e-10
"B_DUSP6",0.530377316876509,0.937779724337139,2.08758228611998e-05,0.526704926044555,1.09434729341204e-08
"B_AMIGO3",0.856935589015825,0.668947763585051,0.658626666895193,0.420795481110541,0.0269505326268241
"B_LCP2",0.678368828813353,0.989707940741062,0.0149736924535484,0.446524838733799,2.47048642447651e-07
"B_CREB5",0.846517430480396,0.738636200071347,3.08774252786292e-06,0.784995056078867,3.87244787345262e-16
"B_HLA-C",0.024204457137626,0.0168261381964356,0.000547032644372001,0.92191340946108,0.134241875168259
"B_CST7",0.811434726738647,0.706268106779711,0.0028779900349054,0.472179736928159,8.1601894686056e-06
"B_RASGRF2",0.617155476108019,0.311779205919524,0.629598856494435,0.313552390338341,2.59665968284011e-06
