"","LYMPHOCYTES","MONOCYTES","PBMC","PMN","BASOPHILS","CD1CNEG_CD141NEG","DC","MDC1","MDC2","MDC","PDC","BLC.x","FAS_LIGAND","GDF_15","IL_1_RA","IL_1_RII","IP_10","MCP_2","MCP_4","MIP_1_BETA"
"MEpurple",0.0192594892587394,0.0956332328838471,0.183645593863208,0.0259350639558367,0.052682430977947,0.238565486855001,0.226876580689478,0.14061404887269,0.0592804778634934,0.0443931396285752,0.0256835196362912,0.869149607839293,0.77370069783459,0.756322230755536,0.927143168143228,0.910819591506701,0.653241016169099,0.578081218024713,0.553873026379841,0.611800441703373
"MEdarkgrey",0.0700429534461121,0.10535534982319,0.867569868398976,0.042884731871685,0.0378262924832324,0.822821137326989,0.877902756031299,0.102860972723658,0.0426823851827328,0.0388075904133146,0.0430214399166763,0.130461939241451,0.0773516771042144,0.422308630256939,0.265779077037264,0.316201676460862,0.783441347817786,0.428422103127542,0.777388184621202,0.67035311415178
"MEdarkturquoise",0.03637276215748,0.179912875582812,0.163247993558045,0.0617489916055803,0.154360684012883,0.222366875645396,0.213929609922399,0.170917550071475,0.0952967536849149,0.0784850411207593,0.0761127952962547,0.68484933555783,0.896263313222856,0.729821676570327,0.900072583765977,0.896609515636426,0.771019647967851,0.537484870378406,0.740382449062419,0.673392447136684
"MEsalmon",0.0619437897275857,0.329135078423262,0.312279530898404,0.146163982591182,0.0695869890782887,0.315914845696779,0.318685224588527,0.122494778604982,0.1852689248494,0.126034766167648,0.0785629061024703,0.0213776148015669,0.127119216227197,0.39380054689581,0.175786867491318,0.159895981721634,0.437773633481537,0.102365930380417,0.313739171407029,0.305207057118326
"MEorange",0.564395159167411,0.682482407116154,0.30416592782212,0.919789354169193,0.988292318129851,0.283329622586843,0.34513879447951,0.981526182012076,0.909379635759249,0.885279524357314,0.877868107060473,0.140786140089258,0.296903184184495,0.250793231368195,0.174077035106352,0.285940973842099,0.240830100282339,0.096139315111121,0.357370420974159,0.323762980706389
