"","MMP9","MPO","PSELECTIN","PARC","PENTRAXIN3","PF4","RANTES","TACI","TNFALPHA","TNFRII","TRAILR3","TRANCE","VCAM1","VEGFC","VEGFR3","VEGF","ESSDAI"
"MEpurple",0.483332244245847,0.340017544812988,0.722988480806412,0.817891641725293,0.630350154966525,0.827110724091875,0.815887829596284,0.454144061349218,0.319099478653666,0.450016628864065,0.715208457315996,0.342905199644236,0.707387922862303,0.195933521250946,0.115083486347345,0.978268920749531,0.418934848531529
"MEdarkgrey",0.155639066613398,0.0333236732214699,0.0563259644981708,0.474661507653775,0.0283291284061165,0.00820399684897152,0.0467690593164233,0.239340582688972,0.0945190216877924,0.138435662521842,0.470488067323041,0.0248204963562019,0.272078217252817,0.0135766287647675,0.238248995191712,0.205273552914732,0.877055743039999
"MEdarkturquoise",0.91810271714992,0.172925550985824,0.326141397049406,0.504201154776246,0.403071361263005,0.795554470474783,0.474632444459891,0.358060878696993,0.136006963198556,0.177629784222851,0.600261168771208,0.589524508895987,0.744568193761952,0.112947304176989,0.0643809180019289,0.960257549636953,0.426207673786913
"MEsalmon",0.269686707433225,0.106011156122586,0.157690088152203,0.281516871286315,0.0533280576444928,0.383678206960484,0.0868890307086842,0.308062940313405,0.00766580290270872,0.0624840185674656,0.826242418177625,0.00190519322399598,0.226672114646902,0.0838895831144366,0.028634685763818,0.178590011458194,0.257347180773146
"MEorange",0.953074080665943,0.762174396229911,0.978436231325597,0.539850965181913,0.962030680606686,0.723349033317705,0.571386942856361,0.58330435240354,0.983228061453618,0.66598703209848,0.986447654948292,0.809305075630639,0.968974963394745,0.739618240757666,0.725415691659694,0.713431992649164,0.983639492193749
