"","M5_12_BODEWES","PRECISESADS_IFN","CD14HIGHCD16NEG_CLASSICALMONOCYTES","CD14LOWCD16POS_NONCLASSICALMONOCYTES","CD14POS_MONOCYTES","CD14POSCD16POS_INTERMEDIATEMONOCYTES","CD15HIGHCD16NEG_EOSINOPHILS","CD15LOWCD16HIGH_NEUTROPHILS","CD15POSCD14LOW_LDGS","CD19POS_BCELLS","CD3NEGCD56POS_NKCELLS","CD3POS_TCELLS","CD3POSCD56POS_NKLIKETCELLS","CD4POS_TCELLS","CD56HIGH_CD16LOW","CD56LOW_CD16HIGH","CD8NEG_CD4NEG_TCELLS","CD8POS_CD4POS_TCELLS","CD8POS_TCELLS","LEUKOCYTES"
"MEpurple",0.9732922842039,0.636181950384745,0.169289885876024,0.0926023353077259,0.144931664761361,0.102463686030182,0.0636069744164737,0.070736582778069,0.296823494367846,0.0255760561997437,0.0272159156102615,0.0150758232120782,0.095431168318177,0.0160047628592766,0.0523198143292987,0.0279244742796233,0.253537813786951,0.112243887857609,0.042070673241449,0.1805873983853
"MEdarkgrey",0.390873979324709,0.572519320572796,0.141451054127772,0.0200128169614232,0.0961544828040755,0.0126380306524295,0.17810172810079,0.0322696213978444,0.113528404487611,0.0884863632819097,0.0303239662497854,0.0683463319011901,0.0185292478243765,0.0811618181790981,0.00774370332354972,0.0398638972373679,0.668409247616544,0.45489385231337,0.144096421972873,0.553583748969612
"MEdarkturquoise",0.72386226126827,0.530278375312013,0.155463818474216,0.104291244423953,0.131713159745583,0.0939567109182184,0.048183546462204,0.077509030351726,0.215214035685384,0.0397343335617398,0.0573817659182718,0.0295828979305887,0.168337895861901,0.0283816305156431,0.0520942047346206,0.0612651322815178,0.323024598328498,0.142454948875165,0.0768112018728633,0.225890107090788
"MEsalmon",0.157654344972369,0.370731049592062,0.589200463035342,0.17857525943271,0.535845676505296,0.421724235583798,0.376228459145012,0.17686599983806,0.757645070921214,0.117898313434123,0.128147897913496,0.116980903217666,0.0453489751662172,0.075704007421612,0.137539246618969,0.14126912422957,0.465930096391234,0.222931607374551,0.447252243444157,0.278163956255847
"MEorange",0.941941534811661,0.961173961446932,0.733626319456244,0.777275965683425,0.699376090026153,0.653025360922526,0.307379350602544,0.562418133556519,0.939027505857792,0.364304307469018,0.642662592158883,0.488878108998625,0.987468636253445,0.578910059626448,0.699487322329198,0.623467478427719,0.229580509467621,0.327007411322003,0.393117711214023,0.413806920619293
