"","LYMPHOCYTES","MONOCYTES","PBMC","PMN","BASOPHILS","CD1CNEG_CD141NEG","DC","MDC1","MDC2","MDC","PDC","BLC.x","FAS_LIGAND","GDF_15","IL_1_RA","IL_1_RII","IP_10","MCP_2","MCP_4","MIP_1_BETA"
"MEpurple",-0.301429507799282,-0.217124220973381,-0.173999937627647,-0.28747633793519,-0.251387363317764,-0.154488330082716,-0.158353942289619,-0.192494297690982,-0.244924668984436,-0.260516083091732,-0.287943570823347,0.0217221269152029,0.0379049765562589,0.0409050660249431,0.0120580519029804,0.0147696712304449,0.0591940729782674,0.0732480533417135,0.0779457993690283,0.0668515469155097
"MEdarkgrey",-0.235533024911721,-0.211144291031628,-0.0219867408171233,-0.262325456121343,-0.268803282819834,-0.029522423419325,-0.0202574465955518,-0.212636318468287,-0.262572143637773,-0.267492883786661,-0.262159332660889,-0.197460768571798,-0.229795314495555,-0.105522377658139,-0.145965891457131,-0.131600078424394,-0.0362318497371851,-0.104145518930124,-0.037270900364465,-0.0560895154094738
"MEdarkturquoise",-0.270797023538828,-0.175469905055577,-0.182317019359967,-0.242656176754104,-0.186180284239305,-0.159882245658631,-0.162800698859374,-0.179105432567875,-0.217339496810366,-0.228944594232747,-0.23073662783876,0.0534831650740853,0.0171928204166897,0.0455205882844571,0.0165581861060066,0.0171351263884458,0.0383665287822103,0.081181576251903,0.0436750333992261,0.0555413154131878
"MEsalmon",0.2424802964617,0.128158106398761,0.132661570997699,0.189892089032748,0.23590654598259,0.13167741993724,0.130932276776128,0.201567015504666,0.173367383886769,0.199718248464495,0.228886505966055,0.296609440826184,0.19915978549803,0.112099496877947,0.177120666708851,0.183755479956902,0.102060735963504,0.212935754909487,0.132265540380087,0.134597525403907
"MEorange",0.0758923461725508,-0.0539073096219857,0.134884949282577,-0.0132789620765413,0.00193510216689671,0.140777079038594,0.124015099889842,-0.00305360081755066,0.0150091478779211,0.0190249733235663,0.0202632395581958,-0.192412465503856,-0.136907929022835,-0.150581413716645,-0.177812995047778,-0.140023406548007,-0.153754585270061,-0.216801544254816,-0.120928494061794,-0.129577167543183
