"","MMP_8","TARC","TNF_RI","CHROMATIN","PFLC","BLC.y","CXCL16","DCR3","ESELECTIN","EGF","ENA78","FAS","FGF21","FGFBASIC","GCSF","GALACTIN3","GMCSF","GROALPHA","GROWTHHORMONE","HGF"
"MEpurple",0.802343482899817,0.568234353834531,0.815575034978667,0.557686842690744,0.797783366680892,0.869149607839293,0.689692558550665,0.500731462264604,0.958827501101434,0.608947494083295,0.465585944943135,0.785797562186678,0.691950509936041,0.515396248290849,0.717816101447446,0.58096549292615,0.815835950225245,0.851557741900129,0.89591558005716,0.965801302507686
"MEdarkgrey",0.080930843218616,0.400935676057683,0.221220995229448,0.0517619573942393,0.57616582969449,0.130461939241451,0.402926291392297,0.982372812240841,0.301446698481994,0.0265580063012862,0.432842379638767,0.358997535272304,0.218948131428235,0.419620686790988,0.254177773228034,0.377589077122213,0.457345975573588,0.755656636730381,0.0896292258756204,0.148217478521449
"MEdarkturquoise",0.776384379466405,0.666737325041939,0.892802357537861,0.7592983120933,0.857024304340461,0.68484933555783,0.896609515636426,0.602498104904928,0.898340814019007,0.634055697405449,0.538095746132005,0.911166544342508,0.603268480127237,0.442984529928024,0.606009514818332,0.640948265515606,0.891948163929945,0.795561158642752,0.861232793912019,0.950114623453075
"MEsalmon",0.119006202914755,0.670728589758618,0.15050087551822,0.32690815216228,0.53964933427746,0.0213776148015669,0.120942274795997,0.41873152294507,0.087466095903849,0.0740467681648603,0.147839431522951,0.198665294363112,0.137716189476252,0.241799744055374,0.259873497602826,0.106305379670995,0.772095401274168,0.0888219134393449,0.0557953467455076,0.2934229963455
"MEorange",0.209162037417487,0.287138377438709,0.291997757643441,0.134043739080106,0.123894672452277,0.140786140089258,0.531152257702354,0.268543721203588,0.274272118380838,0.208676588177631,0.478338110826093,0.518253655148172,0.342431044179068,0.131260312188988,0.377440852656466,0.323966662150725,0.579395733523586,0.122079968153699,0.380335608543825,0.240830100282339
