"","ITAC","ICAM1","IFNGAMMAR1","IFNGAMMA","IL1RA","IL10","IL12P70","IL13","IL17A","IL17F","IL18BPA","IL1A","IL1B","IL2RALPHA","IL22","IL23","IL27","IL28A","IL2","IL31"
"MEpurple",0.125892140039304,0.0736175800392487,0.0213467904502524,-0.0114258131921122,0.0120580519029804,-0.0242633940221587,0.105998809734229,0.0122908292088494,0.0331950039865883,-0.0621364684187076,-0.00836563409536917,0.0605219419231019,-0.0667453703991949,-0.0670981548476851,0.212658536889955,0.0263677503348517,-0.00821843449674166,-0.166734842419694,0.0617532389441213,0.056639269956304
"MEdarkgrey",-0.0984001122076232,-0.0784061843834945,-0.0825024603888132,-0.165010670822449,-0.145965891457131,-0.035920054704491,0.0258124417102888,-0.0565635543171654,-0.0474985422897524,-0.151158353999084,-0.0619633863339758,-0.109187583498065,-0.182882942494832,-0.175851398087484,0.209118867957244,-0.119087607639243,-0.0695570627979438,-0.224879947936698,-0.0431176461266646,-0.104104158164477
"MEdarkturquoise",0.104919732658788,0.0488091478943608,0.0185197830663,-0.00689588220433036,0.0165581861060066,0.0617547227371209,0.0971447495071863,-0.0047618919447898,0.0743706883741334,-0.0746560725476394,-0.0460975285668963,0.0578391294355669,-0.0569234141533331,-0.0793869828636412,0.179846999030555,0.0417152811643277,-0.071782888807478,-0.19179401247416,0.0437022921758397,0.0738670479013464
"MEsalmon",0.12387278857213,0.152196846507475,0.159812458235673,0.194585061029305,0.177120666708851,0.0840083476761189,0.0539098021888465,0.0805660637145518,0.322157320919782,0.196448166170566,0.0665212145652459,0.168786407145886,0.176857972529319,0.137081011107567,-0.0137211885593855,0.307758381370019,0.185214406601048,0.313565916957584,0.0819235276406627,0.150595558920277
"MEorange",-0.217801479673865,-0.123984466696196,-0.111984108821459,-0.226496549389093,-0.177812995047778,-0.152925156600504,0.0524460261029242,-0.0575288026843525,0.0118746355724381,-0.121561317509951,-0.0686558936102711,-0.12488059417784,-0.119212817182201,-0.0810024156544711,-0.148785409856989,-0.0553318874641635,-0.200581166936101,0.139815812087747,-0.174370684166477,-0.211895768800068
