"","IL33","IL34","IL5","IL6RALPHA","IL6","IL8","IL9","MCSF","MCP1","MCP3","MIF","MIG","MIP1ALPHA","MIP1BETA","MIP3A","MMP13","MMP1","MMP2","MMP3","MMP7"
"MEpurple",0.946720596437106,0.251404731839625,0.8076372277179,0.836600161807564,0.356147845936938,0.37219795677997,0.305561483711813,0.613660277830733,0.673098158616026,0.0530503433113852,0.488066735632423,0.197397636772319,0.455463358088042,0.269888231674246,0.279295877775225,0.681442918663263,0.448953573315969,0.853378754610115,0.332543169635817,0.445996155537776
"MEdarkgrey",0.0888054384829492,0.870133293766374,0.0694692018976768,0.126092069481481,0.891258128180692,0.667491827801548,0.0355735812135301,0.10380085576892,0.199679746523899,0.93607771017241,0.156660883076828,0.808295245922096,0.704599571338886,0.746634502399866,0.244750995068069,0.592597837721783,0.0836318856835143,0.0670907057160237,0.224621717120314,0.214762121385749
"MEdarkturquoise",0.706397982555108,0.347603454336713,0.369043332900191,0.546873694961838,0.621304373695745,0.981254760972921,0.687534241354717,0.935308835658994,0.661753447326725,0.315124775171454,0.253691834532522,0.633401194312801,0.341329656081144,0.791277294313855,0.387250880691602,0.885989193239513,0.259421007859271,0.431318949276393,0.761568520435694,0.731714545762399
"MEsalmon",0.00103201956450067,0.979798945755879,0.170890405495677,0.122684109626511,0.402663210385007,0.554397423728883,0.00595060602585004,0.233763473956642,0.29663042079836,0.962331804936549,0.858983851398246,0.465055333031037,0.02268439326404,0.525909746168318,0.0058406152004112,0.136404151165033,0.0643266639070357,0.0976854933605757,0.806023842962131,0.645311707643652
"MEorange",0.981115257945418,0.831046139571808,0.503090911224238,0.82428703752557,0.615981870488198,0.42124486006098,0.515083749021155,0.891286355116469,0.71121899160586,0.932028246451089,0.61974395452432,0.907414174122676,0.996991537821973,0.624439170659492,0.91490331073352,0.750289821944668,0.520475098434862,0.595826569092871,0.853402370588812,0.75173142118969
