"","p.MM.purple","p.MM.darkgrey","p.MM.darkturquoise","p.MM.salmon","p.MM.orange"
"B_IGSF6",0.895192950943111,0.87186939040135,2.10720222390063e-05,0.246754616710954,7.39578113479367e-11
"B_CXCR1",0.627285950441022,0.942265831380012,4.75355961852644e-06,0.545993913383275,2.73382496131899e-09
"B_GZMA",0.92120311411478,0.691453063231887,0.048386196156052,0.219733270750128,8.86357232283564e-07
"B_CD300E",0.179368332355153,0.366235044012844,0.153289397686453,0.10470066089788,2.57668238523026e-06
"B_CD3E",0.761847464726998,0.276639658767272,0.474548034089814,0.15538151280959,0.000157121890037309
"B_CEBPD",0.75847590225419,0.726641899129093,0.00015643089813145,0.288991165115141,4.65288727788044e-11
"B_TNFRSF10C",0.934591259550436,0.937591124202446,1.33426174154148e-06,0.511869978857291,3.06341946709577e-09
"B_GNLY",0.499716045117163,0.574632346199728,0.026092522835669,0.304202919607624,3.23466555362308e-05
"B_CLEC4E",0.869614550623511,0.845594862099431,4.6594478208177e-05,0.254563670298763,2.3773410297168e-11
"B_GNAQ",0.531834128736169,0.636739773686007,0.00111059362777165,0.352056428553027,2.43899739470145e-14
"B_SIRPB2",0.977704840549492,0.891271803710189,0.000444122840396748,0.241326797581584,8.27703120875761e-13
"B_PRKCQ",0.725064471582956,0.509252900931834,0.152115785275541,0.135278654498985,2.11244010350328e-05
"B_LRP1",0.913704226376004,0.107491676375651,0.789766213354044,0.0740870089124571,0.178183577062857
"B_DMXL2",0.843595780111256,0.975871756067814,0.001028528459211,0.280679794469167,1.00141344165622e-12
"B_KCNE3",0.927213755833924,0.732455484548663,0.000162787213212751,0.253337453412807,3.6704135783982e-11
"B_SLFN5",0.0393888385688513,0.638561748254005,1.69893830520447e-06,0.6133539561087,7.03604842481733e-06
"B_NCF2",0.330030196903087,0.952593104889194,0.00118429432016751,0.244020489619469,1.66829194652323e-05
"B_CCR1",0.413397208575429,0.808381609776076,1.48135202686055e-07,0.613766315661818,1.69639351574681e-10
"B_DYSF",0.749635483475984,0.933168477164246,0.000215552000524207,0.317515606700937,3.16190622304516e-07
"B_LILRA6",0.858328818374461,0.999694763990051,4.54266606655826e-05,0.285550901824175,3.74342645436842e-08
"B_NKG7",0.694287243292985,0.344590853753383,0.00755376683270706,0.355569308735012,0.000359758793366689
"B_APOBEC3A",0.272643565938706,0.506655764960348,5.84661856150679e-08,0.742037109685055,7.20295669561555e-09
"B_AL365357.1",0.0364393468716066,0.287730428379675,0.0468813666833874,0.847267544704257,0.230040386876162
"B_JCHAIN",0.0528402923090209,0.452427952637288,0.22219652624544,0.748446674725852,1.65430526978682e-05
"B_IGHA2",0.0515884759351211,0.644439504263092,0.0670905272114371,0.919827548434753,1.64769750316225e-07
"B_RGS2",0.316000714279899,0.294248712745708,0.00123134541195751,0.391840119686263,3.38694028385068e-05
"B_PLEKHG3",0.931290018552256,0.897768915210621,0.000236447276131207,0.285607143947087,3.18155720818633e-09
"B_TLR2",0.941339655483053,0.735388768677767,3.4870871379826e-05,0.233093825485355,4.60603541637792e-09
"B_SRGN",0.933975351545154,0.707219469481018,1.65141831133902e-05,0.416207467085161,1.10079523853501e-05
"B_CD163",0.836804405993454,0.13551906827216,0.236331383808075,0.114528007467924,0.000278654576273972
"B_AOAH",0.717154550200069,0.677420839853124,0.00329209173645201,0.304271151407335,6.67362483506844e-11
"B_C5AR1",0.800764472221398,0.670564327479272,7.9682255136358e-05,0.221479080425205,3.93332657082988e-09
"B_FAM198B",0.386179127208177,0.0858714847653213,0.527220475258539,0.0633265005928697,0.00457676908394251
"B_NLRP12",0.90629730796481,0.71288315906725,0.000412818877693359,0.346313865522517,4.35135080036423e-10
"B_FFAR2",0.413618600425589,0.425126559634116,2.97161685803408e-09,0.972606859159646,2.09349102580585e-10
"B_IFIT1",4.67220320613334e-09,0.00119055104918827,2.82618609452152e-41,0.0230621515460866,6.53421999434365e-11
"B_FCGR2A",0.525412511789374,0.813642042115878,0.00011175279716288,0.290782714823845,9.81336163444676e-09
"B_CFD",0.7784577545457,0.614345533264268,1.83675149788871e-05,0.517092549595073,2.74783403180224e-07
"B_SLC8A1",0.243349230828187,0.409346529772365,0.00220867773050056,0.203421840586472,5.11608156445248e-13
"B_ANPEP",0.519985068003075,0.853699624854051,0.00141858145199555,0.304433208121947,6.703102999105e-07
"B_RGS18",0.947714649954541,0.830301725192594,9.743082788366e-05,0.887100135269892,1.94305874598307e-12
"B_LINC00861",0.973871341434106,0.331158241584114,0.409618026215767,0.0483776639310581,4.0851128054405e-05
"B_TREM1",0.544585023776238,0.48176790227827,0.000860974275164427,0.195230164785117,4.52671698016843e-08
"B_IGHM",0.621782233609108,0.719026643155775,0.00325500009569391,0.274331681394574,9.1902890180865e-14
"B_MMP25",0.320410320277561,0.771901664848577,0.000102857800959497,0.315051179283506,1.5272372027329e-07
"B_IGHA1",0.476915704354631,0.904042686748313,0.381055437507185,0.115996225947825,0.000370765647563866
"B_IFIT3",2.93615650940041e-09,0.000537558139304758,8.55990116289529e-42,0.0188791706053439,3.72197910850707e-10
"B_CRISPLD2",0.887940182660853,0.73742196643841,0.000396411468138343,0.203509734487376,3.91486328427599e-09
"B_MICAL2",0.827372393258747,0.284797561922513,0.0179873690360808,0.0958434821767099,1.65192463571614e-08
"B_CD300LB",0.812714149220937,0.607424969807893,6.42826446120707e-05,0.475423940670743,3.59914123211842e-10
"B_CD68",0.936282619690517,0.912973044943265,0.0827436231758301,0.433124452784974,0.0248958057155653
"B_ZAP70",0.399105541577575,0.885018302922001,0.105001585953011,0.231756785597201,0.00464509799903243
"B_KCNJ15",0.60335544009908,0.938769820958632,3.08670493335815e-08,0.847776455643715,2.96672911228577e-22
"B_FGL2",0.964943283457025,0.776895273512267,0.000517030449866651,0.566384349553795,1.41320227900877e-10
"B_TNFRSF25",0.90286376670763,0.338090054139885,0.470834832451975,0.080940834991771,0.00613318797346812
"B_GIMAP1",0.691706611839895,0.275257252658922,0.272044974891175,0.0426869239605994,0.000273665729470717
"B_TLR4",0.568331173103723,0.839235923891484,0.000811865249294471,0.285475504932832,1.18379763065424e-12
"B_PRKCQ-AS1",0.677575096745096,0.271097613498306,0.388057794807482,0.0540094950247735,0.000179846042276052
"B_TMEM173",0.316458457865072,0.495982021826255,0.0600905428459542,0.136103186694647,0.000157467873174196
"B_LILRB3",0.761110918476276,0.98708573183291,5.98686880835878e-05,0.332366092071019,1.15129178702667e-09
"B_RASSF4",0.682262990777931,0.15809286238297,0.261287690224812,0.0514796092193292,0.00618129997162948
"B_NFE2",0.865898036273781,0.970500450535388,9.46646986320885e-06,0.367757229068543,1.7203810118619e-10
"B_MGAM",0.130094394525947,0.358055118218288,0.00140115603102865,0.23549570567617,4.95879743227697e-10
"B_IGHG2",0.541566345454971,0.739915444271735,0.0905554775149909,0.181515450285685,2.77588540572657e-09
"B_CD96",0.53743973789847,0.0520636120806704,0.910561488400652,0.10689785066699,0.668010020430887
"B_G0S2",0.979631898666586,0.399147951362507,0.000860709675173277,0.440310704404076,1.35663934268944e-07
"B_APBA2",0.908900705211675,0.413396376224152,0.437830155382355,0.161849700744609,0.00119549568831633
"B_NAMPT",0.933627820702938,0.847823190951126,1.74487895667499e-07,0.556599871666134,8.50097414450295e-16
"B_PADI2",0.399028023027336,0.779898959012666,0.000543077289626887,0.229270119523492,2.69981667054009e-08
"B_OASL",3.87607286610381e-05,0.00170577241288135,1.47543715176895e-24,0.20692888875957,1.50965439891644e-08
"B_CD247",0.365778447980207,0.79218084454946,0.246816433015761,0.181623937887228,0.0018471571530553
"B_KLRK1",0.735310090398343,0.316882204728625,0.294031414486479,0.223181236688662,0.307401764851515
"B_FAM105A",0.562961959167469,0.644721180584957,0.00428662604929398,0.186349259014294,1.07160334980707e-08
"B_CD302",0.62721730341753,0.865773797053038,0.000521910149241162,0.386172332356222,4.84177338126813e-13
"B_SORT1",0.309940284295988,0.966123997097905,0.000179369424978386,0.592075404377056,3.71105128808372e-15
"B_F13A1",0.711079878827548,0.0506545685187329,0.789343006396153,0.102874673343695,0.0090654468103541
"B_IGHG1",0.41444085571961,0.82246454913508,0.204365349152346,0.0607448754111434,2.98475138530034e-06
"B_TRGC2",0.520449207366971,0.699625255967943,0.0486644110994286,0.188815965793862,1.54179814301206e-06
"B_SIRPA",0.453494686275716,0.818614977135546,0.00296210621179025,0.20391035548229,1.08671760877022e-07
"B_ARHGEF40",0.755331766985226,0.946310242782454,0.000842156716956545,0.237252223763793,4.0899061594638e-07
"B_FCGR1A",0.246206206678561,0.496720018470921,8.63635164347703e-08,0.660839944867679,4.983066311858e-11
"B_TNFSF13B",0.308969192867491,0.323326135505593,4.05572700762722e-08,0.515899799123742,4.15755188853443e-10
"B_SLC11A1",0.941460146024618,0.95683934549407,0.00126786541847361,0.399518847342594,1.51634669716902e-09
"B_SH2D1A",0.634393383239277,0.383376995108633,0.156372394265359,0.155019789046325,3.67474742573361e-09
"B_SOCS3",0.462174081767667,0.203411644123783,0.0113982569458643,0.252951398193115,0.00182043179561116
"B_GLT1D1",0.705380188123836,0.853894582371546,1.99828731048375e-05,0.477567926353963,2.08005327734818e-16
"B_TCL1A",0.69797645224651,0.221667278272953,0.00116560150569633,0.546620825374432,5.46252608197547e-11
"B_LINC00402",0.766579115717926,0.361902762031059,0.424325328090974,0.0689354275576524,5.44738202897711e-05
"B_CMPK2",2.68826090791164e-14,5.62869053959355e-05,3.69289615817899e-55,0.0119871330183384,9.75919252083024e-09
"B_MAF",0.236126281785933,0.492374324478012,0.105625563016501,0.226620413702847,6.35834820226489e-09
"B_PTAFR",0.157918885974669,0.620175498550958,0.00241087285590555,0.189772809193528,1.32535054841146e-06
"B_TGFBR3",0.982507774632969,0.595417763137669,0.133572723184018,0.169054200607197,1.12289127172449e-05
"B_VNN1",0.984945342257579,0.95027821079917,1.87183398662753e-05,0.351402958313072,5.65132702495886e-12
"B_ITGA5",0.324021031364265,0.806450472106196,3.76994084834169e-05,0.475920768818896,1.28241969783827e-10
"B_GZMH",0.995950317270877,0.907895592826443,0.254980414866966,0.329078463521533,0.00176457186515825
"B_LILRB2",0.757663672579603,0.590131069542886,0.000896274642847773,0.33343831960933,6.41329690196527e-07
"B_ADGRE2",0.731592875053771,0.580479178694863,0.00495259248163846,0.110732030145711,8.0601058822322e-08
"B_CCR4",0.777368038891929,0.218376849760847,0.445686288632684,0.0363738655807468,0.000344893522415049
"B_RFLNB",0.695451482980363,0.665817782387246,0.0246011569712143,0.320270604375431,1.29928722569282e-09
"B_ADGRE3",0.50814431556693,0.57144808131508,0.000555801020847568,0.303038916147422,2.24295398106652e-10
"B_CD300LF",0.801365896803924,0.915746552389974,0.00036039404648863,0.318175415624893,7.46704209905249e-08
"B_KCTD12",0.595477483510455,0.249006506881439,0.0601866049007593,0.125867503148237,2.71454873687754e-05
"B_MDGA1",0.440546728137635,0.673123611778871,0.261175212010862,0.553843388859355,0.0122043752274462
"B_IGHD",0.813344185465492,0.336952875606308,0.000241775651036186,0.436630405308202,5.43480174472271e-12
"B_IL6R",0.701319211902632,0.773189277141673,0.000535850487997233,0.371861125908606,1.73121540396522e-11
"B_LILRA2",0.768242808740587,0.992732805600586,0.000556226761511683,0.308406221677923,1.93389640418757e-07
"B_ICOS",0.604298744262002,0.136609352598284,0.52263513887793,0.102272617366363,0.000378470934398177
"B_THBS1",0.638773729160059,0.241209221965082,0.814315700812479,0.33717838322967,0.000904899157864951
"B_LPCAT2",0.832862637191367,0.941549778409505,9.0670775730713e-06,0.433251077178401,2.07051952994763e-11
"B_CD244",0.666946263155073,0.465495818937238,0.0368783071241572,0.165086560005369,1.41344990329902e-06
"B_ARRB1",0.987984057664665,0.713031253176955,0.0113729335144142,0.27334333945532,1.2043862073424e-06
"B_EIF1AY",0.250239933712655,0.382195348571051,0.134790755723687,0.0427765157536256,0.250222111322522
"B_NACC2",0.420440611082331,0.933862910815339,0.0155408831726092,0.15395634530322,2.88096279863838e-07
"B_QPCT",0.884314948992075,0.98651644499136,5.24251100827241e-06,0.59280811779377,1.41135321350973e-14
"B_SPN",0.0592049490958691,0.915863598244429,0.0214847607731283,0.415821195301979,4.06252329902825e-09
"B_IFITM3",0.0150404361654309,0.138387407687672,1.62803813357286e-11,0.414756172827958,2.10844343252561e-12
"B_PXN",0.566030156696383,0.873321586833988,0.000159258128050393,0.495000983664198,1.37631095064718e-13
"B_CYP1B1",0.409937736556968,0.115330111285255,0.123619773056109,0.257546058903942,1.39724613528632e-08
"B_TC2N",0.274725325748523,0.122579088066797,0.389065360989591,0.091859608116694,0.388045016823844
"B_RGPD2",0.0623104481510768,0.108528634706219,0.0202065256576057,0.883736538054266,0.0122726835781188
"B_IFI44",7.47403659244453e-15,0.000245703142387459,7.95789677205919e-45,0.0175961220771072,6.36635197588866e-07
"B_PILRA",0.733518643810028,0.885780701226902,0.000101117318764731,0.189822892162232,1.85341360763022e-06
"B_KLRD1",0.546982624916577,0.553161408224111,0.0101170315785623,0.47864001306388,1.49883988893089e-12
"B_FOSB",0.748634832398445,0.924048233957359,0.888689173414024,0.741256066259664,0.218462598663228
"B_CD33",0.174357839203788,0.506772588020622,0.0150326302932714,0.542030152019523,2.92324394686957e-11
"B_CAMK4",0.431508777518444,0.38861734416338,0.575849880854087,0.12938751226746,1.00728580205575e-05
"B_PLAUR",0.86166520934148,0.663373199510925,1.11377813373464e-05,0.704447456571274,8.98937126833589e-09
"B_SELPLG",0.520124147051769,0.744843492488255,9.05371217301097e-05,0.596041963229832,1.54842559169913e-09
"B_KLF4",0.298895731850374,0.84713673138901,0.00325992837851357,0.270666935303528,0.000211996971016796
"B_DPP4",0.902880375879141,0.369385038038199,0.730589136709471,0.318111791149215,0.000888072873888817
"B_NLRP3",0.373959227182923,0.889892535906987,0.00272372023482808,0.164114118928425,3.22405119116486e-06
"B_PSTPIP2",0.338755997312024,0.823923192464237,0.000119727066355116,0.578636704357805,5.39803454838689e-17
"B_HCAR3",0.596101952457314,0.873834557571996,1.6971762119538e-06,0.668712266839114,2.2985009323146e-11
"B_RASGRP4",0.532128560633755,0.846108411198813,2.59794501156166e-05,0.535763379421075,2.83383611650688e-14
"B_PRKCA",0.779097345402005,0.351837050112495,0.437409243635965,0.0179011835784972,0.000130785367328653
"B_CD7",0.891642395159594,0.868685961670675,0.0481418435510216,0.146957052748655,0.000250123040683008
"B_CD8B",0.363064469931224,0.359086166562246,0.359689249901134,0.0965011110987717,0.0105889820394706
"B_GPRIN3",0.346835378583235,0.432538508160336,0.225218252290281,0.172679934105228,4.37280910544961e-06
"B_IL18RAP",0.885915655623438,0.629856950077705,3.54510328912471e-05,0.606032576823292,7.31978245568518e-11
"B_CD300A",0.623064967181292,0.289218527271184,1.20409426987048e-05,0.828577293704718,1.80960348338865e-13
"B_LTBR",0.67720908121029,0.982160986947846,0.000391738671505938,0.456162177201434,5.98840540398379e-11
"B_RORA",0.371162040860983,0.283139382998427,0.882593804963645,0.176993218619394,0.000201282898164145
"B_CTSW",0.801380874659469,0.743168350366961,0.0303079310105042,0.222335785058322,0.00178100489809481
"B_CHRM3-AS2",0.379068071503542,0.269626337753703,0.574040119158292,0.068061932362646,0.00126975904328281
"B_OSCAR",0.982035310623996,0.820841184564772,0.000601657335194548,0.265839107997575,1.06010524099411e-07
"B_CYP4F3",0.8330469524077,0.930689054839063,9.6098621964956e-07,0.661860651095494,3.22266193096027e-21
"B_STAT4",0.888209628624789,0.896133922784451,0.11180027882855,0.11603162624393,0.000273990896844219
"B_NINJ1",0.298464748982727,0.271808636359443,5.38163551504648e-08,0.718337604307351,6.01857450273809e-09
"B_MS4A1",0.0788927949651543,0.0546411062948815,1.77764978741747e-06,0.555394071806708,1.16151094406277e-14
"B_HCAR2",0.805735911309662,0.63859646917817,4.64972719422889e-07,0.750629242932673,1.10091843694932e-11
"B_DUSP6",0.221520872078368,0.904629211081821,4.90164320780972e-06,0.329038505039908,1.13538531691499e-09
"B_AMIGO3",0.613853895985608,0.558880595196328,0.554577336781793,0.221269012436917,0.013870091616395
"B_LCP2",0.362460975788609,0.983214711376115,0.00688265773627353,0.24686125709398,3.86013503824455e-08
"B_CREB5",0.596796653415894,0.638846449441708,5.90993919832963e-07,0.655570521028773,5.71186061334262e-18
