"gene_id","B Lymphocytes","Monocytes","Neutrophiles","T Lymphocytes"
"RNU1-2",7240.25094879734,6798.84116281583,6979.11320922915,7644.75783829666
"RNU1-27P",7240.25094879734,6798.84116281583,6979.11320922915,7644.75783829666
"RNU1-4",7240.25094879734,6798.84116281583,6979.11320922915,7644.75783829666
"RNU2-59P",983.120568507505,1732.44446068092,1457.14970243863,665.160610208348
"RNU2-61P",18.2435052025676,47.5376304814732,35.4082020674365,27.1717954617093
"RNU2-64P",58.7190315403391,140.431254829154,91.635862892613,53.1368072669596
"RNU2-6P",45.8680370466584,81.9845114536628,79.1085034310363,37.4231743203885
"RNU4-1",666.452783918838,997.764951497996,600.249437976188,779.482803796669
"RNU4-2",2661.59565364781,4126.50054496538,3439.09882871984,7315.63252661914
"RNU5A-1",342.151631894981,953.804982445452,815.337626110382,1142.58263738001
"RNU5B-1",156.228974808114,296.662224024724,350.430898124096,417.231716329945
"RNU5E-1",18.8774449257095,37.0263632644058,13.4797110284194,58.2844954543989
"RNU6-1",4.88384759938464,5.68473803876215,9.89717189836029,15.7961722591937
"RNU6-3P",4.88384759938464,5.68473803876215,9.89717189836029,15.7961722591937
"RNU6-5P",4.88384759938464,5.68473803876215,9.89717189836029,15.7961722591937
"RNU6ATAC",54.57925015544,83.0355846614354,92.2660144495818,116.155884430541
"RNY1",171.849108227367,462.945837888149,338.126172852747,682.292720627735
"RNY3",239.483323441603,398.13178308813,54.3212839348334,833.646352740707
"RNY4",38.7763163617323,96.0535796102869,200.933931661974,152.757013011993
"SNORA10",31.1201221525295,25.9823726543956,32.2004210817237,43.1806607004558
"SNORA13",9.15076717241736,7.16676148146223,6.40515526054878,14.0498292791009
"SNORA20",99.9265104446494,53.4501460373362,72.5803170022743,255.907000974235
"SNORA21",30.5727312526175,40.1040013567944,32.764492939513,41.4040733739192
"SNORA23",195.628335362136,221.944426088442,172.456993243006,315.648534101248
"SNORA26",16.6647441895243,9.45784865589352,11.4018965720006,50.5141422841491
"SNORA2C",99.9096594485872,134.103996773735,114.816646244996,167.275802177116
"SNORA31",9.6626993527702,20.9983145179754,19.8690567218073,30.7809072265679
"SNORA37",61.4074284656654,67.3197640666382,40.0334934750935,64.1873774957708
"SNORA38",13.2907572997829,26.0020726428073,26.2276769179184,35.0370298928407
"SNORA38B",37.0782954905036,19.3326813749332,31.4926141919027,73.8312972975594
"SNORA3A",40.3588984102068,38.3917544159565,38.4040940568519,61.5475122587518
"SNORA46",42.1092908356748,45.2684569948818,54.2029090775703,85.6088042175938
"SNORA48",1033.88296452975,1902.53417027281,1018.46490819929,1709.52350967272
"SNORA49",165.079741882604,127.307731769972,129.076151175667,318.809114302396
"SNORA53",1601.33022903869,1532.78899652289,1132.81018220121,2502.5352122202
"SNORA54",762.214018485419,345.861608283339,520.006599482065,2608.27003610942
"SNORA6",24.1732864149426,23.8442613814198,30.2464795193879,51.5363702405079
"SNORA64",85.0464700509399,65.8666644693604,79.4020827365775,113.822358427211
"SNORA68",359.518759259573,273.23730238944,221.280800347259,438.81650465989
"SNORA70",0.0378446882667697,0,0.0165253088235008,0.0189233713682068
"SNORA71B",17.6508045468646,20.0075502831881,18.4187322004873,29.3325384356136
"SNORA71D",33.4869824171794,45.4147552895082,44.7931869846159,39.3322993822562
"SNORA79B",95.6240377948523,115.507038289082,85.9811661492828,114.070281036696
"SNORA7A",268.899753652607,145.155317292625,117.032384744715,393.614492284033
"SNORA7B",65.4342783598197,60.400207065128,50.4305435873972,117.580217916647
"SNORA8",161.673561289781,122.297072560871,100.854873237292,354.674379314933
"SNORA81",504.34910773729,330.175252824511,377.096563151649,1312.15498448645
"SNORD118",89.2058642806779,100.004476496412,54.8484651760161,164.268570253747
"SNORD13",126.164611368723,109.387468492047,35.4852255579258,148.659991616587
"SNORD15A",45.8801096530619,51.9239789596907,35.6867499681805,138.989729779709
"SNORD3C",407.123299471578,366.144083132086,34.3694342426362,489.868478696352
"SNORD94",371.77185775201,150.17730212361,123.772880637509,783.523783252143
