"gene_id","B Lymphocytes","Monocytes","Neutrophiles","T Lymphocytes"
"RNU1-2",4801.94266181374,10090.2844621187,6381.0062987368,13994.0196994018
"RNU1-27P",4801.94266181374,10090.2844621187,6381.0062987368,13994.0196994018
"RNU1-4",4801.94266181374,10090.2844621187,6381.0062987368,13994.0196994018
"RNU2-59P",1041.46951848158,2175.43676397799,1512.05500390304,1131.33131780377
"RNU2-61P",22.6042786258886,71.8343805049956,39.1068348315563,33.6273054463661
"RNU2-64P",60.5052698193382,143.450725642638,82.4644355407283,89.8223614215341
"RNU2-6P",53.1236057689956,133.428466255359,86.8972595908946,77.5024274728956
"RNU4-1",801.754052081625,1309.79187394798,652.794266296351,1281.19794110011
"RNU4-2",3119.47406915639,5490.32764869463,3991.46428135192,10322.8058846214
"RNU5A-1",566.756734635014,1030.38091010348,788.047963107498,1683.42568695103
"RNU5B-1",228.709906945911,311.179474177814,393.625585257889,583.284456424783
"RNU5E-1",16.9246744185176,29.2012026608138,9.70731040745831,64.8159972959087
"RNU6-1",14.580346977412,8.72311104482917,4.48544054607506,31.7271948915625
"RNU6-3P",14.580346977412,8.72311104482917,4.48544054607506,31.7271948915625
"RNU6-5P",14.580346977412,8.72311104482917,4.48544054607506,31.7271948915625
"RNU6ATAC",66.589693258211,112.838592817973,101.705085782897,189.085496469602
"RNY1",303.688296108473,687.524741056919,479.954928646354,1246.37705805883
"RNY3",413.283307640052,503.013075517746,60.775390945456,1515.65860149025
"RNY4",86.4169118117306,143.238202789583,261.61007271851,264.374221299914
"SNORA10",52.435861630668,34.1910244913269,40.6873925169706,92.1493028156979
"SNORA13",7.69766830902095,6.41863791965985,10.3988796569175,18.8174013458502
"SNORA20",126.061956725461,69.5863286519755,98.8220858068246,344.038476458165
"SNORA21",36.3823142832503,55.6591305327118,43.0901138457422,62.8995488196623
"SNORA23",232.040228566486,285.221081979173,178.669275213151,492.811744574588
"SNORA26",26.5461427536454,11.3019129476352,17.4605257676425,82.7215749164572
"SNORA2C",88.1128485267318,166.706347507391,143.039258007587,236.526871458587
"SNORA31",17.8572491565405,29.4991010749074,22.7891145337682,56.5352308508925
"SNORA37",78.0786550503254,71.8204794188016,71.5079806394192,106.091321127982
"SNORA38",18.8124657601331,27.9497207233248,39.5217334501607,50.4463771696008
"SNORA38B",46.516535281029,31.1376348860567,37.7747552500622,128.25823658374
"SNORA3A",50.2840229823884,53.3965879358766,47.1843013115513,119.690380116839
"SNORA46",59.377766237143,52.9932434313762,76.1009066334785,129.285035047123
"SNORA48",1056.55756472405,2480.63413002174,1215.14926954745,2883.4672015728
"SNORA49",167.291902607307,131.951552462075,148.789746114414,412.660199439565
"SNORA53",1583.94945431442,1759.10692543882,1047.55172133978,2353.59345584085
"SNORA54",926.176411399852,390.062946939277,643.755915811903,3881.3835451485
"SNORA6",33.3693350078644,27.8382682242846,37.3752992326755,95.8026938703211
"SNORA64",92.2265548608082,91.6019579895991,99.3811297115738,205.362666463256
"SNORA68",328.471330643063,306.717903842789,236.380133154721,588.201993848736
"SNORA70",0.176628648249173,0.148158966270745,0.289544762050107,0.215095750922104
"SNORA71B",22.3842655143368,34.2102350940253,18.7313996822332,59.833753863937
"SNORA71D",32.8733293396553,70.0859942378514,55.7632062100874,74.2920353361063
"SNORA79B",89.136618000285,94.7694493995717,88.3037410489284,123.347760188266
"SNORA7A",291.192343266805,214.708438396171,134.132124407533,537.147501900247
"SNORA7B",71.5366974806402,70.1762755090475,58.8067762269084,149.511994783916
"SNORA8",238.268061213455,166.327967806243,129.375592408522,557.913828083213
"SNORA81",695.170496353924,435.299437653704,326.131310039909,2115.46211647865
"SNORD118",168.133133020597,115.432947110205,49.1372033987942,290.429071912297
"SNORD13",187.921050127701,157.209697432419,37.8634451818207,259.432259293539
"SNORD15A",70.1301649660245,71.3051832739944,36.7763294181306,217.937197650697
"SNORD3C",284.866286593301,303.897978429879,32.1231998867563,409.148554935848
"SNORD94",352.956099317344,147.37241372617,140.60975028626,887.372063462964
