"","CLG_(pos≥20)","CLG_scale","B2G_(pos≥20)","B2G_scale","CLM_(pos≥20)","CLM_scale","B2M_(pos≥20)","B2M_scale","CCP2_(pos≥10)","CCP2_scale","MPO_(pos≥40)","MPO_scale","PR3_(pos≥40)","PR3_scale","Centro_(pos>10)","Cent_scale","C3_SPA_g/L","C3_sclae","C4_SPA_g/L","C4_sclae"
"MEpurple",0.130001321334245,NA,NA,NA,0.196992682566528,NA,0.576621479728777,0.931855319116604,0.692969118125697,0.931855319116604,0.311251086535437,0.710818725946938,0.730718854727463,NA,0.93519372826863,0.93519372826863,0.857363600976565,0.873457624466947,0.950688288066065,0.869824877945961
"MEdarkgrey",0.633412932174135,NA,NA,NA,0.312270290123399,NA,0.0858752041771216,0.475134371632466,0.626059998904696,0.475134371632466,0.158610210886175,0.100216783990111,0.512088387038914,NA,0.189959331851654,0.189959331851654,0.228721021053307,0.433974584445945,0.0705214697566716,0.153364337455714
"MEdarkturquoise",0.301598049593092,NA,NA,NA,0.1569629537379,NA,0.875626662102606,0.886664506056603,0.875058317703268,0.886664506056603,0.355063848682661,0.931855319116604,0.88262058369115,NA,0.744886606302538,0.744886606302538,0.826784520840702,0.762120971251254,0.923872099014143,0.940624935926059
"MEsalmon",0.342143498860333,NA,NA,NA,0.0386022705929898,NA,0.038741593170382,0.19637329395798,0.0433549770957106,0.19637329395798,0.0818391498853882,0.100216783990111,0.934758959278114,NA,0.625291029999487,0.625291029999487,0.26170702966701,0.406204460567982,0.186102129271556,0.167005329479414
"MEorange",0.349071361302057,NA,NA,NA,0.143236759620378,NA,0.261596362399216,0.113006851579795,0.212867500550408,0.113006851579795,0.120999255177625,0.511313706466422,0.779652776996858,NA,0.307259770969147,0.307259770969147,0.247058003961455,0.923874700007016,0.219738208584647,0.49230502288648
