"","M5_12_BODEWES","PRECISESADS_IFN","CD14HIGHCD16NEG_CLASSICALMONOCYTES","CD14LOWCD16POS_NONCLASSICALMONOCYTES","CD14POS_MONOCYTES","CD14POSCD16POS_INTERMEDIATEMONOCYTES","CD15HIGHCD16NEG_EOSINOPHILS","CD15LOWCD16HIGH_NEUTROPHILS","CD15POSCD14LOW_LDGS","CD19POS_BCELLS","CD3NEGCD56POS_NKCELLS","CD3POS_TCELLS","CD3POSCD56POS_NKLIKETCELLS","CD4POS_TCELLS","CD56HIGH_CD16LOW","CD56LOW_CD16HIGH","CD8NEG_CD4NEG_TCELLS","CD8POS_CD4POS_TCELLS","CD8POS_TCELLS","LEUKOCYTES"
"MEpurple",-0.0251619640969372,-0.0438305181043422,-0.219208860674566,-0.219671905392157,-0.218889793231232,-0.251682628272367,-0.256202920873991,-0.285131267369796,-0.191680401820092,-0.276316484665541,-0.26519816756395,-0.297970528715326,-0.236562651196008,-0.307531446554811,-0.228236060209957,-0.267970200100237,-0.148600315370075,-0.170211959808966,-0.242513359770084,-0.166835718709707
"MEdarkgrey",-0.145290050753283,0.0599480895765739,-0.191477972442667,-0.261447118169725,-0.206108763386741,-0.305683723354218,-0.193676510093188,-0.255759258538241,-0.248193293961811,-0.211414649629523,-0.243799398654734,-0.22849781321554,-0.263853831897803,-0.214460019349442,-0.294318293122379,-0.238244592081241,-0.0177875689221037,-0.021904393473239,-0.19819084073559,-0.0208338780027423
"MEdarkturquoise",-0.0575130607929993,-0.0982708044799736,-0.174358692603948,-0.199018991209988,-0.175152874589074,-0.218173805428416,-0.263091672178956,-0.238024662387452,-0.135553702563168,-0.241754938365873,-0.228058112484529,-0.266634523285254,-0.168964946901337,-0.268456104046226,-0.23184534735393,-0.228248110489054,-0.151523735262365,-0.178199652165749,-0.203467331096839,-0.174494021690953
"MEsalmon",-0.21831192582262,-0.17714834400505,0.123938895818677,0.189543293367885,0.126491155456377,0.178127390726022,0.15213880541602,0.188602300221781,0.0952609115828529,0.254389396767194,0.240838747065924,0.23691075386889,0.229849782903086,0.248317499167458,0.213329410867368,0.238039385714246,0.122701285620067,0.134802601938693,0.161020897524123,0.132002792246624
"MEorange",-0.0409896511901719,0.132535138077416,-0.0641386717245187,0.0191860878908214,-0.052326005211966,0.0330983910680841,0.0542892230501868,-0.0162103002832834,-0.0270978674164737,0.0429161185604023,-0.00167086277784295,0.0748956911822586,0.00636110226883938,0.0605623838130053,-0.0132340528612356,-0.00190548769352537,0.147406242456323,0.13134401349555,0.0379321029303141,0.110510135492807
