"","ITAC","ICAM1","IFNGAMMAR1","IFNGAMMA","IL1RA","IL10","IL12P70","IL13","IL17A","IL17F","IL18BPA","IL1A","IL1B","IL2RALPHA","IL22","IL23","IL27","IL28A","IL2","IL31"
"MEpurple",0.337829178595342,0.576159552349862,0.871391229931534,0.930953705191414,0.927143168143228,0.854000197620571,0.420204848662746,0.925740611898344,0.801205070272155,0.637184897141567,0.9494178306037,0.645975143383179,0.612367241662668,0.610484853070522,0.102824176621761,0.841494687852752,0.95030673008967,0.202915609991376,0.639266943321089,0.667310430209409
"MEdarkgrey",0.454467225895506,0.551526864163806,0.530863909178391,0.207692015529362,0.265779077037264,0.785260272588318,0.844791058935211,0.667729172882476,0.718558469409575,0.248961227868792,0.638124890150742,0.406279363874222,0.161923132781991,0.178953180450799,0.108815939516986,0.364790423727431,0.597434722700078,0.0840829156214424,0.74358146701161,0.428606523833446
"MEdarkturquoise",0.424978321090921,0.711127886998214,0.888306095259349,0.958295847031077,0.900072583765977,0.639258876673108,0.460271477319845,0.971194871179031,0.572252246930316,0.57077481582152,0.726530372286423,0.660688188352722,0.665739881262205,0.546544548554432,0.169123713521372,0.751649052093142,0.585729321176921,0.142091835634185,0.740226114097155,0.574863896225309
"MEsalmon",0.345696962519202,0.245686631368605,0.222571431709826,0.13627046329945,0.175786867491318,0.523365114603949,0.682468506364795,0.540583877752698,0.0120648164581886,0.132485521353477,0.613564590082703,0.197334400548058,0.176438820814393,0.29628708819874,0.917127340316469,0.0167516595993021,0.156548328569538,0.0147014647105704,0.533760854241765,0.25074820570885
"MEorange",0.094577785214854,0.345258895533607,0.394290692143004,0.081819965986496,0.174077035106352,0.243407733081498,0.690649733271476,0.662398484715391,0.928248464573586,0.354841250198461,0.602203148725594,0.34175624831176,0.364282794977774,0.538386017899286,0.256554789116712,0.67455493434125,0.12437292839458,0.286663027606093,0.182698924545333,0.104093247293323
