"","MMP9","MPO","PSELECTIN","PARC","PENTRAXIN3","PF4","RANTES","TACI","TNFALPHA","TNFRII","TRAILR3","TRANCE","VCAM1","VEGFC","VEGFR3","VEGF","ESSDAI"
"MEpurple",0.790515708160108,0.704607896179791,0.587905858685201,0.799974304944989,0.786807954955786,0.779702980195067,0.686142920202198,0.424089667328438,0.442310659463822,0.418745537179694,0.730151074879549,0.985257293416397,0.778398849983077,0.574257528967482,0.303110003836284,0.89522482165157,0.440370234369422
"MEdarkgrey",0.176073021283667,0.0666812503294677,0.0603524675958864,0.507203891881076,0.167772889996484,0.0468978199570067,0.119863738040072,0.230700953282449,0.142517572827907,0.209324030726105,0.4599482149228,0.831573378955386,0.325490447601125,0.0983571787462607,0.158433329828393,0.190815097588869,0.797489319495741
"MEdarkturquoise",0.920887687077084,0.576159552349862,0.642833333455688,0.969638012733333,0.933055158674569,0.738161654334362,0.679385084576892,0.52110005709388,0.528247601816846,0.435433863501356,0.860375143823998,0.972106252545795,0.698108973446634,0.358954424066426,0.353232939783669,0.731139560512239,0.19637329395798
"MEsalmon",0.166120344069273,0.193559950584089,0.145337435438989,0.612023886887806,0.209486112508329,0.255579362604032,0.0771989576549194,0.371992049356326,0.0305477422370696,0.122683293044666,0.696163467601893,0.154212306484805,0.168049479087606,0.311534368882492,0.0816461917835359,0.11437322467659,0.142298820084792
"MEorange",0.176359513152953,0.184519202904748,0.118472626359546,0.270196362859722,0.230968278362931,0.263607968588951,0.39306600298579,0.472610825331891,0.141290482470999,0.322881019231847,0.137423943875126,0.26671707612289,0.116777454121701,0.118248314955663,0.30771467092645,0.263873708040566,0.627646461201256
