"","MM.orange","padj.MM.orange"
"B_LILRB3",-0.562222523354347,1.10754380666346e-08
"B_RASSF4",-0.27203689361061,0.0130393417817308
"B_NFE2",-0.584487089017619,2.0891086968572e-09
"B_MGAM",-0.572293758298779,5.2641161701454e-09
"B_IGHG2",0.551326945144157,2.43498719800577e-08
"B_G0S2",-0.497923278945631,7.51392601877286e-07
"B_APBA2",-0.319476946508995,0.00296538679974285
"B_NAMPT",-0.696538659332361,3.93563617801062e-14
"B_PADI2",-0.521219159140009,1.7933023384524e-07
"B_OASL",-0.529197543433852,1.07948115760918e-07
"B_CD247",-0.307655700023735,0.0044000885017992
"B_FAM105A",-0.53380665996717,8.03903488227363e-08
"B_CD302",-0.644118711188407,1.16754673350355e-11
"B_SORT1",-0.685285425650424,1.50549747995283e-13
"B_F13A1",-0.25972841448639,0.0183752849100114
"B_IGHG1",0.447831858778474,1.22905142487146e-05
"B_TRGC2",-0.459224709742568,6.74157473988659e-06
"B_SIRPA",-0.50122940494652,6.16577366678141e-07
"B_ARHGEF40",-0.480939910929894,2.01870985166031e-06
"B_FCGR1A",-0.598145700151823,7.00853208418846e-10
"B_TNFSF13B",-0.574358746184573,4.54377255577533e-09
"B_SLC11A1",-0.558854807146774,1.42113092518184e-08
"B_SH2D1A",-0.547770234625537,3.12611435621745e-08
"B_SOCS3",-0.308059523702956,0.00434107975583918
"B_GLT1D1",-0.706826072077933,1.08438686289841e-14
"B_TCL1A",0.597154713429453,7.61327676930379e-10
"B_LINC00402",-0.392193984279524,0.000176119690558588
"B_CMPK2",-0.53505262544831,7.41016896038743e-08
"B_MAF",-0.540696335724838,5.04165163129263e-08
"B_PTAFR",-0.461776904672785,5.86568067453621e-06
"B_TGFBR3",-0.423660974484145,4.12751799935488e-05
"B_VNN1",-0.620679310825171,1.02566115300725e-10
"B_ITGA5",-0.587783768404899,1.60503091093651e-09
"B_GZMH",-0.308921195172227,0.00422297921540804
"B_LILRB2",-0.473744728323066,3.03588019027942e-06
"B_ADGRE2",-0.505628117268504,4.72594891951463e-07
"B_CCR4",-0.350864106748561,0.000955780857461684
"B_RFLNB",-0.560748454371072,1.23977788711147e-08
"B_ADGRE3",-0.58147872907739,2.63876938949003e-09
"B_CD300LF",-0.506743285332286,4.42229321827213e-07
"B_KCTD12",-0.406463111493965,9.29003674496078e-05
"B_MDGA1",0.24977243763127,0.0240149059965489
"B_IGHD",0.621067859638669,9.89945672991386e-11
"B_IL6R",-0.609312032622818,2.81269765063399e-10
"B_LILRA2",-0.492566451731003,1.02866830009977e-06
"B_ICOS",-0.348628460453102,0.00103975531428071
"B_THBS1",-0.326801377769872,0.00229757308077936
"B_LPCAT2",-0.607451929656951,3.29700562093572e-10
"B_CD244",-0.460693632164097,6.22253974597853e-06
"B_ARRB1",-0.463381040965885,5.3803270374912e-06
"B_NACC2",-0.48643268701757,1.47628121887695e-06
"B_QPCT",-0.674629714194739,5.12287917789374e-13
"B_SPN",-0.546488105741352,3.41101872294563e-08
"B_IFITM3",-0.630323937368162,4.29855949546506e-11
"B_PXN",-0.655381784779509,3.85521274691087e-12
"B_CYP1B1",-0.530244188552317,1.01139785398938e-07
"B_RGPD2",0.249581970187584,0.0241332264824151
"B_IFI44",-0.473863566846889,3.01722842459178e-06
"B_PILRA",-0.456090936074495,7.96653173277549e-06
"B_KLRD1",-0.633585830291975,3.14551917928834e-11
"B_CD33",-0.603833047161238,4.41244369338804e-10
"B_CAMK4",-0.425714190914609,3.73969111585577e-05
"B_PLAUR",-0.5361430490307,6.86735772982115e-08
"B_SELPLG",-0.558597282386165,1.44915825147321e-08
"B_KLF4",-0.362313960824794,0.000611647348577023
"B_DPP4",-0.327288566760589,0.00226001494818378
"B_NLRP3",-0.446474544735924,1.32219199029679e-05
"B_PSTPIP2",-0.716284696782039,3.10231870596948e-15
"B_HCAR3",-0.606360690816188,3.60832171477959e-10
"B_RASGRP4",-0.668887686118488,9.44612038835626e-13
"B_PRKCA",-0.373269357322651,0.000391924984503007
"B_CD7",-0.358471056457019,0.000711891392295455
"B_CD8B",-0.25457258553528,0.0210977924675645
"B_GPRIN3",-0.441053002478786,1.74563237742499e-05
"B_IL18RAP",-0.593974872882492,9.8054687952916e-10
"B_CD300A",-0.652970975320662,4.97827643298115e-12
"B_LTBR",-0.596159813027265,8.25986952273626e-10
"B_RORA",-0.363509148727891,0.000582921801807544
"B_CTSW",-0.30866517297469,0.00425670386733941
"B_CHRM3-AS2",-0.317867706115795,0.00312979798689378
"B_OSCAR",-0.501596735282179,6.03873856913431e-07
"B_CYP4F3",-0.774669204661343,3.48395884428137e-19
"B_STAT4",-0.356332356363327,0.000774598719484369
"B_NINJ1",-0.541412303688161,4.79567689461202e-08
"B_MS4A1",0.676211903838637,4.26242548279915e-13
"B_HCAR2",-0.613963364521135,1.86123150794475e-10
"B_DUSP6",-0.562391645850551,1.09434729341204e-08
"B_AMIGO3",0.245371893961541,0.0269505326268241
"B_LCP2",-0.516208239929335,2.47048642447651e-07
"B_CREB5",-0.731225965963918,3.87244787345262e-16
"B_CST7",-0.455642969580605,8.1601894686056e-06
"B_RASGRF2",-0.476550282475716,2.59665968284011e-06
"B_SLCO3A1",-0.561015297967154,1.21472387671966e-08
"B_IGLC3",0.601275858924174,5.43902722825528e-10
"B_TBC1D4",-0.328641032977494,0.00215921012971811
"B_NHSL2",-0.56662471348691,8.04289780295403e-09
"B_SVIL",-0.506262328643038,4.5464107055067e-07
"B_SAMHD1",-0.528160454023696,1.15406021439511e-07
"B_IL1RN",-0.622761581775823,8.49886244258057e-11
"B_ADGRE1",-0.469942387394263,3.74872827231587e-06
"B_UBASH3A",-0.286901628889894,0.00843540695195042
"B_SLC31A2",-0.515861561673048,2.51972231355509e-07
"B_RPS28P7",0.305453132876181,0.00473256382655655
"B_KIAA0513",-0.456559558531666,7.76949282148714e-06
"B_SULT1B1",-0.800123601313581,2.77976710444808e-21
"B_CD69",0.435929160746843,2.26879158501951e-05
"B_PADI4",-0.474870700104122,2.85780464966387e-06
"B_CACNA1I",-0.280024271054182,0.0103548043881799
"B_LRRN3",-0.352336579515547,0.000903344481667446
"B_SIGLEC9",-0.541006971070189,4.93540139948096e-08
"B_FAM69B",0.220438848117002,0.0496067433403409
"B_ISG15",-0.4276373516712,3.41240888172887e-05
"B_KCNJ2",-0.671414545680653,7.27943351091776e-13
"B_HSPA6",-0.507132045576536,4.31981793121878e-07
"B_CLEC4D",-0.576959068334129,3.733056289011e-09
"B_RAB32",-0.528839127950256,1.10366499434671e-07
"B_CD79A",0.767358064909155,1.27652816903985e-18
"B_EMILIN2",-0.288052674643878,0.00815322578420855
"B_LUCAT1",-0.629880773782694,4.48287809437153e-11
"B_LST1",-0.545223685101651,3.71275588200943e-08
"B_LIN7A",-0.643822353935018,1.20220763591701e-11
"B_EPB41L3",-0.33268285821367,0.00187117755186134
"B_CYP27A1",-0.498537696685476,7.23374619253497e-07
"B_CTBP2",-0.573889276665968,4.6966675970145e-09
"B_RIOX1",0.307382671966006,0.00443779449479188
"B_DAPK1",-0.431199872605786,2.8648439467943e-05
"B_LAT",-0.409480671295095,8.09137608527412e-05
"B_GBP1",-0.571616576956913,5.53762497616727e-09
"B_GBP5",-0.659125119400009,2.64509495700865e-12
"B_SLFN12L",-0.526931343646471,1.24626275795655e-07
"B_MME",-0.518724373853224,2.1057588076843e-07
"B_C3AR1",-0.543605782871852,4.14050870281596e-08
"B_IL1R2",-0.685440693735658,1.4788577732936e-13
"B_LCN8",0.303151197796901,0.0050981013131678
"B_ACSL1",-0.558956049267335,1.41013666646636e-08
"B_S100P",-0.539045085087971,5.62902217780245e-08
"B_RTN1",-0.476343185394027,2.62786944647809e-06
"B_TXK",-0.424720009372381,3.9223844632772e-05
"B_SIGLEC1",-0.418271732351578,5.33590123955836e-05
"B_PROK2",-0.637134363082107,2.2571408347956e-11
"B_RNU1-2",0.387263581379691,0.000218003408475568
"B_RNU1-27P",0.387263581379691,0.000218003408475568
"B_RNU1-4",0.387263581379691,0.000218003408475568
"B_AC004057.1",0.420661590181775,4.76219235045376e-05
"B_MXD1",-0.729041548877653,5.30199499005261e-16
"B_IGHG4",0.484663256690099,1.6324607308898e-06
"B_LILRA1",-0.584222365446216,2.13608217395198e-09
"B_BEST1",-0.767804809609783,1.18753649082148e-18
"B_S100A11",-0.459762261482846,6.55231456648549e-06
"B_F5",-0.598578361344098,6.76563566062286e-10
"B_IGLC1",0.615997671264014,1.56210130701056e-10
"B_CYBRD1",-0.515110015017269,2.64190222971942e-07
"B_NOD2",-0.49277046478803,1.01727540424438e-06
"B_MAL",-0.245395640305628,0.026936952258777
"B_AC139495.3",-0.459422304475499,6.67358343084084e-06
"B_GBP2",-0.663813770779946,1.63164162301884e-12
"B_IGKV3-20",0.650282661155254,6.50294523038256e-12
"B_EIF4E3",-0.794350918455221,8.69334229213399e-21
"B_ACSL6",-0.348341055694729,0.00105132909902757
"B_FAM129A",-0.604936846418263,4.04076964087949e-10
"B_LRRC25",-0.502478827105728,5.71836090137853e-07
"B_CCR2",-0.311725095061313,0.00384779937651126
"B_TYMP",-0.522892836743481,1.61296572959626e-07
"B_CSF2RA",-0.565062008071373,9.02398169991259e-09
"B_TLR5",-0.570966967246188,5.81432088867977e-09
"B_GPAT3",-0.716142706884932,3.15798427570179e-15
"B_APOBR",-0.660781049156755,2.23217633369788e-12
"B_ADGRG1",-0.389140260026061,0.000200738810220896
"B_TNFAIP6",-0.644886997645728,1.09094134133733e-11
"B_OAS3",-0.648725530049951,7.55611399652985e-12
"B_FCRL6",-0.392243310528605,0.000175790967626363
"B_RPL13P12",0.330454485166904,0.00202476302397922
"B_SIRPB1",-0.68359827349089,1.82274348022277e-13
"B_DSC2",-0.788474050561303,2.69770207098456e-20
"B_SLC24A4",-0.471296855345141,3.48192694793451e-06
"B_SGMS2",-0.543454412546005,4.18244412985808e-08
"B_GABARAPL1",-0.670915334047485,7.61377040406875e-13
"B_LINC00926",0.603283425629581,4.61661502583641e-10
"B_CES1",-0.299886005163467,0.00564810573297
"B_KRT23",-0.650218336607528,6.53256145624e-12
"B_PDE3B",-0.665871356152226,1.31243355756349e-12
"B_ATP10A",-0.371658341493534,0.000418846865125001
"B_NAMPTP1",-0.573060595459144,4.97890473311165e-09
"B_DEFA1",-0.455470093302996,8.23409285460695e-06
"B_IL2RB",-0.330805367616603,0.00200034199484478
"B_DCAF12",-0.54177915100189,4.6866538678766e-08
"B_MYOF",-0.334519121462924,0.0017533914515039
"B_CD22",0.633961737857682,3.03937731747627e-11
"B_IGKV2-28",0.64775239860317,8.27879169455733e-12
"B_ADGRG3",-0.522286105141369,1.67507640730854e-07
"B_MMP9",-0.5192344602569,2.0364159055266e-07
"B_SAMD3",-0.548264090534407,3.01626215746242e-08
"B_FCGR1B",-0.624577140321551,7.20827477928319e-11
"B_IFIT2",-0.64108935818075,1.55633996295398e-11
"B_RHOU",-0.396479140337847,0.000145687137793273
"B_FAM129C",0.458666366285353,6.94299233563758e-06
"B_RCBTB2",-0.536406125357478,6.76067453228987e-08
"B_BLK",0.692298023051632,6.62109319797254e-14
"B_EOMES",-0.45823425757385,7.10490346973513e-06
"B_CISH",-0.405471328957926,9.7193559796974e-05
"B_ATP8B4",-0.731343909767427,3.81506646066279e-16
"B_IFITM1",-0.37864037727053,0.000313528226246275
"B_FCAR",-0.534469174217224,7.70427411147198e-08
"B_FBN2",-0.357313451506573,0.000745404598731268
"B_ALDH1A1",-0.352224557456398,0.000906963331156457
"B_CEACAM3",-0.625623357872505,6.55256577285248e-11
"B_PRRG4",-0.819630842914268,4.06011831626602e-23
"B_VNN3",-0.646478559518172,9.36390342819887e-12
"B_AATBC",-0.28435487297155,0.00911050063931185
"B_MCTP1",-0.630108124135173,4.39161949448406e-11
"B_PAX5",0.607386432252408,3.31513945596937e-10
"B_NT5E",0.65937992188634,2.57203931960951e-12
"B_RXRA",-0.599252173316968,6.42230478910063e-10
"B_WLS",-0.61857755319632,1.23445350586241e-10
"B_ARAP3",-0.564649557550783,9.26921045928796e-09
"B_PLXND1",-0.393252724097235,0.000167946712127739
"B_SULT1A1",-0.368696029898902,0.000472139860652899
"B_IL1B",-0.605774115999516,3.76876503557744e-10
"B_IGHV3-23",0.685615815265525,1.44905524087255e-13
"B_TBXAS1",-0.370953462498717,0.000430617864418208
"B_GZMM",-0.273344965128887,0.0125702763511986
"B_RNVU1-7",0.491440617314221,1.10007886898423e-06
"B_ADM",-0.59432920201754,9.55635825879429e-10
"B_HNMT",-0.327425093887139,0.00225101047925796
"B_MYO7B",0.301474128040838,0.00537777035949792
"B_IFI6",-0.557556439626736,1.56365466577553e-08
"B_S100A4",-0.481317430199053,1.97593530639351e-06
"B_STX11",-0.655386292501991,3.85521274691087e-12
"B_CTLA4",-0.358883434532799,0.000700444628662352
"B_CPPED1",-0.625247845613501,6.78294896040834e-11
"B_FNDC3B",-0.490090213480766,1.19163992938992e-06
"B_FCRL1",0.575869532495777,4.05977623182597e-09
"B_LRG1",-0.549171221314859,2.82907049204445e-08
"B_CD226",-0.367445560054734,0.000496657907122332
"B_TRGC1",-0.500682411157591,6.37381941707583e-07
"B_GZMB",-0.456927605133453,7.62021607984615e-06
"B_SYTL2",-0.580000556758548,2.95641849659784e-09
"B_CMTM2",-0.59137660696583,1.20459347300225e-09
"B_RPSAP15",0.397937981938058,0.000136524693377919
"B_SMARCD3",-0.489004679722341,1.26943260638365e-06
"B_KLRC4-KLRK1",-0.275904242518735,0.0116788379058298
"B_ZYX",-0.57606456781423,4.00329355458753e-09
"B_LGALS3",-0.343995456255194,0.00123955164990347
"B_CNTNAP2",0.465817847291625,4.70471285240642e-06
"B_C19orf38",-0.353550532085895,0.000862999123331216
"B_AC007342.3",-0.791194263286782,1.60885536176299e-20
"B_FAR2",-0.615689158913536,1.60301234379351e-10
"B_IGKV3-15",0.713516946514736,4.52565377789963e-15
"B_IGKV3-11",0.707331102992974,1.01472528451035e-14
"B_UPP1",-0.379170396333106,0.000306633576368443
"B_ETS2",-0.699662329132091,2.69520579654343e-14
"B_TNFSF10",-0.67151769239822,7.20149961121337e-13
"B_AAK1",-0.680976144045194,2.45702622430812e-13
"B_IRAK3",-0.541691263585628,4.71464969890232e-08
"B_RNY3",0.32201275515196,0.00271580780346507
"B_IGKV1-5",0.620393487870409,1.052650556054e-10
"B_CD83",0.581465551116455,2.64026838942858e-09
"B_CDH23",-0.45317468160293,9.31552936462769e-06
"B_FGFBP2",-0.406531887774895,9.2597677694189e-05
"B_OSBPL5",-0.455201665815009,8.35503823433039e-06
"B_FNIP2",-0.621483858278679,9.56303679557396e-11
"B_SCARF1",-0.646732734484473,9.13921362467323e-12
"B_PFKFB4",-0.488239123870355,1.32743388233178e-06
"B_MYCL",-0.431693974419589,2.79652257777722e-05
"B_CEBPA",-0.317327927123281,0.00318797384923963
"B_PHOSPHO1",-0.531533988879392,9.32944011548911e-08
"B_ALS2CL",-0.255008673060947,0.0208516690771467
"B_SNORA54",0.29445815777245,0.00669964545854678
"B_MAFB",-0.465413325886394,4.81423449815967e-06
"B_COCH",0.53791900174044,6.08477283132598e-08
"B_GCNT4",-0.399936769847223,0.000125110798139831
"B_IER3",-0.696667662479088,3.88617801035969e-14
"B_DOK2",-0.307395644425151,0.00443624833439028
"B_NEAT1",-0.716310711238639,3.09950408498742e-15
"B_NPL",-0.743013308587397,6.50154778441414e-17
"B_SGK1",-0.365859956055554,0.000529995581044251
"B_PID1",-0.334746901083457,0.00174018409999352
"B_PRAM1",-0.616404148904215,1.51189827586778e-10
"B_ACPP",-0.534481205966692,7.70313806577128e-08
"B_RBP7",-0.542153358357866,4.57012515513387e-08
"B_CD40LG",-0.390438660405637,0.000189983404585413
"B_PLA2G7",-0.497658535039358,7.62566866588343e-07
"B_FAM46C",0.535993431168961,6.9347439142885e-08
"B_KLRG1",-0.308590145433409,0.0042667465899674
"B_DUSP16",-0.441219763512821,1.7332848317521e-05
"B_RAB3D",-0.457751224768561,7.28900686347322e-06
"B_RNF130",-0.334974961803081,0.00172591583029193
"B_RELL1",-0.574261733323287,4.5791724122192e-09
"B_IGHG3",0.471166812620246,3.50734699489609e-06
"B_SMIM25",-0.528791281045819,1.10638278468732e-07
"B_MSRB1",-0.471159773979657,3.508042313296e-06
"B_VSIR",-0.456043751562047,7.9850992751191e-06
"B_RNF157",-0.304462504421249,0.00488457917030564
"B_NLRC4",-0.439587874185192,1.87993859374444e-05
"B_ALDH3B1",-0.539046832092379,5.62902217780245e-08
"B_LINC00963",-0.690330876022379,8.32985084133579e-14
"B_BANK1",0.698803487911847,2.99874307930233e-14
"B_CD79B",0.80493858575526,1.01780872866841e-21
"B_VMP1",-0.452917460288733,9.43726495302954e-06
"B_CD200",0.61576891282242,1.59337816392957e-10
"B_TMEM176B",-0.28666257814788,0.00849858535025722
"B_TIGIT",-0.470404904750871,3.65269903167989e-06
"B_CD52",0.81469803298402,1.20067368451675e-22
"B_AC123912.2",-0.452936315933909,9.43031132417271e-06
"B_IGHV1-69",0.521080746630916,1.80644085862656e-07
"B_SYTL3",-0.482090567865134,1.89360980060786e-06
"B_CHI3L1",-0.534038415044927,7.92141259438108e-08
"B_MTMR11",-0.441063908933656,1.74526831319036e-05
"B_GPR171",-0.408665061099446,8.40580624988575e-05
"B_BTBD11",-0.464617593192369,5.0331150687394e-06
"B_TNIK",-0.38340077122913,0.000256871673696027
"B_RNASE2",-0.40102210704228,0.000119149585771195
"B_SLA2",-0.343804781974719,0.0012482088599213
"B_PTPRE",-0.586122109989578,1.83556037295438e-09
"B_EVI2A",-0.273634525407144,0.0124663057431351
"B_MYO1F",-0.516601023525242,2.40887996453987e-07
"B_GNA15",-0.615985908706278,1.56210130701056e-10
"B_SCN3A",0.573195854881366,4.93848768272196e-09
"B_SEMA4C",-0.344106191357033,0.00123513718339943
"B_TTN",0.491442859967955,1.10007886898423e-06
"B_SIPA1L2",-0.719932275857481,1.90465799517821e-15
"B_TRDC",-0.469025011433679,3.94252747784227e-06
"B_CD19",0.646180585957518,9.66455370216739e-12
"B_PCSK5",-0.607196790918264,3.35725581378922e-10
"B_RPL29",0.772040965783509,5.55746927042571e-19
"B_ITGAX",-0.633400026098086,3.20089224707226e-11
"B_TIMP1",-0.418998869900149,5.15210715845489e-05
"B_PTPN13",-0.440078982270426,1.83370910038667e-05
"B_CEACAM4",-0.578216759182706,3.39558746182228e-09
"B_OTOF",-0.664001791929537,1.60602061105316e-12
"B_ALPL",-0.405717180807578,9.61583853739506e-05
"B_FRMD4B",-0.544967625019987,3.77956322508059e-08
"B_IGLV8-61",0.520361385596199,1.89280435988273e-07
"B_FAM13A",-0.550490143554039,2.58037767396266e-08
"B_FCRL5",0.442488787982023,1.62536966930315e-05
"B_F2RL1",-0.780003456947247,1.32541618274712e-19
"B_RIN2",-0.432944726716498,2.63207404743447e-05
"B_SRXN1",-0.575710838501473,4.10419124804398e-09
"B_PCDH9",0.617503205854511,1.36653044587225e-10
"B_ADAMTSL4",-0.580245388609229,2.90374396504222e-09
"B_AC007952.4",0.671631387286103,7.12773492872267e-13
"B_TNFSF14",-0.644253780768483,1.15309678155836e-11
"B_RPL21P16",0.64865811760175,7.58347764109271e-12
