"","MM.darkturquoise","padj.MM.darkturquoise"
"B_DUSP1",0.224439961168678,0.0470189058882302
"B_AAK1",0.28782235083639,0.00853528765868257
"B_IRAK3",0.384208616283016,0.000262083525731524
"B_RNY3",-0.459343132087665,7.33791225180271e-06
"B_CDH23",0.300415741952986,0.00576382157011528
"B_FGFBP2",0.233543799793952,0.0377609878677176
"B_OSBPL5",0.313796503082184,0.00372863547885956
"B_FNIP2",0.253056895075727,0.0229420013616631
"B_SCARF1",0.459288880922988,7.35969331284424e-06
"B_PFKFB4",0.405685587478763,0.000102387842841149
"B_S100A6",0.307772119190409,0.00454807720551898
"B_PHOSPHO1",0.425378030880112,4.0983757476398e-05
"B_COCH",-0.467788556279214,4.63988222824691e-06
"B_IER3",0.440438431242077,1.94082355161821e-05
"B_NEAT1",0.446158624279826,1.46139416434803e-05
"B_NPL",0.405742558043317,0.000102118709701054
"B_SGK1",0.324652984624768,0.00257805123680466
"B_PRAM1",0.339930910486251,0.00148957610690329
"B_ACPP",0.300302826204239,0.00578326845280767
"B_RBP7",0.363430450201736,0.000610563879062292
"B_DUSP16",0.253854318317461,0.0224698366398244
"B_RAB3D",0.343123072546766,0.00132194967620175
"B_RNF130",0.246700070052798,0.0271432174609433
"B_RELL1",0.433043602066192,2.82182282010519e-05
"B_SMIM25",0.384936965995577,0.000254608111835437
"B_MSRB1",0.432123731493532,2.95335590487805e-05
"B_VSIR",0.392558543032484,0.000183304549194484
"B_NLRC4",0.227835083891879,0.0433142824071034
"B_ALDH3B1",0.284132098943229,0.00954029033375727
"B_LINC00963",0.397255048366746,0.000149056811754419
"B_BANK1",-0.516129620238848,2.64599241371813e-07
"B_CD79B",-0.422202255048046,4.76790721841677e-05
"B_VMP1",0.382292758911211,0.000283426451555357
"B_CD200",-0.336835710434636,0.00166736552196729
"B_CD52",-0.342177401073298,0.00136948194129795
"B_AC123912.2",0.265985030087473,0.0161441396788895
"B_WARS",0.278414098030946,0.0112703387577874
"B_SYTL3",0.271709205461988,0.0137109789282614
"B_CHI3L1",0.312681463207718,0.00386659365420487
"B_PTPRE",0.372316305340785,0.00042827641371624
"B_EVI2A",0.271897424288757,0.0136370240272648
"B_MYO1F",0.40116181665525,0.000125376564619839
"B_GNA15",0.366999296625683,0.000530697524911546
"B_SCN3A",-0.342876201785199,0.0013347206981699
"B_TTN",-0.384013212034617,0.000264038678482813
"B_SIPA1L2",0.477825170405623,2.63950803214268e-06
"B_CD19",-0.395899225410885,0.000158223221961159
"B_HSPA1A",0.242905393755257,0.0299789083285901
"B_RPL29",-0.29424839058547,0.0070050961501743
"B_ITGAX",0.436319895151728,2.3927469677746e-05
"B_TIMP1",0.392799466877225,0.000181421258439419
"B_CEACAM4",0.4160489718589,6.37124265202217e-05
"B_OTOF",0.738591904540798,1.74978503426234e-16
"B_ALPL",0.238199491949953,0.0336778841163563
"B_FRMD4B",0.244570988447288,0.0286913879634237
"B_FCRL5",-0.310202411439354,0.00420044683081836
"B_F2RL1",0.439244892430494,2.06141069150846e-05
"B_RIN2",0.348973434850615,0.00106600201602591
"B_SRXN1",0.360462769353669,0.000687123559243568
"B_PCDH9",-0.514712419884643,2.89286166992829e-07
"B_ADAMTSL4",0.316888766445026,0.00336302835353102
"B_AC007952.4",-0.385597492956151,0.000247539047375984
"B_TNFSF14",0.393432673111468,0.000176502696143469
"B_RPL21P16",-0.239289041214124,0.0328047398256324
"B_TMEM170B",0.305314132203128,0.00491978615028495
"B_FCRLA",-0.485696126362374,1.68046492587629e-06
"B_FCRL2",-0.484252919198723,1.82947715758539e-06
"B_IGHV1-2",-0.227709383126355,0.0434488105654445
"B_S1PR5",0.222258825349002,0.049496590330413
"B_EEF1B2",-0.373722034667173,0.000404460312578655
"B_SEMA3C",0.349481354213999,0.00104646648805068
"B_DPYD",0.259939851059049,0.0190711592840603
"B_BACH1",0.353054837804918,0.00091434645593569
"B_MBOAT2",0.471890862490114,3.69926979856067e-06
"B_ARHGAP26",0.472262003889341,3.61953506662041e-06
"B_SNX29P2",-0.346468314631322,0.00116993504480897
"B_SIGLEC5",0.443944015060739,1.62878076854683e-05
"B_HRH2",0.359129882036889,0.000723065183972033
"B_LTF",0.498067021748025,8.08959731430321e-07
"B_CXCR5",-0.456277451458288,8.61114103863116e-06
"B_PKD1P5",-0.255151103426338,0.0216846356086882
"B_AC007032.1",0.48251115298074,2.0246892270683e-06
"B_B3GNT5",0.467664627408729,4.67019177132755e-06
"B_S1PR1",-0.307820143697864,0.00454287878068278
"B_VNN2",0.434952452426481,2.5610894114455e-05
"B_AATK",0.382188454808199,0.000284656009026507
"B_FAM157B",0.416504676544334,6.24006976341207e-05
"B_AC108134.3",0.524923811383361,1.50729444160453e-07
"B_FBXL5",0.324064488145211,0.00263248685048721
"B_PLCL1",0.236723587353868,0.0349221158029898
"B_SOD2",0.502267602325211,6.27887640455566e-07
"B_LGALS3BP",0.725889142652558,1.07538054621186e-15
"B_VPREB3",-0.358222158390454,0.000748699885456516
"B_DEFA3",0.561058195296133,1.25172858618847e-08
"B_TMEM71",0.430744049559079,3.15984693033306e-05
"B_PLSCR1",0.678504177616043,4.05561852194859e-13
"B_AFAP1",0.267509393361281,0.0154572678297564
"B_CASS4",0.409750277618589,8.50724605972022e-05
"B_P2RX5",-0.495813790347258,9.27778125423966e-07
"B_SAT1",0.431283166947291,3.0786825501251e-05
"B_LINC01781",-0.560144682483584,1.3348789767448e-08
"B_CCR3",0.382756513303193,0.000278094629188292
"B_TNFRSF13C",-0.419838136326683,5.33255281716413e-05
"B_BTNL9",-0.576755307848986,3.87771202494126e-09
"B_SNORD118",-0.245077025664909,0.0283281787879354
"B_MEGF9",0.344218912519835,0.00126990795086485
"B_CLC",0.303486577711563,0.00522616000034907
"B_TCL6",-0.222760621246475,0.0489138067414265
"B_ITGB1",-0.240489825878239,0.0318094572494292
"B_HPSE",0.412476295378863,7.50801462377176e-05
"B_IGKV4-1",-0.282401658331642,0.0100421417877459
"B_GLUL",0.436529555896892,2.36784550255698e-05
"B_DOCK4",0.491526915554528,1.1966378905141e-06
"B_FCER2",-0.359947556385923,0.000700946228189292
"B_DHRS9",0.559156187395188,1.43512542968665e-08
"B_SNX22",-0.411880356655739,7.71446807025161e-05
"B_CEBPB",0.366478722297865,0.000541561827378372
"B_ARHGEF11",0.436934884268917,2.3185983848311e-05
"B_KIAA1324",0.456363295564142,8.57606744625405e-06
"B_SPATS2L",0.806185964795966,9.61651680196456e-22
"B_CDA",0.404925475668098,0.000105913719678652
"B_HIP1R",-0.368105231860538,0.000507331575308411
"B_EEPD1",0.383556753400323,0.000269029127329247
"B_USP18",0.958170231341902,1.58390096042519e-51
"B_COL19A1",-0.375303774122295,0.000379510696688799
"B_CTSD",0.327079549732999,0.00236433780789202
"B_BACH2",-0.352927871374924,0.000918568315258865
"B_AC010733.2",-0.258061715701306,0.0200576375863045
"B_FAS",0.457001453046694,8.30247911844634e-06
"B_CASP1",0.333925996381053,0.00185113986153867
"B_ST3GAL6",0.504093167141352,5.60440100588106e-07
"B_AC018755.2",0.518495588286816,2.27232410363119e-07
"B_GLIPR2",0.352183118075003,0.000944560026617725
"B_NECTIN2",0.539555260105066,5.68464800416319e-08
"B_AC136475.3",0.262578623318947,0.0177311820660109
"B_FCRL3",-0.458296414673286,7.75483223682633e-06
"B_AC011462.1",0.433220659569451,2.79653945662763e-05
"B_CD27",-0.436326083002609,2.39243797108812e-05
"B_OSM",0.351009919903212,0.00098761693979932
"B_PTPRCAP",-0.262049628592372,0.0179908467489213
"B_KLHL14",-0.352763969934123,0.000923569895265999
"B_FAM157C",0.352622455585497,0.000928397517666964
"B_SPIB",-0.513060975622986,3.20547702562427e-07
"B_RNF24",0.454118222797746,9.64593928773224e-06
"B_HAL",0.488108353752245,1.46334255862555e-06
"B_PKD1P1",-0.397357989005176,0.000148418186278342
"B_VSTM1",0.247237959791305,0.0267529111056572
"B_MBOAT7",0.410609466062565,8.18058302353865e-05
"B_CMTM3",0.441027498892528,1.88710568843566e-05
"B_SLC44A5",-0.345672699048797,0.00120486150670088
"B_CD1C",-0.602998813994611,4.78548610113483e-10
"B_GRAMD1B",0.377613553678593,0.000345119622311827
"B_RNF144A",0.318683589479497,0.00316525089720434
"B_LINC02397",-0.436757563832876,2.3398380028635e-05
"B_ZNF467",0.361304473440602,0.000664230751258384
"B_H3F3A",0.270733182959236,0.0141018482523899
"B_FAM111B",-0.281959665450853,0.0101676862908508
"B_GOLGA8A",-0.286383958378882,0.00892244627167022
"B_AC146944.2",0.41847991178157,5.69618917951893e-05
"B_PLD1",0.346284868064425,0.00117762279342411
"B_AFF2",0.51665176793344,2.55866114861228e-07
"B_BTLA",-0.297385479261933,0.00634723090924142
"B_LINC00937",0.32572959823553,0.00248241201026012
"B_MPP1",0.331693725171091,0.00200723457283345
"B_COL4A3",-0.535123673070156,7.66226092814173e-08
"B_AKAP6",-0.301156557374687,0.00562827637697619
"B_BLNK",-0.424161173065219,4.34239174245118e-05
"B_C5AR2",0.480004498871036,2.33266414496476e-06
"B_MPZL3",0.475848957094196,2.95791409598706e-06
"B_FES",0.3328957203593,0.00192152202249574
"B_CPD",0.462084654813149,6.32921504393849e-06
"B_FRY",0.38040154059061,0.000307219268068898
"B_ODF3B",0.648150055229944,8.94883843403769e-12
"B_FCGRT",0.400037572277598,0.000131776034112019
"B_GPR27",0.469147802028913,4.30219161857587e-06
"B_SAMD9",0.367839248590671,0.00051260827513499
"B_CREG1",0.253232089284591,0.0228419191473794
"B_GAS7",0.347593809363826,0.00112154137968072
"B_ANXA3",0.537146124264648,6.71458992494859e-08
"B_LY6E",0.673244185037843,7.20801722962354e-13
"B_IL17RA",0.393661017725111,0.000174813876603814
"B_CLEC4A",0.369190250542279,0.000486192620729087
"B_SNORA8",-0.251560669008899,0.0238915897080926
"B_IGHV1-18",-0.271965938592216,0.013617467471573
"B_GNG10",0.454223090107328,9.59848417247634e-06
"B_RAB30",-0.387392190907662,0.000228722937962648
"B_IGKV1-17",-0.233909416192909,0.0374306999746645
"B_C15orf39",0.354443139695472,0.000865950980737734
"B_TREML4",0.224886477829481,0.0465161902382907
"B_STOM",0.447944477110714,1.33618784439561e-05
"B_TSPAN2",0.357286647011888,0.000776542641456791
"B_AGTRAP",0.32916989781654,0.00219699992535094
"B_APOL6",0.672241276842579,7.99005797354992e-13
"B_TSPAN13",-0.26457893957298,0.0168117852033561
"B_CXCL1",0.450234577665299,1.18593656217076e-05
"B_LARGE2",-0.402924108879265,0.000116007678785052
"B_IFITM2",0.641526646667452,1.66105769812294e-11
"B_AC097637.1",-0.303075680930788,0.00529655188943898
"B_PLPPR2",0.366954063020672,0.000531590837059422
"B_IGHV3-11",-0.24164335851988,0.0309303834828418
"B_TPD52",-0.355977653312428,0.000816637679793468
"B_BCL2A1",0.363481296724478,0.000609486667349788
"B_CDC42EP2",0.44549020811722,1.5083204642421e-05
"B_PICALM",0.274871888751902,0.0125304715594957
"B_FAM167A",-0.28997547139196,0.00798916072761602
"B_GPR141",0.32959113643471,0.00216394688134159
"B_PLEKHG1",-0.441201209311744,1.87093614779073e-05
"B_RPS26",-0.287828201791479,0.00853459481292093
"B_FCMR",-0.409992704970034,8.41465676192906e-05
"B_FOLR3",0.399874977577645,0.000132622277336543
"B_SLC16A3",0.399891886566232,0.00013257777760932
"B_HIST2H2AA3",0.241146566549334,0.0312884026468304
"B_HNRNPLL",0.41739903778712,5.98585895253683e-05
"B_AFF3",-0.469157349235258,4.30077820198356e-06
"B_HCST",0.259268417369947,0.0194295085223618
"B_THBD",0.342337418319348,0.00136138363521114
"B_IGKV2-24",-0.272184128184442,0.0135381388540689
"B_SLC22A4",0.502141216679558,6.32300793374158e-07
"B_BAIAP3",-0.269137682015553,0.0147609304622169
"B_BTNL8",0.530854969191036,1.02172558548636e-07
"B_FAM30A",-0.398651249505183,0.000140070583414102
"B_GPR183",-0.440843391511261,1.90328061140103e-05
"B_ABHD5",0.40240807444015,0.000118722181234403
"B_MPZL2",0.437030262186549,2.30695003993808e-05
"B_LEPROTL1",0.258482106582868,0.019837528116206
"B_TRIB1",0.409402421233268,8.63705728344929e-05
"B_EPHB1",0.50221396392263,6.29585718700231e-07
"B_PLB1",0.363747431746826,0.000603202582154794
"B_AC020916.1",0.33513535335503,0.00177099187402564
"B_PPT1",0.231905317767155,0.039271278154066
"B_LILRA4",-0.53025684326354,1.06154928419163e-07
"B_SESN1",-0.239498332936695,0.0326284966334677
"B_H1F0",0.38403675015574,0.000263793534822316
"B_CCR7",-0.412747124722102,7.41211988668151e-05
"B_SIK1",-0.282003782574131,0.0101563647643852
"B_COBLL1",-0.488566857337612,1.42419210499807e-06
"B_TRERF1",0.236793206420836,0.0348709143627486
"B_RPS2P5",-0.313464320850666,0.00377070178699685
"B_SLC16A6",0.356910822614681,0.000787788403403185
"B_SIGLEC7",0.263888802051715,0.0171228427628525
"B_GRASP",-0.285269754466538,0.00922055764677644
"B_EIF3L",-0.355342188274843,0.000836347116103232
"B_GOLGA8B",-0.31749933012558,0.00329664028662667
"B_NFIL3",0.557637785358411,1.60476941222691e-08
