"","ENA_(pos≥1)","ENA_scale","SSA_(pos≥10)","SSA_scale","SSA_52_(pos10)","52_scale","SSA_60_(pos10)","60_scale","SSB_(pos≥10)","SSB_scale","Sm_(pos≥10)","Sm_scale","U1_RNP_(pos≥10)","U1_RNP_scale","SCL70_(pos≥15)","Scl70_scale","Jo1_(pos≥10)","Jo1_scale","DNA_(pos≥40)","DNA_scale"
"MEpurple",0.10193832757626,0.127136766290939,0.150033217970095,0.180243088629059,0.135714554997702,0.165384739773463,0.193616019836934,0.230808136633469,-0.106808895398012,-0.0529431015899086,0.149656129882896,NA,0.354462425460673,NA,0.212565369871356,NA,0.241282683767113,NA,-0.0442644525464155,NA
"MEdarkgrey",0.0287034561584497,-0.0234102269323025,0.0348500752844426,0.00310008061925326,0.0243200133589099,-0.0217892053610221,0.0621395570485441,0.0679133328257578,-0.0859516875472465,-0.0598441195960187,0.020797629349281,NA,0.00993632974025332,NA,0.138038668145406,NA,0.0451653076597088,NA,-0.0533567765379514,NA
"MEdarkturquoise",0.0109689444780443,0.0336652086343398,0.034993087244829,0.0763517843957915,0.0250894537484232,0.0629881927512196,0.0785003616791557,0.132884567760189,-0.0843607521820116,-0.0556087626547085,0.10475891106316,NA,0.268443507807137,NA,0.1610676947389,NA,0.132952723548268,NA,-0.059239390851715,NA
"MEsalmon",-0.181002599902465,-0.139207070505769,-0.177259087735745,-0.140335063635193,-0.169887703438168,-0.130726211962468,-0.176445784109607,-0.156150972382462,-0.0671246155599509,-0.118812576616257,0.0549168469569055,NA,-0.0751281864775389,NA,-0.0492740336932472,NA,-0.0644387146970939,NA,-0.000823796114016154,NA
"MEorange",0.0634183889237314,0.0666161025817109,0.0517648034593821,0.0694780320745815,0.0625584678908935,0.0665462732164019,0.0185138042254738,0.0506706528590824,0.0389729733230112,0.0440513146614861,-0.130225821658934,NA,-0.0350006222357965,NA,-0.0509210999581922,NA,-0.0656118306690116,NA,0.080215124872861,NA
