"","MMP_8","TARC","TNF_RI","CHROMATIN","PFLC","BLC.y","CXCL16","DCR3","ESELECTIN","EGF","ENA78","FAS","FGF21","FGFBASIC","GCSF","GALACTIN3","GMCSF","GROALPHA","GROWTHHORMONE","HGF"
"MEpurple",0.397488016952089,0.0694036812758965,0.91089499951542,0.311757757108352,0.777451171174184,0.36295385795005,0.748045688231652,0.306795512960678,0.672128637809861,0.459023646267244,0.447802967862539,0.795492804398718,0.67476834830947,0.413836989123598,0.365947522365771,0.641213936834088,0.954933832461881,0.400267272976142,0.898571017622736,0.65939470840095
"MEdarkgrey",0.0103766548632081,0.37191546641236,0.135114936741542,0.891294611031882,0.538077604424691,0.298823594974791,0.160097903833103,0.425896600821466,0.337023820314973,0.00782562046220862,0.446173774970719,0.272170339830557,0.186442095428122,0.28072816691866,0.295026274479568,0.160253967058548,0.865669434874136,0.264336769360161,0.0941566713760372,0.116060488559701
"MEdarkturquoise",0.252635667126338,0.28848100606096,0.403674047498445,0.588586509801735,0.685461153786922,0.800905719697955,0.570223457849075,0.714525221933035,0.854645493404385,0.356951578118054,0.988188644366103,0.543463214666758,0.900377456579594,0.931581515996443,0.795312794886152,0.73733242923676,0.685986215709932,0.330145302706244,0.76222586456862,0.879839597330346
"MEsalmon",0.0281845753294009,0.790827530047562,0.208408189324117,0.786072340995152,0.884667614696095,0.0720997503017693,0.132709002649455,0.624498815525086,0.0593401117483738,0.0238419564230479,0.148331043151371,0.156332440773921,0.351976280387369,0.319941819978759,0.588720267535281,0.127621463292,0.762332761727677,0.632505497533037,0.121208771689616,0.255312317704748
"MEorange",0.866180273323997,0.725897410937711,0.833041727148966,0.710809182109646,0.8677504270513,0.841086145138252,0.656095203424215,0.555357496597107,0.732268873801384,0.894233171348646,0.437677238485854,0.608923263879783,0.754383915387747,0.832614012279777,0.648632966571729,0.776556749983569,0.434831647392673,0.350460909542365,0.468983498288504,0.787936237137535
