"","MM.darkgrey","padj.MM.darkgrey"
"B_ATG2A",0.267319740158947,0.0207281496987715
"B_AP000275.2",-0.233094314523667,0.0474849994292526
"B_ZNF260",-0.254017558155693,0.0290179332802121
"B_MAFF",0.244543504885064,0.0364040169505468
"B_EEF1A1P5",-0.330158591377978,0.0032713568626876
"B_ABCG1",0.379632622467453,0.000548277565480316
"B_SHISA5",0.384873407634556,0.000448299551241569
"B_RPS3A",-0.254982001724457,0.0283287858225161
"B_TMEM107",-0.271308593443336,0.0187076602363855
"B_NAPA",0.355638477318782,0.0013608636923184
"B_CTSH",-0.235841235095396,0.0446377040792492
"B_ATIC",-0.261245077383256,0.0241810794883864
"B_P2RX1",0.251586332791546,0.0308089265430688
"B_MRPS35",-0.235076010838304,0.0454177764168244
"B_WDR89",-0.243727399742627,0.0371192854420156
"B_TRIO",-0.257607492809756,0.0265107074232071
"B_TSC22D4",0.270866198445644,0.0189007094390663
"B_ALG1L13P",0.231130036587788,0.0495596434885122
"B_JPT2",-0.231757476046593,0.0488689019198902
"B_ZSCAN12",-0.248297762461057,0.0332906882888202
"B_RIMBP3C",-0.241757711250479,0.0388978011329734
"B_AC131392.1",-0.263509332019979,0.0228598854035216
"B_ISG20",0.266699060598782,0.0210427574882466
"B_ZFP3",-0.244544827208582,0.0364040169505468
"B_ZBP1",0.390065829649038,0.000363972396593292
"B_AC136475.5",0.255109126509525,0.0282414369940155
"B_RPL4",-0.266038055584265,0.0214037667860194
"B_MOB3A",0.275177851735244,0.0168261381964356
"B_AL671883.2",0.277255753181694,0.0159326331871472
"B_LAMTOR4",0.303471301787133,0.00755535091228377
"B_EIF3J",-0.24099930047457,0.0395957941617011
"B_HDHD2",-0.259326786912674,0.0253888241418156
"B_IFIT5",0.299699015896037,0.00846129745049272
"B_AC007256.1",-0.269104524085417,0.0197649501096103
"B_TIGD3",0.32913942177578,0.00338541950722474
"B_ZNF607",-0.245743738210771,0.0353935299014278
"B_OR2A1-AS1",-0.246098390877302,0.035105134805686
"B_RPL10P16",-0.247430843380693,0.0340258016120286
"B_R3HDM4",0.261777477847489,0.0238667861671104
"B_GNG11",-0.232594096334517,0.0480087180891558
"B_ZNF286A",-0.241333726297862,0.0392960296564836
"B_PDE4DIPP1",-0.248792367397735,0.0328780951493909
"B_LSP1",0.245499844421899,0.0355888808331437
"B_DEDD2",0.272629242823375,0.0180529356218638
"B_SPACA6",0.237808576756684,0.0425926492850791
"B_DGKG",0.234507909925793,0.0460085540803886
"B_RPE",-0.235801782666722,0.0446702358087061
"B_FHIT",-0.264113248685857,0.0225044764813809
"B_HSH2D",0.45739727214696,1.76089346772486e-05
"B_ZNF343",-0.237065780471248,0.0433528651463574
"B_ZNF577",-0.240267875882008,0.0402774475409817
"B_TAP1",0.371393528094928,0.000760010671321018
"B_CASD1",-0.266455294572619,0.0211690199728059
"B_AC018638.2",0.246886166357879,0.0344559963769214
"B_FKTN",-0.238309596524472,0.0421114447781055
"B_PSMB10",0.278397674376648,0.0154561287074819
"B_LDAH",-0.262217463288453,0.0235983999695653
"B_MRRF",-0.236905727414423,0.0435256057711576
"B_WDCP",-0.315174633504538,0.00526531458853225
"B_ZNF202",-0.233809908942787,0.0467163235337074
"B_ACVR2A",-0.248978538670048,0.032749921273789
"B_PRR13P5",0.28398975731761,0.0132760812792722
"B_NKRF",-0.243119834134618,0.0376790669141041
"B_HACD3",-0.262365410185872,0.023509323781954
"B_CALU",-0.243918236862293,0.0369734067015326
"B_MS4A14",-0.294294247748823,0.00988680314065782
"B_PRDM11",-0.238196366793793,0.0422209245622651
"B_RTN2",0.248855298142051,0.0328435064434851
"B_NDC1",-0.249694717454076,0.0322121628467157
"B_ZCCHC2",0.381644698204712,0.000507857792820529
"B_MAP1LC3A",0.315578666562414,0.00520273543504364
"B_ARL17B",-0.261111811127846,0.0242561072855951
"B_RRN3P2",-0.247501606269759,0.0339691665265716
"B_NUCB1",0.24156139117028,0.0390722778678105
"B_RNVU1-14",-0.34678717628707,0.001865494845023
"B_YES1P1",-0.287727931817797,0.0119591928251221
"B_FASTKD1",-0.257809311851434,0.0263728327175222
"B_IFIH1",0.338815670679357,0.00245419962378332
"B_PIM3",0.277886445227965,0.0156734161511753
"B_HIST2H2AB",0.251878166194111,0.0305923905086252
"B_ZNF567",-0.274241750982807,0.0172665169208629
"B_MAD2L1BP",0.235965962186489,0.0445213994426223
"B_OGFR",0.240713197606903,0.0398629770163068
"B_CD82",0.24880399851739,0.032871230319597
"B_INTS2",-0.231057018399218,0.0496407103085351
"B_DIMT1",-0.25120957431005,0.0310580693617456
"B_FLOT1",0.241951938874124,0.0387237996497167
"B_SREBF1",0.383813427547898,0.000466534754996126
"B_LINC00189",0.274468931105464,0.0171565646068568
"B_TG",0.245951801079822,0.0352223337974043
"B_CDKN2D",0.307128050158993,0.00675740176028476
"B_DOCK7",-0.276919939076412,0.0160652909082973
"B_RENBP",0.23267905292528,0.0479257624237422
"B_UTP15",-0.231310117645467,0.0493519098750756
"B_DHX58",0.382431579793007,0.00049333328625512
"B_CTAGE6",-0.245580417233545,0.0355195535784608
"B_FMNL1",0.248977170512208,0.032749921273789
"B_SLC25A12",-0.27936877528629,0.0150692043964502
"B_ALKBH8",-0.29893513909487,0.008655902006832
"B_AC244502.1",0.280155470982003,0.0147570390180867
"B_IQCE",0.238122198061814,0.0422931260693235
"B_AASDH",-0.247059663813912,0.0343266237453182
"B_RPL6",-0.243486110371395,0.0373624035880011
"B_WASHC1",0.327250764290908,0.0035955859507589
"B_ZNF749",-0.259901373689193,0.0250319691245888
"B_CD84",-0.239660147762262,0.0408402695022962
"B_MKNK2",0.27000030782882,0.0193052531403609
"B_TMEM120A",0.262407905145706,0.0234819583894457
"B_PKIA",-0.290304772626379,0.0111088918640171
"B_NRIR",0.397595804549361,0.000268657719331312
"T_LYZ",0.25825748576381,0.0260701694812333
"T_LY75-CD302",-0.392456802891856,0.000331248876036425
"T_AC008695.1",-0.639140739579082,9.6001346278507e-11
"T_IFI44L",0.472324713508921,8.29907037143555e-06
"T_AC004057.1",-0.31464996146583,0.0053513882244029
"T_HLA-DRB5",0.264728557260482,0.0221397547045711
"T_RPS28P7",-0.322493231796555,0.00419606465140712
"T_CYBB",0.254436184460489,0.0287394594409908
"T_AL356488.2",-0.510680338302674,1.01947901147388e-06
"T_FGL2",0.436626826303042,4.8431641832093e-05
"T_AC007952.4",-0.314947072617655,0.00530584384686479
"T_SNORD3B-1",-0.248054346370316,0.0334922183492943
"T_NKG7",-0.309458865120442,0.00628247203079692
"T_MPEG1",0.250503799643434,0.0315884054054212
"T_IFIT3",0.431771483357621,6.00184347074887e-05
"T_SNORA81",-0.301764812522571,0.00795500072237919
"T_MNDA",0.289118518743397,0.011485504299504
"T_PRF1",-0.357464502274954,0.00127281992838139
"T_RNY1",-0.34144334601668,0.00224601535489876
"T_AL355075.4",-0.356483688355215,0.00131866833676352
"T_ZAP70",-0.560665579857839,4.63054215492553e-08
"T_LRRK2",0.297408236601762,0.00904110168228439
"T_IL7R",-0.274356028670905,0.0172059251778093
"T_SNORA54",-0.359337094624186,0.00119107045399686
"T_SNORA57",-0.674304253791373,2.51084660575825e-12
"T_CPVL",0.282557974289866,0.0138092436009232
"T_PTPRCAP",-0.569628714553262,2.50063316742511e-08
"T_RNY4",-0.318791453011551,0.00471509904657687
"T_SNORD10",-0.578909107271668,1.25607046404765e-08
"T_IFIT1",0.313591258449953,0.00553133120797828
"T_SNORD15A",-0.353272421826764,0.00148338731924134
"T_HLA-DRA",0.35126606055408,0.00159116011948899
"T_PLEC",-0.475266269868755,7.14796223451319e-06
"T_CTSW",-0.398677547164661,0.000256532979838281
"T_RSAD2",0.459316770317835,1.60234134497626e-05
"T_NCF2",0.246209044211393,0.0350179563359157
"T_SNORA7A",-0.401277406771946,0.000230500777506463
"T_CD36",0.320341427065072,0.00449244444580186
"T_GOLGA8B",-0.287932730156398,0.011890998941483
"T_COL18A1",-0.260375446473986,0.0247351220875567
"T_S1PR4",-0.545550312324877,1.25774533996474e-07
"T_MS4A6A",0.301321275730441,0.00806228381448069
"T_RNY3",-0.288464427593484,0.0117020560358511
"T_RMRP",-0.482634115842331,4.83013806598187e-06
"T_SNORA8",-0.289487046824494,0.0113746511657375
"T_SPOCK2",-0.502010815452338,1.67481808427742e-06
"T_IFI27",0.382875140364492,0.000484278384260186
"T_CD300E",0.278554090823559,0.0153894237736972
"T_GZMM",-0.532881826203599,2.76380713849954e-07
"T_PLBD1",0.252178826760386,0.0303753835054303
"T_SNORD3B-2",-0.38908813913029,0.000378459168278383
"T_JUNB",-0.243900616538951,0.0369826379990057
"T_ZEB2",0.338079646203049,0.00251757812709511
"T_RN7SL4P",-0.582474036084831,9.71690007760917e-09
"T_BLOC1S5-TXNDC5",0.244166429879717,0.0367486504493172
"T_FLNA",-0.382123403160973,0.000498121410945216
"T_OBSCN",-0.587705724041408,6.54205498375824e-09
"T_COL6A2",-0.57536757768374,1.63642480196057e-08
"T_CLEC7A",0.285396599382649,0.0127759594098639
"T_LILRA5",0.245439042867262,0.0356463484111575
"T_SNORD118",-0.284680182267117,0.0130284834426391
"T_AC079594.2",-0.530130770282217,3.25410864133439e-07
"T_CD68",0.243823448678011,0.0370441174452149
"T_CISH",-0.396643397811869,0.000279294804148711
"T_TLR4",0.286722563319751,0.0123003072417585
"T_IFI44",0.493941182280016,2.63888072018137e-06
"T_PKD1P1",-0.572588550772125,2.02765437842711e-08
"T_MEFV",0.232714157108078,0.0478853503033685
"T_HBB",-0.283870683041267,0.0133160090603838
"T_DUSP6",0.333407272790859,0.00293631030665377
"T_RNU1-2",-0.424683409073174,8.2696184039266e-05
"T_RNU1-27P",-0.424683409073174,8.2696184039266e-05
"T_RNU1-4",-0.424683409073174,8.2696184039266e-05
"T_SIGLEC1",0.381202465077481,0.000515763270838185
"T_LIME1",-0.602621816038408,2.1011349503521e-09
"T_1-Mar",0.356541671604286,0.00131636162018646
"T_RNVU1-7",-0.309156544276787,0.00634598094665784
"T_TLR8",0.300729192509943,0.00819733856408271
"T_ANO9",-0.590664311381918,5.20725896996297e-09
"T_APOBEC3A",0.289251005016648,0.0114416050681875
"T_OAS1",0.31742542456161,0.00492049303149584
"T_FCGR2C",0.234894870544061,0.0455961602804904
"T_SNORA46",-0.314200902961907,0.00542966229110166
"T_CD6",-0.549325100967657,9.85441168848494e-08
"T_IRAK3",0.263827827960158,0.0226808735397056
"T_HIST1H1E",-0.318756893843727,0.00472030037527871
"T_LYN",0.334750371831339,0.00280954762404391
"T_ETS1",-0.285204289826737,0.0128438210361912
"T_ITK",-0.284329065352575,0.0131543458469207
"T_TCF7",-0.438102997141928,4.50200084495194e-05
"T_SNORD89",-0.33686999071822,0.00261728043893666
"T_CMPK2",0.425006941468182,8.15741821567827e-05
"T_PGGHG",-0.590555548092444,5.23994124222714e-09
"T_CD8B",-0.267651708553518,0.0205614714415486
"T_PARP10",-0.419468558833806,0.000104538765166371
"T_TTN",-0.302803503997126,0.00770949430844728
"T_SLC7A7",0.262326903934478,0.0235272214750907
"T_PLXDC2",0.347957134491642,0.00178764220785866
"T_SULF2",0.269227852561775,0.0197027082857821
"T_CD7",-0.598672749926899,2.86697690148267e-09
"T_ARHGAP45",-0.529075737859624,3.47981656737661e-07
"T_MATK",-0.487520331362589,3.7226493306931e-06
"T_SBF1",-0.512142260445033,9.43773678973049e-07
"T_ALDH2",0.290688024137456,0.0109832287794846
"T_MS4A7",0.279603398654083,0.0149772442811686
"T_TSNAX-DISC1",-0.307548116514848,0.00667387701129334
"T_RPS26",-0.371213823511794,0.000765103596381189
"T_TBX21",-0.275355126641032,0.0167576871434968
"T_MEGF6",-0.631200730460613,1.92466386176621e-10
"T_CLEC12A",0.306501247588094,0.00688180356933554
"T_TRBC2",-0.469122235210608,9.78912058078722e-06
"T_IL32",-0.458537921802408,1.66547779782868e-05
"T_HIST1H4J",-0.312176132963797,0.0057919030248217
"T_CORO1A",-0.44262948214267,3.64010968045486e-05
"T_DACT1",-0.259897168180944,0.0250319691245888
"T_SPON2",-0.29915287809535,0.0086005234022605
"T_PVRIG2P",-0.276159594801831,0.0163854322070434
"T_SNORA62",-0.351744427211462,0.00156425231769612
"T_TFEC",0.392215644298495,0.000334568459339104
"T_LCK",-0.499176160393807,1.97559975872916e-06
"T_CCR7",-0.543580342982765,1.41719050293865e-07
"T_FBXW5",-0.450897442722891,2.44943210796979e-05
"T_RHOB",0.231531665394406,0.0490824494081618
"T_COMMD3-BMI1",-0.599290066321903,2.75040778862605e-09
"T_BCL11B",-0.273446803695018,0.0176508364347147
"T_HBA2",-0.29868400248165,0.00871429817134013
"T_ARHGAP4",-0.450947490321252,2.4441421173859e-05
"T_MX1",0.28380905061268,0.0133369413454171
"T_CARMIL2",-0.622316174785135,4.18513251132179e-10
"T_BCL9L",-0.415535924388691,0.000124716895369011
"T_AL669918.1",-0.41096238284234,0.000152505956474191
"T_DOCK5",0.262170568317548,0.0236271348302284
"T_DPP7",-0.484514657924907,4.36463821411903e-06
"T_EPB41L3",0.358659926146644,0.00122101526101294
"T_RPL36",-0.46055084559381,1.50365774172183e-05
"T_AC136475.3",-0.609919263651099,1.20452516552112e-09
"T_TERC",-0.508908334878272,1.12748937506735e-06
"T_LTB",-0.567270806801644,2.93019531116918e-08
"T_RAB31",0.317210915755142,0.0049524463418659
"T_PDZD4",-0.474578780367973,7.38313939817079e-06
"T_SLC2A3P1",-0.7756138894527,8.67483798745716e-19
"T_TCIRG1",-0.393700931567135,0.000314529103004462
"T_SNORA68",-0.434398737589379,5.34427543926995e-05
"T_RGS2",0.331135039840105,0.00316870065079608
"T_CACNA1I",-0.60213709413775,2.16930465934524e-09
"T_LEF1",-0.361636686736553,0.00109478397288959
"T_NPDC1",-0.442977055722941,3.58091251817096e-05
"T_SNORA6",-0.326651712083907,0.00366733324303158
"T_RPS15",-0.540475691696847,1.73370198217786e-07
"T_CD86",0.27768139420194,0.0157525585761324
"T_TNFSF13B",0.473255817272545,7.90186407375818e-06
"T_KLF4",0.2357810663823,0.0446904836969601
"T_CST7",-0.301121800741419,0.00810932667319941
"T_NELL2",-0.251166748553757,0.0310931643782033
"T_NBEAL2",-0.374211195968412,0.000680587953705183
"T_RPS2P5",-0.258307997970668,0.0260375183601483
"T_SLC12A7",-0.298365566395944,0.00879521005509284
"T_SNORD94",-0.313302694968048,0.005584136429735
"T_FAM198B",0.363363694959803,0.00102743843627359
"T_SLC8A1",0.323507398362481,0.004061376596942
"T_AC008878.3",-0.502115286806932,1.66437736311071e-06
"T_AC126755.1",-0.498502186082502,2.05376895402766e-06
"T_H1FX",-0.496538563225912,2.2880879602715e-06
"T_CCR1",0.341670916138395,0.00222932767092983
"T_ABCA2",-0.48745401310537,3.73603466478878e-06
"T_DUSP2",-0.367173127826775,0.000888722116475845
"T_HNRNPUL2-BSCL2",-0.421892585519871,9.40360175914467e-05
"T_AC103591.3",0.410316580764526,0.000156579427919695
"T_FAM49A",0.354494738884063,0.00142020898250111
"T_INTS1",-0.48361821354669,4.57888994145529e-06
"T_TMEM176B",0.249635952017827,0.0322539879062392
"T_FCGR1A",0.285921316540488,0.0125720753346592
"T_RPS16",-0.368074498517394,0.000859688709318217
"T_CD163",0.27935720925351,0.0150725708441639
"T_CSTA",0.289367879591239,0.0114129726386245
"T_PIK3AP1",0.353385697055665,0.00147809653687691
"T_PKD1",-0.558644328652674,5.28259254333844e-08
"T_SNORA48",-0.391326434461601,0.000346595478864775
"T_RIOX1",-0.32836306174143,0.00346821631722059
"T_ABLIM1",-0.305808646240683,0.0070260805190012
"T_AL162151.2",-0.463276593133287,1.31161565969944e-05
"T_FCER1G",0.260485591793168,0.024665904708674
"T_ARHGEF1",-0.486187355901483,4.01204679436233e-06
"T_HLA-DPA1",0.301985359971741,0.00790011067392439
"T_SNORA3A",-0.380722391968907,0.000525608020888627
"T_RNU6ATAC",-0.336704218412264,0.00263178573169699
"T_RPS28",-0.462609594597439,1.35466368805127e-05
"T_HIST1H3D",-0.375431024071359,0.000648908587269124
"T_CD5",-0.513889593350318,8.54461801736628e-07
"T_IFI6",0.279736727963107,0.0149236327915438
"T_IL13RA1",0.330719458751186,0.00321097424848197
"T_KYNU",0.317976287478564,0.00483417166644218
"T_CARD11",-0.556435419143306,6.14877087107554e-08
"T_RPL39P3",-0.237640395122207,0.0427566962954599
"T_BTK",0.286542196829605,0.0123589951316635
"T_NAPRT",-0.254777003401517,0.0284793837551567
"T_RABGEF1",0.289215614971033,0.0114534446486176
"T_CD247",-0.468230275149873,1.01942812322784e-05
"T_TLR2",0.39167487629478,0.000341728929146244
"T_CPSF1",-0.484967743280359,4.26559477407955e-06
"T_PLCH2",-0.556687402258442,6.04513013188269e-08
"T_SYTL1",-0.58921592379421,5.82735383211998e-09
"T_AP003419.1",-0.279686484778619,0.0149435477454026
"T_CRIP1",-0.396219320275388,0.000283994889741056
"T_SNORA31",-0.383347084065118,0.000475167332227612
"T_SIGIRR",-0.544373409464897,1.34905238476082e-07
"T_PLCG1",-0.52426834736546,4.62776961219935e-07
"T_CYBA",-0.324308465582214,0.00395959357728594
"T_BST1",0.279251524728452,0.0151060211000567
"T_IGHM",-0.297703790848604,0.00896130883082844
"T_CCDC88B",-0.435850090150819,5.01714579024733e-05
"T_PKN1",-0.441244244460076,3.88960875940522e-05
"T_USP18",0.350411446835535,0.00163851757256706
"T_KCTD12",0.387212584257963,0.000407671918852382
"T_USP32P2",-0.270761434255327,0.0189425212754297
"T_CD3E",-0.37104077816276,0.000769999922419187
"T_HIST1H1C",-0.352706528777475,0.00151330835789273
"T_PDK4",0.287451151492138,0.012047655658037
"T_MYO15B",-0.353791993939045,0.00145685387675045
"T_MTRNR2L9",-0.353659031820637,0.00146398385245969
"T_CD27",-0.609658447237754,1.2220781837079e-09
"T_IFIT2",0.397685827858958,0.000267828784111837
"T_APBA2",-0.567195665784976,2.94297278225684e-08
"T_LBH",-0.50056175791897,1.81876006548183e-06
"T_AC138932.1",-0.571007399407709,2.28074261104346e-08
"T_TVP23C-CDRT4",-0.423016222387572,8.93953922965944e-05
"T_ITPR3",-0.602212696908214,2.16293088949589e-09
"T_EPSTI1",0.434603956981114,5.29370454680165e-05
"T_NLRC4",0.254035244011607,0.0290065617943403
"T_PRR12",-0.357688440421168,0.00126405136943695
"T_CXCR2P1",0.275684635350614,0.0166007662340971
"T_CTSD",-0.270220934229367,0.0191962190659915
"T_CHST15",0.238398445561356,0.0420186076430693
