"","ITAC","ICAM1","IFNGAMMAR1","IFNGAMMA","IL1RA","IL10","IL12P70","IL13","IL17A","IL17F","IL18BPA","IL1A","IL1B","IL2RALPHA","IL22","IL23","IL27","IL28A","IL2","IL31"
"MEpurple",0.169249668070377,0.120274568378262,0.0539583344436823,-0.00423471563539877,0.0341104843553861,-0.164011791104236,0.166424260110347,0.130660108676618,0.00379956798092673,-0.0398592750234252,0.00319086825146547,0.112644635744366,-0.0720326741824475,-0.0554667969439258,0.138462306696694,0.162761986710784,-0.00915525323175852,0.0829632208777868,-0.00410669272483545,0.0892507278294934
"MEdarkgrey",-0.129183274580625,-0.0499273520134415,-0.0663476566206889,0.199649290328953,-0.158079589872511,-0.238334660695589,0.0678070205790886,0.0946214606180793,0.0255221283252283,0.0731972196958194,0.0308552616905744,-0.0756350584338357,-0.104536285332481,-0.185392700632428,0.211070206271603,0.0133115772218566,0.223206470965424,-0.0695063258363996,0.041371680219016,-0.0609400987362909
"MEdarkturquoise",0.0479461545176489,0.0395830266185024,-0.0613885411724894,-0.0623781030386085,-0.0676601040289624,-0.101572768652389,0.109165936185333,0.0599771408117868,-0.00227322070607496,-0.117649168546922,-0.120960829829293,0.0335171221783045,-0.042347817013119,-0.144589836803351,0.0253243232348521,0.0315027295946225,-0.0657031199253547,0.145013572680904,-0.0745526825503031,0.00655007867625788
"MEsalmon",0.145196146246847,0.0627005385235103,0.241948308561221,0.437168759501081,0.207997299379818,0.234379857256386,-0.0584183846409452,0.00109844936864518,0.436178252970751,0.388050100040301,0.157148704394795,0.0202711235205306,0.157798761799272,0.216952382077729,-0.0336072271834714,0.16181861325684,0.425427937101856,0.228810226913692,0.167618033118783,0.213566935219884
"MEorange",0.00841626149142994,0.0195634686021694,0.0537512724974842,-0.00858945037456103,0.0354399710976789,-0.0104557949531127,0.0664737174192559,-0.00700343758862587,0.0155308482603008,0.0196066987079262,0.110836985227181,-0.0196279435525913,0.0246390632579719,0.0710993845921327,0.0456462084426558,0.0851252300292516,-0.0331966573357441,0.0995629593790486,-0.054669435138228,-0.0385150288009406
