"","MEskyblue","MEgreen","MEyellow","MElightgreen","MEwhite","MEmagenta","MEdarkorange","MElightyellow","MEred","MEmidnightblue","MEpurple","MEdarkgrey","MEblack","MEdarkturquoise","MElightcyan","MEgreenyellow","MEturquoise","MEbrown","MEsaddlebrown","MEsalmon","MEgrey60","MEcyan","MEblue","MEpink","MEroyalblue","MEdarkred","MEorange","MEdarkgreen","MEtan","MEgrey"
"32140206",-0.0389390020508693,-0.0721361752754686,-0.0505426431817986,-0.0721953788066479,-0.116766408475338,0.197750274405821,0.00414478673403192,-0.531667094475702,0.0448944908229332,-0.054186567325321,-0.0257988585299332,-0.0660184130009357,-0.0272318897223152,-0.0263052342587155,0.39779867322879,0.154636866879611,0.0876707242788575,0.046244834421566,-0.04575641339237,0.122439472801209,0.0308700767249306,0.0262913240270364,0.0141428555720399,0.0864604172898099,-0.852595622843231,-0.385962814917545,-0.402058553756882,-0.322396504424024,0.0233794398708409,-0.0777239765753221
"32150052",0.0127891878332518,0.121070747709435,0.168481954754768,-0.112234711375196,-0.134894920287194,-0.0847655938704892,-0.0687971761105443,-0.0364165778973272,-0.0830870102725723,-0.0152542906716753,0.0244953542091561,0.0825759782617178,-0.0576955733381316,0.0222990374533256,0.0381102698377558,0.0664967817082583,-0.00384150183068321,0.004460192104635,-0.0477727882354306,-0.133272323281122,-0.172661091524432,0.150153300599412,-0.0016955413795845,0.0176381004875992,0.0357060939600466,0.0603800635045062,0.0312816448991887,-0.0286007070556609,0.0649776436956172,0.029863260819523
"32150056",0.575296669798281,0.155464909357118,0.318767618299567,0.0502203450285688,0.0307277616740397,-0.0391063918739946,-0.0355378593881257,-0.0512918519758407,-0.0582976581441357,0.0824654370030377,-0.0337356960867082,-0.0526016874956957,0.0544147953700486,0.00947812749846277,-0.142029110152587,-0.106070264853778,-0.0188476962629189,0.0233078845069561,-0.0443080725062863,0.0549389484993936,-0.196345423752955,0.0315905109069725,-0.048174177379988,-0.0290995845213326,0.000451653642910964,0.0350266319719847,0.0626428583607521,0.00595851159369632,0.0634772376119762,0.0159008944181082
"32150091",0.0407590088712371,-0.0756654215159965,-0.0320104152284437,0.260607114336327,0.253577691881932,-0.053438069396349,-0.0516762514276369,-0.044377845969981,-0.0467703189929579,0.0325350207267224,0.119613891787541,0.165393528912853,0.0200731808198343,0.0808040633174601,-0.131787768692161,-0.0873287050806783,-0.00595385994534631,0.0244989810524666,-0.0404470186291036,-0.0808771158552429,0.0433790724395543,-0.0181115926651954,0.0124109169692849,-0.0157195265579022,0.00163371547172716,0.026927972701666,0.0583176118181209,0.108791738815948,0.0746230086734834,0.17264780699625
"32150099",0.0666633727268182,-0.0604844580906996,-0.0335354244044933,-0.152501844958989,-0.127707724309204,-0.0671902018401183,-0.053595032488534,0.0250999367030077,-0.0571101527404219,-0.0594434271485638,0.0368425724183873,0.130855683443812,-0.0205113645654312,-0.0284108806585373,0.0181698926706372,0.165015613027622,0.0367551861321603,-0.00407623264972777,-0.0324400053198154,0.0524657263668791,-0.00946539883537089,0.0175522718622016,0.0112118239881839,0.0638167085738496,0.106784556680266,0.0933606181900872,0.049018414402307,0.170260133152911,0.0452970348217347,0.08241367615141
"32150229",-0.0246946554212679,0.0475534507596495,0.0657953045037601,-0.011771208395198,-0.0578723673453069,-0.0696259360894848,-0.0678386262358594,-0.035822618241316,-0.069315677647195,0.00220821207507248,-0.125886053385952,-0.257258147140533,-0.0398370959557115,-0.075863930265888,0.155170475993019,0.190245876758609,0.108095568240047,0.0152707459412529,-0.0490754514757498,0.283436267832995,-0.257445608131975,0.259931771822008,-0.00469421039229766,0.101154672297818,0.0136717195459802,0.0408016031792635,0.0397848162424866,-0.000188425459239944,0.043011275632568,0.0475792115034727
"32150231",-0.0286164788552936,-0.0970797165076968,-0.0690187885684149,-0.0399769800528373,-0.0471886214266978,-0.0976729010315999,-0.0798524054480881,-0.0657200050682142,-0.0712542182097424,-0.0680205800656501,0.0283549318830282,-0.0841429677118394,0.0345093286143153,-0.0129627925294737,0.017041803668517,0.180632631566728,0.0724639672119021,0.019370438980619,0.382985915994827,0.108125346052621,0.0580350494180283,-0.0485649450686111,0.0109548769560177,0.072208928504175,0.00311446425622859,0.021082207406531,0.0421076604003642,-0.00918684540543133,0.0693088958774668,0.0451754203967362
"32150744",-0.189494170254502,-0.0794795030962928,-0.118587667241473,-0.104738483788993,-0.103873026657258,-0.0709737321661415,-0.059189127065883,-0.0399821675793933,-0.0669101592780824,-0.00525575932895384,-0.15863702346091,-0.0653511494536379,0.0136922980276341,-0.115776695777112,-0.0635799893871137,-0.0113976399807773,0.0170403695484621,0.0230916680752384,-0.0445973739240479,0.0495141265236506,0.070607886822361,-0.0203683478096785,0.0485335904554906,0.0257155749258574,0.0321218236085582,0.0417210041175862,0.0735380234544821,0.0205434905359842,0.0634914115871062,-0.0883793757040872
"32150754",0.0181204938867432,-0.103224359052335,-0.0390583528289583,-0.124442822969165,-0.141971654557238,-0.084340766277106,-0.0901686434163093,-0.0252219884553095,-0.0800899305360584,-0.100051682549012,-0.126597510760021,0.0637909478144783,-0.0666989713590377,-0.102433922734202,0.129232768838266,-0.0708636853807277,-0.0327720970243454,0.00720649194311076,-0.0429113516064553,0.0454514263133086,0.0119985000134746,-0.00309034142606127,0.0466857626509446,-0.0035680117183089,0.0280790122116562,0.0620311396233913,0.019198516149962,0.00661423479356018,0.0504210260966898,-0.18158184191798
"32150755",0.0336730370390842,-0.0378071451633884,-0.0489709715123993,-0.171317903812593,-0.189801012369946,-0.0740929154933324,-0.06525848949851,-0.0406988749076677,-0.0626626379337585,-0.0354142969215461,0.00834101641191129,-0.0887545147377127,-0.0372410982724934,-0.076045278451931,-0.149011734582852,-0.106115171787477,-0.00780694098037058,0.0164189432646883,-0.0411161984972819,-0.0655038102072436,0.110099456218542,-0.125332867726364,0.0433098432849239,-0.000301294205927971,0.0218004111982368,0.0570620986029816,0.0729936839080526,0.168343949479634,0.0578197731496908,-0.169087965174238
"32150756",-0.0660931361197373,-0.117068253472227,-0.0744118063135417,-0.161700121511483,-0.184906756643686,-0.0921443452556566,-0.0748712810709593,-0.0854567941012151,-0.0965668948619976,-0.0313355593692817,-0.137637566752239,-0.16734650842515,-0.0548786900417572,-0.132567199783089,-0.049799440848844,0.0420303465511379,0.0466321216218685,0.0226608986631813,-0.0408295010281463,0.258845907238715,0.0744602167350166,-0.0563119773671992,0.0371723193956708,0.0755322619990128,-0.0155638749996507,0.0267446841585182,0.0533829049012574,-0.015270082019286,0.0828220406543148,-0.1639142467353
"32150762",0.0449725897712245,-0.0341423531893994,0.0318092772679471,0.0125116766691653,0.0110452170512297,-0.083119006515976,-0.0997317337171737,-0.0300436768918079,-0.0838546092550651,-0.0931358850479404,-0.132125298420973,0.176516072388837,-0.074842724673979,-0.0988086435295928,0.0686312149972317,-0.0676083394020959,-0.0606769325646628,0.0259591688393689,-0.0443236099193849,-0.122050586691872,0.0641937932613983,-0.152482111775296,0.0158610164683438,-0.00931125606939819,0.0253187796738184,0.0548111879635128,0.0713298349861654,-0.0310733727973653,0.0288759774643422,-0.210191468130946
"32150935",-0.000345176957312013,-0.0902487292780093,-0.0441570602161495,0.0574537673323099,0.0654485800698331,-0.0771591591862175,-0.0766681671743091,0.00401455677498813,-0.0562217060840593,-0.0696030821101418,-0.0924687380216056,-0.148788398369809,0.0174094380440313,-0.10366687158205,-0.0899849323049483,0.0391180712682524,0.0337957771454652,0.0172633840375614,-0.0414414111640025,-0.0477103773247558,0.0700082027557684,-0.100349155827215,0.0319405557833752,0.0357772248214107,0.0658059734257844,0.0644696331655759,0.0998901308413365,0.004024597426384,0.0164625005545028,-0.0499095306525941
"32150940",-0.0147222821270749,-0.0604493012276801,-0.0455780607195701,0.0212578087868127,-0.0289737738131592,-0.0684727864175638,-0.0626323191876174,0.0252955368155609,-0.0762635770888317,-0.0656208234758596,-0.14277555502542,-0.19965792431968,-0.0495137243210961,-0.128267423735432,0.173519409454268,0.184189927235728,0.0932588442986285,-0.0140615047829366,-0.0460167313517028,-0.0398317656119827,-0.0210215153037926,0.0376952157116258,0.00939341251336704,0.0954117394021649,0.128515175671975,0.102429742633992,0.0857126620532371,0.00434098448018712,0.0454907089866204,-0.0807616962035232
"32150952",-0.0309545227707657,-0.0260095555609551,-0.0543290184563475,0.0546285320510263,0.0550435863581026,0.154227942900575,0.0840476342032063,0.0917037014311659,0.118514399555355,0.0181936934227462,-0.0645710995396262,0.011445006321805,-0.0145024519469035,-0.0440660585713881,-0.0105804509880126,0.0931311757742867,0.0251961841491749,-0.00504722720793973,-0.0449408995751402,-0.13625452211446,0.0604094278725799,-0.0533050259338898,0.0189754272785538,0.0204429597720237,0.0454973574782192,0.0171069137166734,-0.028013316354721,0.0188296638202709,-0.0245174232691952,-0.0430912140679566
