"","ENA_(pos≥1)","ENA_scale","SSA_(pos≥10)","SSA_scale","SSA_52_(pos10)","52_scale","SSA_60_(pos10)","60_scale","SSB_(pos≥10)","SSB_scale","Sm_(pos≥10)","Sm_scale","U1_RNP_(pos≥10)","U1_RNP_scale","SCL70_(pos≥15)","Scl70_scale","Jo1_(pos≥10)","Jo1_scale","DNA_(pos≥40)","DNA_scale"
"MEpurple",0.377624198209451,0.256341961255736,0.199354073131618,0.194195865700804,0.215370097888183,0.216069097671288,0.104387998049766,0.10127574580496,0.871420548936608,0.82498327851564,0.289253571072042,NA,0.241952675937389,NA,0.0127201684181526,NA,0.0580325139238642,NA,0.21690110176778,NA
"MEdarkgrey",0.799940024755219,0.982681982938728,0.88031850086371,0.868736220171439,0.911598919329208,0.91872005379299,0.422355739177788,0.414479169017723,0.934560964694837,0.943183121386493,0.753776329540958,NA,0.817197004184989,NA,0.402449559483868,NA,0.424694294305938,NA,0.922620801233294,NA
"MEdarkturquoise",0.444969300038161,0.313009701551317,0.252720702299002,0.250492873769773,0.270905411098208,0.27016171182419,0.176117366530234,0.169444000593001,0.602318874517149,0.826876691859769,0.217297214966755,NA,0.373347962121163,NA,0.0139412532053308,NA,0.0916150619808506,NA,0.460821370680811,NA
"MEsalmon",0.943802040679122,0.479566744624743,0.470263433581706,0.455369010031166,0.483435411909394,0.486325492253616,0.295218271058654,0.304315374940617,0.0957605523627913,0.226786976795423,0.440370234369422,NA,0.310628139159458,NA,0.755048520452347,NA,0.254263247770134,NA,0.952882261725866,NA
"MEorange",0.694152355604849,0.857429583963627,0.829980027357553,0.836751925083662,0.873300850950912,0.864082653986505,0.771910060086531,0.766948338812188,0.5011025873888,0.726911286881979,0.127013888171943,NA,0.363763749363978,NA,0.350944127014269,NA,0.896304532431011,NA,0.692651103297666,NA
