"Variable","Pvalue","Cor","Padjusted","Significativite"
"CD8POS_CD4POS_TCELLS",0.0281110251055085,-0.584619317906288,0.938908238523985,"Significatif"
"CD8POS_TCELLS",0.666820346808241,0.0731935080012847,0.994345438998613,"Non significatif"
"LEUKOCYTES",0.8560586266768,-0.0534264452755268,0.994345438998613,"Non significatif"
"LYMPHOCYTES",0.335364979227148,-0.16290604229039,0.994345438998613,"Non significatif"
"MONOCYTES",0.431502598487331,-0.133316966673033,0.994345438998613,"Non significatif"
"PBMC",0.660070289539126,-0.129087107855307,0.994345438998613,"Non significatif"
"PMN",0.19293033261088,-0.21894765260538,0.994345438998613,"Non significatif"
"BASOPHILS",0.882993381646136,0.0250515899181993,0.994345438998613,"Non significatif"
"CD1CNEG_CD141NEG",0.489299321360041,-0.201681251606618,0.994345438998613,"Non significatif"
"DC",0.974732354407424,-0.00933543559292785,0.994345438998613,"Non significatif"
"MDC1",0.653541742242424,0.0763011710547977,0.994345438998613,"Non significatif"
"MDC2",0.449514440671349,-0.128208612045262,0.994345438998613,"Non significatif"
"MDC",0.613310372399153,-0.085873294598242,0.994345438998613,"Non significatif"
"PDC",0.85448281156992,0.0312151206434593,0.994345438998613,"Non significatif"
"BLC.x",0.440573123325769,0.127128823197099,0.994345438998613,"Non significatif"
"FAS_LIGAND",0.820401337264082,-0.0375630239421154,0.994345438998613,"Non significatif"
"GDF_15",0.266944274627213,0.182197519315481,0.994345438998613,"Non significatif"
"IL_1_RA",0.796125901408143,0.04274314228584,0.994345438998613,"Non significatif"
"IL_1_RII",0.985225845413529,0.00306492306987607,0.994345438998613,"Non significatif"
"IP_10",0.375881259577084,0.145778558428396,0.994345438998613,"Non significatif"
"MCP_2",0.350918194350307,-0.153474957114957,0.994345438998613,"Non significatif"
"MCP_4",0.492052624897302,0.113348160488244,0.994345438998613,"Non significatif"
"MIP_1_BETA",0.544798416914691,0.0999786596158493,0.994345438998613,"Non significatif"
"MMP_8",0.571243263979922,0.0935113749907236,0.994345438998613,"Non significatif"
"TARC",0.928403165021379,0.0148712331007299,0.994345438998613,"Non significatif"
"TNF_RI",0.437595529967716,0.127951830005015,0.994345438998613,"Non significatif"
"CHROMATIN",0.39556704104509,0.129760454436877,0.994345438998613,"Non significatif"
"PFLC",0.72073828197928,0.0547905782265204,0.994345438998613,"Non significatif"
"BLC.y",0.440573123325769,0.127128823197099,0.994345438998613,"Non significatif"
"CXCL16",0.6971657224545,-0.0643425303409487,0.994345438998613,"Non significatif"
"DCR3",0.880147816417775,0.0249525223414987,0.994345438998613,"Non significatif"
"ESELECTIN",0.490594031144713,0.113727857485092,0.994345438998613,"Non significatif"
"EGF",0.988391274693232,0.00240819898200753,0.994345438998613,"Non significatif"
"ENA78",0.792462167013068,-0.0435283276672026,0.994345438998613,"Non significatif"
"FAS",0.527376810208383,0.104320863703263,0.994345438998613,"Non significatif"
"FGF21",0.46074334580343,-0.121632019023225,0.994345438998613,"Non significatif"
"FGFBASIC",0.59980634169724,-0.0866775760010147,0.994345438998613,"Non significatif"
