"Contributeur","Factor14","abs_Value"
"SRRM2",1,1
"KDM6B",0.882057822957923,0.882057822957923
"BCL9L",0.880962215224872,0.880962215224872
"KMT2D",0.870194341011593,0.870194341011593
"PRR12",0.860579405505275,0.860579405505275
"NPIPB5",0.843733165895141,0.843733165895141
"EP400",0.787869718384029,0.787869718384029
"NPIPB3",0.780749504490041,0.780749504490041
"SRCAP",0.762938437707149,0.762938437707149
"RIN3",0.738345052602542,0.738345052602542
"ARID1A",0.733198269740217,0.733198269740217
"NPIPB4",0.719986685659765,0.719986685659765
"SETD1B",0.71756019340137,0.71756019340137
"NFIC",0.71519771767774,0.71519771767774
"UCP2",0.702609218710705,0.702609218710705
"SPEN",0.7014687352952,0.7014687352952
"MLXIP",0.700287955348513,0.700287955348513
"MBD6",0.699828987016641,0.699828987016641
"ATN1",0.69661625448505,0.69661625448505
"BRD4",0.683072865103515,0.683072865103515
"ATXN2L",0.674696590015948,0.674696590015948
"MALAT1",0.669159434507788,0.669159434507788
"FUS",0.668441011464913,0.668441011464913
"NPIPB12",0.662186852450771,0.662186852450771
"NCOR2",0.659009013051863,0.659009013051863
"GATAD2B",0.643757462871784,0.643757462871784
"TCF7",0.643256915846373,0.643256915846373
"IGSF9B",0.638062006104192,0.638062006104192
"SKI",0.62603294204791,0.62603294204791
"SP2",0.621560072878108,0.621560072878108
"SYNGAP1",0.61496472130278,0.61496472130278
"CAMTA2",0.611177167912165,0.611177167912165
"AP005131.6",0.610582198787551,0.610582198787551
"HIPK2",0.607794274119351,0.607794274119351
"AAK1",0.607487287818157,0.607487287818157
"LENG8",0.606807421228982,0.606807421228982
"BAZ2A",0.605332064481044,0.605332064481044
"ARHGAP17",0.600809648894492,0.600809648894492
"ANKRD11",0.599337314386393,0.599337314386393
"NCOA6",0.591763260809957,0.591763260809957
"CREBBP",0.591741738798984,0.591741738798984
"SMG7",0.59156699838649,0.59156699838649
"ATF7",0.591498402700454,0.591498402700454
"POLR2A",0.590721870227952,0.590721870227952
"CMIP",0.590695677482683,0.590695677482683
"KMT2B",0.589998272744141,0.589998272744141
"EP300",0.587222849158911,0.587222849158911
"PACS1",0.581725074351679,0.581725074351679
"TRRAP",0.580215053428621,0.580215053428621
"AC004847.1",0.579846798083424,0.579846798083424
"SNED1",0.577425663432015,0.577425663432015
"NEAT1",0.57669405243348,0.57669405243348
"RERE",0.574525412183143,0.574525412183143
"KMT2A",0.571304666136828,0.571304666136828
"AC004951.1",0.566229821740968,0.566229821740968
"BICRA",0.563205246535094,0.563205246535094
"SBK1",0.562179745607999,0.562179745607999
"ANKRD52",0.561103416101798,0.561103416101798
"BCL9",0.56096242403417,0.56096242403417
"TPP1",0.558518668375484,0.558518668375484
"ZMIZ1",0.554980358188539,0.554980358188539
"POM121",0.553780757930128,0.553780757930128
"SH3PXD2A",0.553260245805177,0.553260245805177
"PTPN23",0.553064074964736,0.553064074964736
"MNT",0.55246452668885,0.55246452668885
"AHDC1",0.545287760276669,0.545287760276669
"IQSEC1",0.543901468020948,0.543901468020948
"ANP32B",0.543673380496149,0.543673380496149
"PPARD",0.543216793322938,0.543216793322938
"NFAT5",0.543162850920968,0.543162850920968
"GATA3",0.542972953517768,0.542972953517768
"FAM215B",0.54150739615355,0.54150739615355
"POU2F2",0.540663046450727,0.540663046450727
"HCFC1",0.539252255735707,0.539252255735707
"TRAPPC9",0.538145429082043,0.538145429082043
"OBSCN",0.535961494466462,0.535961494466462
"STX16",0.534839556613604,0.534839556613604
"ARL10",0.532345750831528,0.532345750831528
"LINC01238",0.530089099293767,0.530089099293767
"SETD1A",0.530027738666738,0.530027738666738
"TRIM66",0.529672121779048,0.529672121779048
"CREB3L2",0.529340133311915,0.529340133311915
"SAMD4B",0.525927703993405,0.525927703993405
"AP000347.1",0.524661568667029,0.524661568667029
"IGF1R",0.522894245234065,0.522894245234065
"CTDNEP1",0.521632231143834,0.521632231143834
"MGRN1",0.51808480844586,0.51808480844586
"PRRC2B",0.516292757596034,0.516292757596034
"TMEM86B",0.51628424037467,0.51628424037467
"SCAF4",0.515546768062508,0.515546768062508
"TANC2",0.51330962370916,0.51330962370916
"TIAF1",0.51158378738671,0.51158378738671
"POGZ",0.508565989324716,0.508565989324716
"ELMSAN1",0.507186474212876,0.507186474212876
"RNF44",0.506935719889287,0.506935719889287
"VAMP2",0.506001710404583,0.506001710404583
"SEC16A",0.505711850129141,0.505711850129141
"BCORL1",0.5054825262335,0.5054825262335
"SORBS3",0.505183507655517,0.505183507655517
"MDC1",0.503374971861115,0.503374971861115
"AC138035.1",0.503108144716566,0.503108144716566
"PLAGL2",0.501255649069965,0.501255649069965
"AC006001.3",0.50044472717142,0.50044472717142
