"","Gene.stable.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"1","ENSG00000004468",183.50825666439,0.718500497195398,0.183997922703246,3.90493809190554,9.42495094874612e-05,0.0153032348304555,"CD38"
"2","ENSG00000010030",72.5123688654832,1.13950450963336,0.351427625423044,3.24250123552933,0.00118485434523697,0.0486223714340718,"ETV7"
"3","ENSG00000011478",39.9997105896001,-0.511827026838942,0.132060871545782,-3.87569020897688,0.000106322886151594,0.0161792313829218,"QPCTL"
"4","ENSG00000020577",338.809718227261,0.783028831681276,0.214851948517169,3.64450421364786,0.00026790774661662,0.0264645628422167,"SAMD4A"
"5","ENSG00000023445",919.40328453388,0.573796452668974,0.142487282028183,4.0270011786419,5.64927494813172e-05,0.0115560086561947,"BIRC3"
"6","ENSG00000055332",1593.36456232279,0.94487386826088,0.21006235606937,4.49806374612331,6.85751381618944e-06,0.00539638257603818,"EIF2AK2"
"7","ENSG00000059378",1223.39529780177,0.555354755316662,0.154224927165258,3.60094029885051,0.000317068384598781,0.0280238231363116,"PARP12"
"8","ENSG00000075618",111.843211472096,-0.525731491406957,0.155484930836045,-3.38123758090311,0.000721601216796525,0.0383154892901576,"FSCN1"
"9","ENSG00000078114",20.7430366110012,4.11678437736719,0.974725557300527,4.22353178957214,2.40503428838064e-05,0.00973617913462842,"NEBL"
"10","ENSG00000079263",200.033807704379,0.512271863047427,0.155891031309463,3.28608938400379,0.00101588767769561,0.045100794583458,"SP140"
"11","ENSG00000088827",1355.39166274496,2.15792780254933,0.483071990985636,4.46709360678603,7.92894416890619e-06,0.00559836618459781,"SIGLEC1"
"12","ENSG00000095585",21.5449365374452,0.75854654209543,0.218646526101223,3.46928238752012,0.00052185063216869,0.0358756700330578,"BLNK"
"13","ENSG00000106785",592.479213554753,0.622084763659493,0.135165289227312,4.60240027018556,4.17649564774776e-06,0.00466082689676818,"TRIM14"
"14","ENSG00000107201",1292.07196145621,0.701686797980939,0.18587455484259,3.77505570127752,0.000159971913534245,0.0195608237953024,"RIGI"
"15","ENSG00000108679",450.696788410983,1.592079401066,0.377711233300099,4.21507029895788,2.49700396671892e-05,0.00973617913462842,"LGALS3BP"
"16","ENSG00000108691",39.103505392094,1.74359987741437,0.51330713305274,3.39679650864159,0.000681796475786461,0.0368288156920496,"CCL2"
"17","ENSG00000110203",402.735271807137,-1.536106198105,0.443987662738358,-3.45979478040186,0.000540587213373621,0.0358756700330578,"FOLR3"
"18","ENSG00000111331",2727.12794296843,1.32231835932688,0.315226814221499,4.19481560473383,2.73093660612273e-05,0.00973617913462842,"OAS3"
"19","ENSG00000111335",2614.49746731423,0.964389252826609,0.263318911821329,3.66243824325455,0.000249825992151029,0.0257630473558723,"OAS2"
"20","ENSG00000111912",524.27538231649,0.772995748587516,0.219212663100409,3.52623674953234,0.000421509981716758,0.0326683326202591,"NCOA7"
"21","ENSG00000115155",59.9302112297708,3.13157334199956,0.673058572776868,4.65275010030625,3.27537102846527e-06,0.00466082689676818,"OTOF"
"22","ENSG00000115267",1105.99678681459,0.679863239161272,0.168607759113516,4.03221798768792,5.52528994497251e-05,0.0115402987904355,"IFIH1"
"23","ENSG00000115415",8049.08965346766,0.653478059063304,0.184090547112206,3.54976433779078,0.0003855761468872,0.0310401236184418,"STAT1"
"24","ENSG00000119917",2147.02037812315,1.46786069030845,0.405878489655655,3.61650279016702,0.00029861010051438,0.0275888162706631,"IFIT3"
"25","ENSG00000119922",2386.38761007231,1.28196573046205,0.368131028374274,3.48236261453813,0.000497010176668964,0.034992817200729,"IFIT2"
"26","ENSG00000124256",247.157471877609,0.901668815976055,0.235864424297474,3.82282668809291,0.000131930512505384,0.0184969543263166,"ZBP1"
"27","ENSG00000132274",6729.89020046573,0.546116186659025,0.149746875321712,3.64692876219129,0.000265393462993831,0.0264645628422167,"TRIM22"
"28","ENSG00000132530",3102.77689181029,0.930517812979206,0.24528535862175,3.79361335795888,0.00014847080282406,0.0186151918599991,"XAF1"
"29","ENSG00000133106",1785.2066274665,1.14706627285361,0.333358832351223,3.44093559712578,0.000579706496859899,0.0361179314359059,"EPSTI1"
"30","ENSG00000134321",891.215753534201,1.57880834757742,0.436496754113067,3.61699905600777,0.000298038390335398,0.0275888162706631,"RSAD2"
"31","ENSG00000134326",1010.85359287138,1.1614270813563,0.348589449461576,3.33179068715424,0.000862891301262816,0.0422241476751271,"CMPK2"
"32","ENSG00000136231",50.6454392677275,0.785836687278496,0.226974293712944,3.46222770175176,0.000535723705484458,0.0358756700330578,"IGF2BP3"
"33","ENSG00000137198",42.0444878434611,1.24788488842217,0.387133717250544,3.22339499975552,0.00126680732647662,0.0493975681867978,"GMPR"
"34","ENSG00000137628",1361.21508115324,0.909613234324237,0.247355208854629,3.677356294764,0.000235663762383503,0.0251334395471911,"DDX60"
"35","ENSG00000137959",3812.1939644945,1.87506968338743,0.472185268921898,3.97104655058094,7.15575942253301e-05,0.0133268009066219,"IFI44L"
"36","ENSG00000137965",2183.86545236626,1.18428326690442,0.349891792902632,3.3847129053238,0.00071252737026733,0.0379953697700673,"IFI44"
"37","ENSG00000138496",2678.49069315294,0.781586776310433,0.196690469156976,3.97368911498533,7.07679202133737e-05,0.0133268009066219,"PARP9"
"38","ENSG00000138642",225.111339514595,0.841576105840341,0.226066995628472,3.72268452323497,0.000197115753338518,0.0223600942741639,"HERC6"
"39","ENSG00000138646",744.791811284921,1.18934359789316,0.355193205570414,3.34844129685183,0.000812674951792461,0.041054890884479,"HERC5"
