"Analyse","Facteur_Significatif","High","Low","Total"
20,4,0.0488468685509984,4.13116352166925e-05,0.11029650617392
11,3,0.00288262175887089,2.2849071175918e-07,0.00485272140398584
18,3,0.0204276814057495,5.43976452869321e-07,0.0213037071251347
23,3,0.0409710154005991,1.91868057250981e-06,0.072393678950358
24,3,0.0482075222221301,2.81553067899742e-05,0.0684042023728941
25,3,0.0465365829749713,9.76313282281574e-05,0.0505461367238527
27,3,0.0219853796848858,0.000102018730938521,0.0359068291425752
28,3,0.0150300371435606,3.95182758672884e-05,0.0200984141768807
10,2,0.0012978541602234,2.95778911434664e-07,0.00129814993913483
12,2,0.000777325450425249,1.90214448000069e-07,0.000777515664873249
13,2,0.000642954348648412,2.68754301323686e-07,0.000643223102949736
14,2,0.000784067889427767,1.56884779571332e-07,0.000784224774207338
15,2,9.96896667642155e-05,5.65633180731724e-07,0.000100255299944947
16,2,0.000196213291089556,5.77641885081661e-07,0.000196790932974638
17,2,0.00118296780919006,2.5783610055065e-07,0.00118322564529061
19,2,0.00254623034962906,8.53261812347066e-07,0.00254708361144141
21,2,0.0285991403026136,2.22184044850745e-06,0.0286013621430621
22,2,0.00175896632109784,2.53059076141378e-05,0.00178427222871198
26,2,0.00406340261004269,9.46956045782348e-05,0.00415809821462092
29,2,0.0310306350813801,0.000118280822103006,0.0311489159034831
30,2,0.00157644837664775,0.00022256225298222,0.00179901062962997
5,2,0.0332204341632219,1.65670926516384e-07,0.0332205998341484
7,2,0.00511295148201143,1.08096150466658e-08,0.00511296229162648
8,2,0.00131984030508482,3.40674612410903e-08,0.00131987437254606
9,2,0.00280369563870995,7.51154912799982e-08,0.00280377075420123
4,1,0.0181128560560578,0.0181128560560578,0.0181128560560578
6,1,6.7772587023628e-06,6.7772587023628e-06,6.7772587023628e-06
1,0,NA,NA,NA
2,0,NA,NA,NA
3,0,NA,NA,NA
