Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene.name
ENSG00000005022,133.712279189606,-0.57543242495753,0.113125088460219,-5.08669149160386,3.64363811629933e-07,9.49514742449908e-05,SLC25A5
ENSG00000005206,116.20130502448,-0.556615019057645,0.17391220846187,-3.20055172653208,0.00137164746747693,0.0256627034727094,SPPL2B
ENSG00000006062,185.865382616079,-0.535070177826639,0.155958397456765,-3.43085198714593,0.000601688805125076,0.0153150790048697,MAP3K14
ENSG00000007520,98.1791590754766,-0.529073897825779,0.1597341000819,-3.31221634926112,0.000925599353582383,0.0200211164524885,TSR3
ENSG00000007541,85.2159116377183,-0.609249008868171,0.188614430097656,-3.23012936259824,0.00123734218775855,0.0236760668619183,PIGQ
ENSG00000008382,28.9202502938331,-0.606775302846277,0.207820617974135,-2.91970695093301,0.00350360678349403,0.0463986313244265,MPND
ENSG00000010361,121.204077816454,-0.623104597665216,0.172640934805071,-3.60925175925839,0.000307081475933998,0.00949436936185766,FUZ
ENSG00000023734,131.125225795848,-0.690414985620136,0.153780280910278,-4.48961974534923,7.13504287195703e-06,0.000703540939041169,STRAP
ENSG00000025770,145.555045741764,-0.585326452789919,0.155132970718594,-3.77306287682507,0.000161255627374305,0.00637554154697883,NCAPH2
ENSG00000044574,909.650520041811,-0.53456453137264,0.140866871212784,-3.79482078909217,0.000147750138476882,0.00603404949861745,HSPA5
ENSG00000053371,13.0379612093533,-0.850732531167067,0.258496592272869,-3.29107832210428,0.000998041215233895,0.0207278199254933,AKR7A2
ENSG00000060138,159.661338371601,-0.597451252361703,0.176384087701,-3.38721740803785,0.000706054129738146,0.0166281666217062,YBX3
ENSG00000063854,80.6654639048295,-0.65546711564548,0.169571241750331,-3.86543796506816,0.000110890032507916,0.00495384247264956,HAGH
ENSG00000068001,116.595859144741,-0.5595210578872,0.14404224916987,-3.88442322382341,0.000102573098618619,0.00465835088954683,HYAL2
ENSG00000070423,87.3517368361849,-0.533421206402673,0.164454754664051,-3.24357424321571,0.00118040043185911,0.022930204517802,RNF126
ENSG00000072134,54.025538038412,-0.612350639523528,0.204843848128294,-2.98935332995703,0.00279568633800108,0.040072702336363,EPN2
ENSG00000078804,292.352576799134,-0.529590327617236,0.179354362552884,-2.95275966572088,0.00314947061492884,0.0438004521987244,TP53INP2
ENSG00000084623,110.98456890506,-0.610155277537422,0.144942440537522,-4.20963849701059,2.55779612703727e-05,0.00176432727673508,EIF3I
ENSG00000089486,55.7774924413509,-0.615754736850332,0.179590036013436,-3.42866870857059,0.000606549423769271,0.0153318324322279,CDIP1
ENSG00000099785,190.829237156517,-0.633147566989908,0.158897891219106,-3.9846190665731,6.75884614072904e-05,0.00348941372689997,MARCHF2
ENSG00000099821,21.1217230365879,-0.80493870914799,0.276676916753068,-2.90930923545888,0.00362228373270268,0.0473629761544143,POLRMT
ENSG00000099899,39.0238390323285,-0.921059062485011,0.221680194671555,-4.1549000976369,3.25429700042723e-05,0.00204702762469402,TRMT2A
ENSG00000099991,660.885890350738,-0.543396257324745,0.174526149886789,-3.11355208189279,0.00184849881844141,0.0313186061421691,CABIN1
ENSG00000099998,15.7775469517641,-1.18276353813481,0.319605900653325,-3.70069368468182,0.000215010895515008,0.00749596933649847,GGT5
ENSG00000100151,52.1332603131119,-0.629680111675342,0.173199415784534,-3.63557872769436,0.000277357270978392,0.00882463758970494,PICK1
ENSG00000100221,367.401769292528,-0.801973651990907,0.164563080061824,-4.87335100734392,1.09721023604305e-06,0.000190618508468114,JOSD1
ENSG00000100528,30.4885583784364,-0.568652887303967,0.19022713678098,-2.98933631093176,0.00279584208058639,0.040072702336363,CNIH1
ENSG00000101460,167.246552553517,-0.570942582755756,0.175526014839596,-3.2527519255622,0.00114293231185945,0.022498910347665,MAP1LC3A
ENSG00000102119,240.05658803389,-0.731722439407479,0.178832948222901,-4.09165339317364,4.28308491290691e-05,0.0024196979061405,EMD
ENSG00000102178,35.547612977961,-0.534397825977596,0.168960762907426,-3.16285163952765,0.00156231928428192,0.0279404976576235,UBL4A
ENSG00000102981,17.8954509415124,-0.760524345805071,0.225464869845879,-3.37313900087824,0.000743164256550451,0.0172303713046714,PARD6A
ENSG00000103024,16.4315387460922,-1.07413176686815,0.272043446372711,-3.94838317625392,7.86807959837933e-05,0.00390939334877523,NME3
ENSG00000103154,48.4159010053821,-0.612894571774494,0.186141081090021,-3.29263464134544,0.000992533615306215,0.020679672753107,NECAB2
ENSG00000104679,51.7707863672657,-0.551033391276612,0.15849102117761,-3.47674831786911,0.000507534001453068,0.0137159497429724,R3HCC1
ENSG00000104960,462.279326900976,-0.544663815886032,0.144417051536441,-3.77146472727007,0.000162292101479839,0.00637554154697883,PTOV1
ENSG00000104976,19.6162061241082,-0.759114304714548,0.204060614236122,-3.72004322125663,0.000199188687547006,0.00714213239423243,SNAPC2
ENSG00000104979,54.7912109435324,-0.569437818087657,0.19359859630603,-2.94133236992856,0.00326803670005934,0.0446892924502279,C19orf53
ENSG00000105518,68.7502956298696,-0.64796937356372,0.175096275759419,-3.70064623449802,0.000215051107506671,0.00749596933649847,TMEM205
ENSG00000107872,23.9956189909684,-0.654167114056976,0.207790233430953,-3.14820914946588,0.00164274110081101,0.0289529812373213,FBXL15
ENSG00000108469,103.966619262839,-0.530736220699694,0.141423492475816,-3.75281511867947,0.000174859817405357,0.0066222861643655,RECQL5
ENSG00000110799,59.2582558864956,-1.51648368974767,0.473783495991457,-3.20079467220406,0.00137049155269235,0.0256627034727094,VWF
