"Variable","Pvalue","Cor","Padjusted","Significativite"
"FGF21",0.375175172173314,-0.142189897587748,0.918840731246738,"Non significatif"
"FGFBASIC",0.391062473451821,-0.137564773722732,0.918840731246738,"Non significatif"
"GCSF",0.936564540417349,0.012825779225617,0.964884682535466,"Non significatif"
"GALACTIN3",0.157950948531372,-0.224633932569129,0.87663199385394,"Non significatif"
"GMCSF",0.584393985961787,-0.120348234347437,0.918840731246738,"Non significatif"
"GROALPHA",0.444138344882708,-0.18136045251954,0.918840731246738,"Non significatif"
"GROWTHHORMONE",0.802395080890757,-0.040313089962681,0.95704758743514,"Non significatif"
"HGF",0.903309528027768,-0.0195758397102215,0.964884682535466,"Non significatif"
"ITAC",0.92492126478724,0.0151860748045106,0.964884682535466,"Non significatif"
"ICAM1",0.530371054020289,-0.100858326000553,0.918840731246738,"Non significatif"
"IFNGAMMAR1",0.896121098165286,0.0210388949524278,0.964884682535466,"Non significatif"
"IFNGAMMA",0.522865992050346,-0.102696246885371,0.918840731246738,"Non significatif"
"IL1RA",0.813776990513712,0.0379480323044705,0.95704758743514,"Non significatif"
"IL10",0.231929135561823,0.287936717531094,0.87663199385394,"Non significatif"
"IL12P70",0.415680099927162,-0.192694537569491,0.918840731246738,"Non significatif"
"IL13",0.591556329637285,0.118077166383768,0.918840731246738,"Non significatif"
"IL17A",0.238329919772332,-0.292810468931402,0.87663199385394,"Non significatif"
"IL17F",0.236163801300649,-0.189182256688284,0.87663199385394,"Non significatif"
"IL18BPA",0.736365425469518,-0.0542170586276588,0.954574266368331,"Non significatif"
"IL1A",0.232959744964047,-0.190458255859066,0.87663199385394,"Non significatif"
"IL1B",0.0164776977998267,0.465787886261675,0.868795441052297,"Significatif"
"IL2RALPHA",0.813443748318692,0.038017162971425,0.95704758743514,"Non significatif"
"IL22",0.021874644439156,0.708317135596173,0.868795441052297,"Significatif"
"IL23",0.743264429100158,0.0527477489095364,0.954574266368331,"Non significatif"
"IL27",0.608690760411048,-0.164835672520437,0.918840731246738,"Non significatif"
"IL28A",0.558867390155122,0.1153542138624,0.918840731246738,"Non significatif"
"IL2",0.0988449902993632,-0.379536505252427,0.868795441052297,"Non significatif"
"IL31",0.504495620025472,0.113258730504891,0.918840731246738,"Non significatif"
"IL33",0.450219050218077,-0.126210297103594,0.918840731246738,"Non significatif"
"IL5",0.670738612470411,-0.0684332465773785,0.944371195682943,"Non significatif"
"IL6RALPHA",0.733820457048316,-0.0547601634670124,0.954574266368331,"Non significatif"
"IL6",0.213843498299725,-0.229700794109955,0.87663199385394,"Non significatif"
"IL8",0.390151106631239,-0.137827075745068,0.918840731246738,"Non significatif"
"IL9",0.317169367329431,-0.352920986938682,0.918840731246738,"Non significatif"
"MCSF",0.0778464708422085,-0.414253959861176,0.868795441052297,"Non significatif"
"MCP1",0.111376998900449,-0.252395068653951,0.87663199385394,"Non significatif"
"MCP3",0.737598564448143,-0.0546675805608656,0.954574266368331,"Non significatif"
"MIF",0.306704962869714,0.163615544194369,0.918840731246738,"Non significatif"
"MIG",0.473016571355073,-0.116773104838897,0.918840731246738,"Non significatif"
"MIP1ALPHA",0.0552595551004778,-0.326910547552812,0.868795441052297,"Non significatif"
"MIP1BETA",0.600498409615758,-0.0842453658564265,0.918840731246738,"Non significatif"
"MIP3A",0.784415793280017,0.0440663308618949,0.95704758743514,"Non significatif"
"MMP13",0.383426954494517,0.168089737563557,0.918840731246738,"Non significatif"
"MMP1",0.634579378578052,-0.0764844410726907,0.929603124759076,"Non significatif"
"MMP2",0.429207346479359,-0.126886753763195,0.918840731246738,"Non significatif"
"MMP3",0.973369802281698,0.00537976327425509,0.985168224127536,"Non significatif"
"MMP7",0.911222308860883,-0.0182050497274436,0.964884682535466,"Non significatif"
"MMP9",0.684218213312818,0.0654746122949424,0.944371195682943,"Non significatif"
"MPO",0.905359104844889,0.0191589800758119,0.964884682535466,"Non significatif"
"PSELECTIN",0.904538536104952,-0.0193258590907302,0.964884682535466,"Non significatif"
"PARC",0.176119469816253,-0.2154437985614,0.87663199385394,"Non significatif"
"PENTRAXIN3",0.251966082065803,0.183054897027944,0.87663199385394,"Non significatif"
"PF4",0.579468318965989,-0.0928025704023595,0.918840731246738,"Non significatif"
"RANTES",0.379544713713727,-0.140906505564845,0.918840731246738,"Non significatif"
"TACI",0.427224290371021,-0.127428277289924,0.918840731246738,"Non significatif"
"TNFALPHA",0.98400489350777,-0.00327370900438798,0.989932633830106,"Non significatif"
"TNFRII",0.641614824312862,-0.0749040268669872,0.931372396565991,"Non significatif"
"TRAILR3",0.995660673797614,-0.00087646711354131,0.995660673797614,"Non significatif"
"TRANCE",0.781149894512581,-0.0728402532856844,0.95704758743514,"Non significatif"
"VCAM1",0.619664494535147,-0.0798587487872052,0.923964023101515,"Non significatif"
"VEGFC",0.573431211841636,0.0956271352480518,0.918840731246738,"Non significatif"
"VEGFR3",0.925141440918186,0.0151414137315296,0.964884682535466,"Non significatif"
"VEGF",0.0835953062535927,0.273490500759693,0.868795441052297,"Non significatif"
"ESSDAI",0.497715406467771,-0.502284593532229,0.918840731246738,"Non significatif"
