"Contributeur","Value","abs_Value"
"SHOC2",1,1
"MBNL3",0.806250472923492,0.806250472923492
"BRAP",-0.780699776175885,0.780699776175885
"HSPD1",-0.727009690121007,0.727009690121007
"TIA1",0.722512199334533,0.722512199334533
"RBM22",-0.711395220512023,0.711395220512023
"SRSF6",-0.691566688858824,0.691566688858824
"FAM172A",0.681706826663385,0.681706826663385
"TUG1",-0.664048723343615,0.664048723343615
"AC092329.1",0.663769291792539,0.663769291792539
"CBFB",0.654604290157409,0.654604290157409
"GABARAP",-0.642901676347616,0.642901676347616
"RPL29",-0.642508324847823,0.642508324847823
"DRG1",-0.633145973517772,0.633145973517772
"AKAP11",0.630780472958816,0.630780472958816
"PTPRC",0.618504355172189,0.618504355172189
"VPS51",0.616329929647576,0.616329929647576
"PHF8",-0.615565443594334,0.615565443594334
"CDK16",-0.607549866819167,0.607549866819167
"PSMB4",-0.601723077569492,0.601723077569492
"RECQL",0.601375693768305,0.601375693768305
"BRWD1",0.580917883377578,0.580917883377578
"ZNF410",-0.577343093048847,0.577343093048847
"CHMP3",-0.576458272949408,0.576458272949408
"NOP58",-0.575602548683465,0.575602548683465
"ZNF142",-0.566155745069929,0.566155745069929
"TBC1D5",0.564825424069449,0.564825424069449
"KAT5",-0.562316814770346,0.562316814770346
"RPL5",-0.561418655207308,0.561418655207308
"BZW1",-0.551376456023367,0.551376456023367
"STAG2",0.548882952388619,0.548882952388619
"SUMO1",-0.541741133718687,0.541741133718687
"DNAJA2",-0.539458505158329,0.539458505158329
"PPP1R8",-0.533237992577123,0.533237992577123
"TMEM30A",0.526442442213165,0.526442442213165
"WDR46",0.52094662968924,0.52094662968924
"VBP1",0.516031153550333,0.516031153550333
"NUTF2",-0.511627875630464,0.511627875630464
"RPL17",-0.509735205605289,0.509735205605289
"RPL32",-0.509711315416125,0.509711315416125
"DMXL1",0.507817529895736,0.507817529895736
"SLC30A6",0.50206566474126,0.50206566474126
