"Contributeur","Factor23","abs_Value"
"RPL39",0.906197338969978,0.906197338969978
"UBC",0.886792903547754,0.886792903547754
"RPL7",0.845163903027263,0.845163903027263
"ATP5ME",0.839264364597702,0.839264364597702
"RPS20",0.796710333629366,0.796710333629366
"RPL31",0.795276837048629,0.795276837048629
"RPL36A",0.790211822954154,0.790211822954154
"RPL21",0.787106862059666,0.787106862059666
"RPS3A",0.766818462130439,0.766818462130439
"FARS2",0.758075067036793,0.758075067036793
"RPL23A",0.756966716081787,0.756966716081787
"RPS15A",0.741581428446275,0.741581428446275
"NFYA",0.737385616592487,0.737385616592487
"ATXN10",0.736725179637993,0.736725179637993
"CDON",0.711781566127223,0.711781566127223
"EEF1B2",0.710423330264213,0.710423330264213
"FAM120B",0.706384696285964,0.706384696285964
"NBEA",0.700328355747643,0.700328355747643
"NPEPPS",0.698335664518855,0.698335664518855
"R3HCC1L",0.693416662658488,0.693416662658488
"ZNF337",0.69104809728881,0.69104809728881
"RPS23",0.684206779949256,0.684206779949256
"RPS10",0.677482057673115,0.677482057673115
"EXT1",0.665557313666917,0.665557313666917
"ODC1",0.654158535789316,0.654158535789316
"TNR",0.653916541983671,0.653916541983671
"S100Z",0.647308307409004,0.647308307409004
"OAZ2",0.646262977910926,0.646262977910926
"FTH1",0.640271967111174,0.640271967111174
"UXT",0.636585265561898,0.636585265561898
"RPL32",0.635773126190644,0.635773126190644
"C2CD3",0.63535350206049,0.63535350206049
"RPS29",0.633076945870688,0.633076945870688
"RPL3",0.625647821926915,0.625647821926915
"HSD17B11",0.622870261258832,0.622870261258832
"RPL35A",0.616963636941439,0.616963636941439
"FTL",0.613451613263408,0.613451613263408
"RPS27",0.609631514507604,0.609631514507604
"CERNA1",0.605842872799295,0.605842872799295
"RACK1",0.598536087782555,0.598536087782555
"FAAH2",0.596718396510823,0.596718396510823
"IGBP1",0.596647698675411,0.596647698675411
"PTP4A1",0.595916188118727,0.595916188118727
"SQOR",0.589773045454467,0.589773045454467
"MPP1",0.586487179696398,0.586487179696398
"DGKG",0.581590079671146,0.581590079671146
"ZNF700",0.580353538563549,0.580353538563549
"SNED1",0.578461552831521,0.578461552831521
"AL355076.3",0.575836392432787,0.575836392432787
"KIZ",0.575303501459263,0.575303501459263
"TPST1",0.573429230446815,0.573429230446815
"NPIPB5",0.570730151354564,0.570730151354564
"RNF111",0.567991616750523,0.567991616750523
"RNF181",0.566181172409528,0.566181172409528
"PVT1",0.565438335168507,0.565438335168507
"FAM13A-AS1",0.564766786253549,0.564766786253549
"RPL41",0.564459516390303,0.564459516390303
"NDUFS5",0.56290309039188,0.56290309039188
"RPL9",0.562769693185351,0.562769693185351
"SBF2",0.552671175724865,0.552671175724865
"SCARNA10",0.552027701956392,0.552027701956392
"TBC1D9",0.550142426345417,0.550142426345417
"SNRPD2",0.550064213174426,0.550064213174426
"RPLP0",0.549853569054339,0.549853569054339
"NACA",0.54977970404179,0.54977970404179
"ADARB1",0.549640509290673,0.549640509290673
"ZNF507",0.548639090824763,0.548639090824763
"ADA2",0.547878914630941,0.547878914630941
"SLC36A1",0.547669344130222,0.547669344130222
"BAZ2B",0.545764367603836,0.545764367603836
"BTBD9",0.545559896795117,0.545559896795117
"ITPR1",0.539615212671113,0.539615212671113
"MEGF6",0.538643211375899,0.538643211375899
"COL4A4",0.538494676136276,0.538494676136276
"MATN1",0.535575934521243,0.535575934521243
"TAB2",0.532846901448613,0.532846901448613
"ZNF410",0.532421318730965,0.532421318730965
"SYBU",0.531599033656679,0.531599033656679
"CD48",0.531228473931663,0.531228473931663
"AL138963.3",0.531201150318736,0.531201150318736
"AC124944.3",0.530246649019227,0.530246649019227
"RPL23",0.530090276358214,0.530090276358214
"ARHGAP31",0.526875108435556,0.526875108435556
"MAPK8",0.526820139123892,0.526820139123892
"AL356488.2",0.524759004660367,0.524759004660367
"SHISAL2A",0.524164487935095,0.524164487935095
"IP6K1",0.5209563522193,0.5209563522193
"ATRNL1",0.517960685776519,0.517960685776519
"CCNK",0.515207335225194,0.515207335225194
"HAL",0.513882274200669,0.513882274200669
"LDAH",0.513687251242392,0.513687251242392
"SCARNA12",0.513639958309213,0.513639958309213
"GAS2L1",0.512326546054835,0.512326546054835
"RPL36",0.510585994334725,0.510585994334725
"PRDX6",0.51031678427809,0.51031678427809
"RPL4",0.509221424117442,0.509221424117442
"H1FX",0.508684668114192,0.508684668114192
"DCTN2",0.506830956912649,0.506830956912649
"APBB1",0.50657715329395,0.50657715329395
"RPL26",0.504855067826977,0.504855067826977
"AL450344.3",0.501898642172112,0.501898642172112
"MYO1D",0.501700613079604,0.501700613079604
"CD300A",0.500535091893229,0.500535091893229
