"Contributeur","Value","abs_Value"
"STAT1",1,1
"EIF2AK2",0.998423841796194,0.998423841796194
"XAF1",0.952601606544894,0.952601606544894
"EPSTI1",0.923484971489888,0.923484971489888
"HERC6",0.911302535462861,0.911302535462861
"IRF7",0.909639185528632,0.909639185528632
"IFI6",0.880396886323688,0.880396886323688
"MX1",0.874270735725871,0.874270735725871
"PARP9",0.872589686615594,0.872589686615594
"DDX60",0.871438867558277,0.871438867558277
"HERC5",0.844446878857431,0.844446878857431
"LAP3",0.833968687176658,0.833968687176658
"OAS2",0.820124671133007,0.820124671133007
"SAMD9L",0.815365455847402,0.815365455847402
"OASL",0.78832959182067,0.78832959182067
"ISG15",0.782884766347122,0.782884766347122
"OAS1",0.768694079336836,0.768694079336836
"IFITM1",0.744216258593532,0.744216258593532
"LY6E",0.735207471138932,0.735207471138932
"OAS3",0.731390504093959,0.731390504093959
"USP18",0.69361212516522,0.69361212516522
"DDX60L",0.688989146958401,0.688989146958401
"PLSCR1",0.664195628806545,0.664195628806545
"NRIR",0.662564975771225,0.662564975771225
"IFI35",0.661297807919785,0.661297807919785
"TYMP",0.661033438121771,0.661033438121771
"LGALS3BP",0.654939378924734,0.654939378924734
"ODF3B",0.646262544174582,0.646262544174582
"FBXO6",0.64342303741522,0.64342303741522
"TLR7",0.642264486612576,0.642264486612576
"LAMP3",0.632143399096951,0.632143399096951
"HELZ2",0.619233620087931,0.619233620087931
"SLFN12L",0.608079971957053,0.608079971957053
"IFIT2",0.603490389300829,0.603490389300829
"GBP1",0.600705144489087,0.600705144489087
"IFI27",0.600054001117656,0.600054001117656
"MX2",0.594276617441532,0.594276617441532
"AL136295.5",0.577020945484395,0.577020945484395
"SPATS2L",0.567339449609654,0.567339449609654
"AGRN",0.560578364359523,0.560578364359523
"CCSER1",0.555283190077134,0.555283190077134
"PGAP1",0.554628367140157,0.554628367140157
"DHX58",0.543620970095565,0.543620970095565
"GBP4",0.543122784866608,0.543122784866608
"APOL6",0.542219567966839,0.542219567966839
"CMPK2",0.534428576977862,0.534428576977862
"IFI44",0.530945751745954,0.530945751745954
"IFIT3",0.521394391391941,0.521394391391941
"IFIT1",0.520949629728579,0.520949629728579
"RSAD2",0.516231448585337,0.516231448585337
"UBE2L6",0.500397253348707,0.500397253348707
